"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"ECO-ZR06FC","EN14825_003","3.78","5","3","0","2","0"
"ECO-ZR06FC","EN14825_004","-7","4","3","0","2","0"
"ECO-ZR06FC","EN14825_004","-7","5","3","0","2","0"
"ECO-ZR06FC","EN14825_005","-10","4","3","0","2","0"
"ECO-ZR06FC","EN14825_005","-10","5","3","0","2","0"
"ECO-ZR06FC","EN14825_008","14.30","4","3","0","2","0"
"ECO-ZR06FC","EN14825_008","12.57","5","3","0","2","0"
"ECO-ZR06FC","EN14825_009","3.30","4","3","0","2","0"
"ECO-ZR06FC","EN14825_009","2.48","5","3","0","2","0"
"ECO-ZR06FC","EN14825_047","0.900","4","3","0","2","0"
"ECO-ZR06FC","EN14825_047","0.900","5","3","0","2","0"
"ECO-ZR06FC","EN14825_010","8.99","4","3","0","2","0"
"ECO-ZR06FC","EN14825_010","7.67","5","3","0","2","0"
"ECO-ZR06FC","EN14825_011","4.91","4","3","0","2","0"
"ECO-ZR06FC","EN14825_011","3.57","5","3","0","2","0"
"ECO-ZR06FC","EN14825_048","0.900","4","3","0","2","0"
"ECO-ZR06FC","EN14825_048","0.900","5","3","0","2","0"
"ECO-ZR06FC","EN14825_012","6.06","4","3","0","2","0"
"ECO-ZR06FC","EN14825_012","5.31","5","3","0","2","0"
"ECO-ZR06FC","EN14825_013","7.38","4","3","0","2","0"
"ECO-ZR06FC","EN14825_013","5.19","5","3","0","2","0"
"ECO-ZR06FC","EN14825_049","0.900","4","3","0","2","0"
"ECO-ZR06FC","EN14825_049","0.900","5","3","0","2","0"
"ECO-ZR06FC","EN14825_014","6.82","4","3","0","2","0"
"ECO-ZR06FC","EN14825_014","6.33","5","3","0","2","0"
"ECO-ZR06FC","EN14825_015","10.27","4","3","0","2","0"
"ECO-ZR06FC","EN14825_015","7.31","5","3","0","2","0"
"ECO-ZR06FC","EN14825_050","0.900","4","3","0","2","0"
"ECO-ZR06FC","EN14825_050","0.900","5","3","0","2","0"
"ECO-ZR06FC","EN14825_016","14.30","4","3","0","2","0"
"ECO-ZR06FC","EN14825_016","12.57","5","3","0","2","0"
"ECO-ZR06FC","EN14825_017","3.30","4","3","0","2","0"
"ECO-ZR06FC","EN14825_017","2.48","5","3","0","2","0"
"ECO-ZR06FC","EN14825_018","14.19","4","3","0","2","0"
"ECO-ZR06FC","EN14825_018","12.38","5","3","0","2","0"
"ECO-ZR06FC","EN14825_019","2.92","4","3","0","2","0"
"ECO-ZR06FC","EN14825_019","2.22","5","3","0","2","0"
"ECO-ZR06FC","EN14825_021","0.900","4","3","0","2","0"
"ECO-ZR06FC","EN14825_021","0.900","5","3","0","2","0"
"ECO-ZR06FC","EN14825_022","75","4","3","0","2","0"
"ECO-ZR06FC","EN14825_022","75","5","3","0","2","0"
"ECO-ZR06FC","EN14825_023","16","4","3","0","2","0"
"ECO-ZR06FC","EN14825_023","16","5","3","0","2","0"
"ECO-ZR06FC","EN14825_024","60","4","3","0","2","0"
"ECO-ZR06FC","EN14825_024","60","5","3","0","2","0"
"ECO-ZR06FC","EN14825_025","16","4","3","0","2","0"
"ECO-ZR06FC","EN14825_025","16","5","3","0","2","0"
"ECO-ZR06FC","EN14825_026","93","4","3","0","2","0"
"ECO-ZR06FC","EN14825_026","93","5","3","0","2","0"
"ECO-ZR06FC","EN14825_027","1","4","3","0","2","0"
"ECO-ZR06FC","EN14825_027","1","5","3","0","2","0"
"ECO-ZR06FC","EN14825_028","2.01","4","3","0","2","0"
"ECO-ZR06FC","EN14825_028","1.82","5","3","0","2","0"
"ECO-ZR06FC","EN14825_029","6398","4","3","0","2","0"
"ECO-ZR06FC","EN14825_029","7736","5","3","0","2","0"
"","Refrigerant","R290","0","0","0","0"
"","Mass of Refrigerant","1,450 kg","0","0","0","0"
"","Date","08.08.2024","0","0","0","0"
"","Manufacturer"," Ecogenica Ltd","0","0","0","0"
