manufacturers,models,titels,dates,types,refrigerants,mass_of_refrigerants,spl_indoor,spl_outdoor,eta,p_rated,scop,t_biv,tol,p_th_minus7,cop_minus7,p_th_2,cop_2,p_th_7,cop_7,p_th_12,cop_12,p_th_tbiv,cop_tbiv,p_th_tol,cop_tol,rated_airflows,wtols,poffs,ptos,psbs,pcks,supply_energy,supp_energy_types,p_sups,p_design_cools,seers,pdcs_35,eer_35,pdcs_30,eer_30,pdcs_25,eer_25,pdcs_20,eer_20,temperatures
 Galmet Sp. z o.o. Sp. K.,Prima 4-6GT,Prima 6GT,14.04.2021,Outdoor Air/Water,R32,"1,500 kg",,58,195,6.82,4.95,-7,-10,6.03,3.09,3.88,4.85,2.40,6.63,1.39,7.83,6.03,3.09,5.36,2.76,,65,14,24,14,0,Electricity,1,1.45,,,,,,,,,,,low
 Galmet Sp. z o.o. Sp. K.,Prima 4-6GT,Prima 6GT,14.04.2021,Outdoor Air/Water,R32,"1,500 kg",,58,138,5.70,3.52,-7,-10,5.05,2.17,3.12,3.51,2.09,4.54,1.28,5.59,5.05,2.17,4.52,1.91,,65,14,24,14,0,Electricity,1,1.18,,,,,,,,,,,high
 Galmet Sp. z o.o. Sp. K.,Prima 4-6GT,Prima S 4GT,14.04.2021,Outdoor Air/Water,R32,"1,500 kg",38,56,191,5.52,4.85,-7,-10,4.88,3.19,3.06,4.78,1.93,6.13,1.48,8.05,4.88,3.19,4.42,2.86,,65,14,24,14,0,Electricity,1,1.11,,,,,,,,,,,low
 Galmet Sp. z o.o. Sp. K.,Prima 4-6GT,Prima S 4GT,14.04.2021,Outdoor Air/Water,R32,"1,500 kg",38,56,130,4.40,3.31,-7,-10,3.89,2.17,2.38,3.30,2.95,4.41,1.32,5.66,3.89,2.17,3.42,1.91,,65,14,24,14,0,Electricity,1,0.98,,,,,,,,,,,high
 Galmet Sp. z o.o. Sp. K.,Prima 4-6GT,Prima S 6GT,14.04.2021,Outdoor Air/Water,R32,"1,500 kg",38,58,195,6.82,4.95,-7,-10,6.03,3.09,3.88,4.85,2.40,6.63,1.39,7.83,6.03,3.09,5.36,2.76,,65,14,24,14,0,Electricity,1,1.45,,,,,,,,,,,low
 Galmet Sp. z o.o. Sp. K.,Prima 4-6GT,Prima S 6GT,14.04.2021,Outdoor Air/Water,R32,"1,500 kg",38,58,138,5.70,3.52,-7,-10,5.05,2.17,3.12,3.51,2.09,4.54,1.28,5.59,5.05,2.17,4.52,1.91,,65,14,24,14,0,Electricity,1,1.18,,,,,,,,,,,high
 Bosch Thermotechnik GmbH,Bosch Compress CS3400iAWS 4 OR-S,CS3400iAWS 4 ORB-S,10.06.2022,Outdoor Air/Water,R32,"1,100 kg",45,61,186,5.00,4.72,-7,-10,4.36,2.96,2.73,4.68,2.34,6.07,2.77,8.02,4.36,2.96,3.93,2.68,,60,11,0,11,0,Electricity,0,1.07,,,,,,,,,,,low
 Bosch Thermotechnik GmbH,Bosch Compress CS3400iAWS 4 OR-S,CS3400iAWS 4 ORB-S,10.06.2022,Outdoor Air/Water,R32,"1,100 kg",45,61,125,5.60,3.20,-5,-10,3.80,1.92,3.30,3.27,2.01,4.24,2.51,5.80,4.15,2.14,2.58,1.48,,60,11,0,11,0,Electricity,0,3.00,,,,,,,,,,,high
 Bosch Thermotechnik GmbH,Bosch Compress CS3400iAWS 4 OR-S,CS3400iAWS 4 ORE-S,10.06.2022,Outdoor Air/Water,R32,"1,100 kg",45,61,186,5,4.72,-7,-10,4.36,2.96,2.73,4.68,2.34,6.07,2.77,8.02,4.36,2.96,3.93,2.68,,60,11,0,11,0,Electricity,1,1.07,,,,,,,,,,,low
 Bosch Thermotechnik GmbH,Bosch Compress CS3400iAWS 4 OR-S,CS3400iAWS 4 ORE-S,10.06.2022,Outdoor Air/Water,R32,"1,100 kg",45,61,125,5.6,3.20,-5,-10,3.80,1.92,3.30,3.27,2.01,4.24,2.51,5.80,4.15,2.14,2.58,1.48,,60,11,0,11,0,Electricity,1,3.00,,,,,,,,,,,high
 Bosch Thermotechnik GmbH,Bosch Compress CS3400iAWS 4 OR-S,CS3400iAWS 4 ORM-S,10.06.2022,Outdoor Air/Water,R32,"1,100 kg",40,61,186,5.00,4.72,-7,-10,4.36,2.96,2.73,4.68,2.34,6.07,2.77,8.02,4.36,2.96,3.93,2.68,,60,11,0,11,0,Electricity,1,1.07,,,,,,,,,,,low
 Bosch Thermotechnik GmbH,Bosch Compress CS3400iAWS 4 OR-S,CS3400iAWS 4 ORM-S,10.06.2022,Outdoor Air/Water,R32,"1,100 kg",40,61,125,5.60,3.20,-5,-10,3.80,1.92,3.30,3.27,2.01,4.24,2.51,5.80,4.15,2.14,2.58,1.48,,60,11,0,11,0,Electricity,1,3.00,,,,,,,,,,,high
 tecalor GmbH,TTF\TTC 10.5,TTC 10.5,22.02.2023,Brine/Water and Water/Water,R452B,"0,900 kg",41,,195,10.60,5.09,-8,-10,9.81,4.78,10.00,5.08,10.13,5.37,10.15,5.62,9.79,4.73,9.74,4.65,,65,4,8,8,0,Electricity,1,0.86,,,,,,,,,,,low
 tecalor GmbH,TTF\TTC 10.5,TTC 10.5,22.02.2023,Brine/Water and Water/Water,R452B,"0,900 kg",42,,145,11.77,3.84,-5,-10,9.39,3.26,9.63,3.86,9.76,4.24,9.88,4.69,9.51,3.44,9.22,3.02,,65,4,8,8,0,Electricity,1,2.55,,,,,,,,,,,high
 tecalor GmbH,TTF\TTC 10.5,TTF 10.5,22.02.2023,Brine/Water and Water/Water,R452B,"0,900 kg",42,,195,10.60,5.09,-8,-10,9.81,4.78,10.00,5.08,10.13,5.37,10.15,5.62,9.79,4.73,9.74,4.65,,65,4,8,8,0,Electricity,1,0.86,,,,,,,,,,,low
 tecalor GmbH,TTF\TTC 10.5,TTF 10.5,22.02.2023,Brine/Water and Water/Water,R452B,"0,900 kg",44,,145,11.77,3.84,-5,-10,9.39,3.26,9.63,3.86,9.76,4.24,9.88,4.69,9.51,3.44,9.22,3.02,,65,4,8,8,0,Electricity,1,2.55,,,,,,,,,,,high
