manufacturers,models,titels,dates,types,refrigerants,mass_of_refrigerants,spl_indoor,spl_outdoor,eta,p_rated,scop,t_biv,tol,p_th_minus7,cop_minus7,p_th_2,cop_2,p_th_7,cop_7,p_th_12,cop_12,p_th_tbiv,cop_tbiv,p_th_tol,cop_tol,rated_airflows,wtols,poffs,ptos,psbs,pcks,supply_energy,supp_energy_types,p_sups,p_design_cools,seers,pdcs_35,eer_35,pdcs_30,eer_30,pdcs_25,eer_25,pdcs_20,eer_20,temperatures
 Ariston Thermo Group,NIMBUS 50 M - ARIANEXT 50 M - AEROTOP MONO 05X - ENERGION M 5,ENERGION M FLEX 5 2Z 180 e,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",43,59,130,5.86,3.92,-7,-10,5.19,2.26,3.17,3.32,2.14,3.91,1.50,5.40,5.19,2.26,5.00,2.14,,60,15,15,15,15,,1,0.86,,,,,,,,,,,high
 Ariston Thermo Group,NIMBUS 50 M - ARIANEXT 50 M - AEROTOP MONO 05X - ENERGION M 5,ENERGION M HYBRIDall 5,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",15,59,176,5.80,4.47,-7,-10,5.13,3.15,3.15,4.42,2.01,5.28,1.54,7.28,5.13,3.15,5.03,2.82,,60,13,13,13,13,,2,0.77,,,,,,,,,,,low
 Ariston Thermo Group,NIMBUS 50 M - ARIANEXT 50 M - AEROTOP MONO 05X - ENERGION M 5,ENERGION M HYBRIDall 5,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",15,59,130,5.86,3.92,-7,-10,5.19,2.26,3.17,3.32,2.14,3.91,1.50,5.40,5.19,2.26,5.00,2.14,,60,13,13,13,13,,2,0.86,,,,,,,,,,,high
 Ariston Thermo Group,NIMBUS 50 M - ARIANEXT 50 M - AEROTOP MONO 05X - ENERGION M 5,ENERGION M LIGHT 5,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",15,59,176,5.80,4.47,-7,-10,5.13,3.15,3.15,4.42,2.01,5.28,1.54,7.28,5.13,3.15,5.03,2.82,,60,13,13,13,13,,1,0.77,,,,,,,,,,,low
 Ariston Thermo Group,NIMBUS 50 M - ARIANEXT 50 M - AEROTOP MONO 05X - ENERGION M 5,ENERGION M LIGHT 5,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",15,59,130,5.86,3.92,-7,-10,5.19,2.26,3.17,3.32,2.14,3.91,1.50,5.40,5.19,2.26,5.00,2.14,,60,13,13,13,13,,1,0.86,,,,,,,,,,,high
 Ariston Thermo Group,NIMBUS 50 M - ARIANEXT 50 M - AEROTOP MONO 05X - ENERGION M 5,ENERGION M PLUS 5,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",15,59,176,5.80,4.47,-7,-10,5.13,3.15,3.15,4.42,2.01,5.28,1.54,7.28,5.13,3.15,5.03,2.82,,60,13,13,13,13,,1,0.77,,,,,,,,,,,low
 Ariston Thermo Group,NIMBUS 50 M - ARIANEXT 50 M - AEROTOP MONO 05X - ENERGION M 5,ENERGION M PLUS 5,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",15,59,130,5.86,3.92,-7,-10,5.19,2.26,3.17,3.32,2.14,3.91,1.50,5.40,5.19,2.26,5.00,2.14,,60,13,13,13,13,,1,0.86,,,,,,,,,,,high
 Ariston Thermo Group,NIMBUS 50 M - ARIANEXT 50 M - AEROTOP MONO 05X - ENERGION M 5,ENERGION M PLUS 5 2Z,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",43,59,176,5.80,4.47,-7,-10,5.13,3.15,3.15,4.42,2.01,5.28,1.54,7.28,5.13,3.15,5.03,2.82,,60,15,15,15,15,,1,0.77,,,,,,,,,,,low
 Ariston Thermo Group,NIMBUS 50 M - ARIANEXT 50 M - AEROTOP MONO 05X - ENERGION M 5,ENERGION M PLUS 5 2Z,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",43,59,130,5.86,3.92,-7,-10,5.19,2.26,3.17,3.32,2.14,3.91,1.50,5.40,5.19,2.26,5.00,2.14,,60,15,15,15,15,,1,0.86,,,,,,,,,,,high
 Ariston Thermo Group,NIMBUS 50 M - ARIANEXT 50 M - AEROTOP MONO 05X - ENERGION M 5,NIMBUS COMPACT 50 M 2Z NET,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",43,59,176,5.80,4.47,-7,-10,5.13,3.15,3.15,4.42,2.01,5.28,1.54,7.28,5.13,3.15,5.03,2.82,,60,13,13,13,13,,1,0.77,,,,,,,,,,,low
 Ariston Thermo Group,NIMBUS 50 M - ARIANEXT 50 M - AEROTOP MONO 05X - ENERGION M 5,NIMBUS COMPACT 50 M 2Z NET,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",43,59,130,5.86,3.92,-7,-10,5.19,2.26,3.17,3.32,2.14,3.91,1.50,5.40,5.19,2.26,5.00,2.14,,60,13,13,13,13,,1,0.86,,,,,,,,,,,high
 Ariston Thermo Group,NIMBUS 50 M - ARIANEXT 50 M - AEROTOP MONO 05X - ENERGION M 5,NIMBUS COMPACT 50 M NET,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",15,59,176,5.80,4.47,-7,-10,5.13,3.15,3.15,4.42,2.01,5.28,1.54,7.28,5.13,3.15,5.03,2.82,,60,13,13,13,13,,1,0.77,,,,,,,,,,,low
 Ariston Thermo Group,NIMBUS 50 M - ARIANEXT 50 M - AEROTOP MONO 05X - ENERGION M 5,NIMBUS COMPACT 50 M NET,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",15,59,130,5.86,3.92,-7,-10,5.19,2.26,3.17,3.32,2.14,3.91,1.50,5.40,5.19,2.26,5.00,2.14,,60,13,13,13,13,,1,0.86,,,,,,,,,,,high
 Ariston Thermo Group,NIMBUS 50 M - ARIANEXT 50 M - AEROTOP MONO 05X - ENERGION M 5,NIMBUS FLEX 50 M 2Z H NET,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",43,59,176,5.80,4.47,-7,-10,5.13,3.15,3.15,4.42,2.01,5.28,1.54,7.28,5.13,3.15,5.03,2.82,,60,13,13,13,13,,1,0.77,,,,,,,,,,,low
 Ariston Thermo Group,NIMBUS 50 M - ARIANEXT 50 M - AEROTOP MONO 05X - ENERGION M 5,NIMBUS FLEX 50 M 2Z H NET,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",43,59,130,5.86,3.92,-7,-10,5.19,2.26,3.17,3.32,2.14,3.91,1.50,5.40,5.19,2.26,5.00,2.14,,60,13,13,13,13,,1,0.86,,,,,,,,,,,high
 Ariston Thermo Group,NIMBUS 50 M - ARIANEXT 50 M - AEROTOP MONO 05X - ENERGION M 5,NIMBUS FLEX 50 M 2Z NET,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",15,59,176,5.80,4.47,-7,-10,5.13,3.15,3.15,4.42,2.01,5.28,1.54,7.28,5.13,3.15,5.03,2.82,,60,13,13,13,13,,1,0.77,,,,,,,,,,,low
 Ariston Thermo Group,NIMBUS 50 M - ARIANEXT 50 M - AEROTOP MONO 05X - ENERGION M 5,NIMBUS FLEX 50 M 2Z NET,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",15,59,130,5.86,3.92,-7,-10,5.19,2.26,3.17,3.32,2.14,3.91,1.50,5.40,5.19,2.26,5.00,2.14,,60,13,13,13,13,,1,0.86,,,,,,,,,,,high
 Ariston Thermo Group,NIMBUS 50 M - ARIANEXT 50 M - AEROTOP MONO 05X - ENERGION M 5,NIMBUS FLEX 50 M H NET,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",15,59,176,5.80,4.47,-7,-10,5.13,3.15,3.15,4.42,2.01,5.28,1.54,7.28,5.13,3.15,5.03,2.82,,60,13,13,13,13,,1,0.77,,,,,,,,,,,low
 Ariston Thermo Group,NIMBUS 50 M - ARIANEXT 50 M - AEROTOP MONO 05X - ENERGION M 5,NIMBUS FLEX 50 M H NET,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",15,59,130,5.86,3.92,-7,-10,5.19,2.26,3.17,3.32,2.14,3.91,1.50,5.40,5.19,2.26,5.00,2.14,,60,13,13,13,13,,1,0.86,,,,,,,,,,,high
 Ariston Thermo Group,NIMBUS 50 M - ARIANEXT 50 M - AEROTOP MONO 05X - ENERGION M 5,NIMBUS FLEX 50 M NET,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",15,59,176,5.80,4.47,-7,-10,5.13,3.15,3.15,4.42,2.01,5.28,1.54,7.28,5.13,3.15,5.03,2.82,,60,13,13,13,13,,1,0.77,,,,,,,,,,,low
 Ariston Thermo Group,NIMBUS 50 M - ARIANEXT 50 M - AEROTOP MONO 05X - ENERGION M 5,NIMBUS FLEX 50 M NET,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",15,59,130,5.86,3.92,-7,-10,5.19,2.26,3.17,3.32,2.14,3.91,1.50,5.40,5.19,2.26,5.00,2.14,,60,13,13,13,13,,1,0.86,,,,,,,,,,,high
 Ariston Thermo Group,NIMBUS 50 M - ARIANEXT 50 M - AEROTOP MONO 05X - ENERGION M 5,NIMBUS M FLEX IN 5 NET,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",0,59,176,5.80,4.47,-7,-10,5.13,3.15,3.15,4.42,2.01,5.28,1.54,7.28,5.13,3.15,5.03,2.82,,60,13,13,13,13,,2,0.80,,,,,,,,,,,low
 Ariston Thermo Group,NIMBUS 50 M - ARIANEXT 50 M - AEROTOP MONO 05X - ENERGION M 5,NIMBUS M FLEX IN 5 NET,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",0,59,130,5.86,3.92,-7,-10,5.19,2.26,3.17,3.32,2.14,3.91,1.50,5.40,5.19,2.26,5.00,2.14,,60,13,13,13,13,,2,0.90,,,,,,,,,,,high
 Ariston Thermo Group,NIMBUS 50 M - ARIANEXT 50 M - AEROTOP MONO 05X - ENERGION M 5,NIMBUS M HYBRID 5 NET,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",15,59,176,5.80,4.47,-7,-10,5.13,3.15,3.15,4.42,2.01,5.28,1.54,7.28,5.13,3.15,5.03,2.82,,60,13,13,13,13,,2,0.77,,,,,,,,,,,low
 Ariston Thermo Group,NIMBUS 50 M - ARIANEXT 50 M - AEROTOP MONO 05X - ENERGION M 5,NIMBUS M HYBRID 5 NET,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",15,59,130,5.86,3.92,-7,-10,5.19,2.26,3.17,3.32,2.14,3.91,1.50,5.40,5.19,2.26,5.00,2.14,,60,13,13,13,13,,2,0.86,,,,,,,,,,,high
 Ariston Thermo Group,NIMBUS 50 M - ARIANEXT 50 M - AEROTOP MONO 05X - ENERGION M 5,NIMBUS M HYBRID FLEX 5 NET,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",15,59,176,5.80,4.47,-7,-10,5.13,3.15,3.15,4.42,2.01,5.28,1.54,7.28,5.13,3.15,5.03,2.82,,60,13,13,13,13,,2,0.77,,,,,,,,,,,low
 Ariston Thermo Group,NIMBUS 50 M - ARIANEXT 50 M - AEROTOP MONO 05X - ENERGION M 5,NIMBUS M HYBRID FLEX 5 NET,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",15,59,130,5.86,3.92,-7,-10,5.19,2.26,3.17,3.32,2.14,3.91,1.50,5.40,5.19,2.26,5.00,2.14,,60,13,13,13,13,,2,0.86,,,,,,,,,,,high
 Ariston Thermo Group,NIMBUS 50 M - ARIANEXT 50 M - AEROTOP MONO 05X - ENERGION M 5,NIMBUS M HYBRID UNIVERSAL 5 NET,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",15,59,176,5.80,4.47,-7,-10,5.13,3.15,3.15,4.42,2.01,5.28,1.54,7.28,5.13,3.15,5.03,2.82,,60,13,13,13,13,,2,0.77,,,,,,,,,,,low
 Ariston Thermo Group,NIMBUS 50 M - ARIANEXT 50 M - AEROTOP MONO 05X - ENERGION M 5,NIMBUS M HYBRID UNIVERSAL 5 NET,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",15,59,130,5.86,3.92,-7,-10,5.19,2.26,3.17,3.32,2.14,3.91,1.50,5.40,5.19,2.26,5.00,2.14,,60,13,13,13,13,,2,0.86,,,,,,,,,,,high
 Ariston Thermo Group,NIMBUS 50 M - ARIANEXT 50 M - AEROTOP MONO 05X - ENERGION M 5,NIMBUS PLUS 50 M 2Z H NET,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",43,59,176,5.80,4.47,-7,-10,5.13,3.15,3.15,4.42,2.01,5.28,1.54,7.28,5.13,3.15,5.03,2.82,,60,13,13,13,13,,1,0.77,,,,,,,,,,,low
 Ariston Thermo Group,NIMBUS 50 M - ARIANEXT 50 M - AEROTOP MONO 05X - ENERGION M 5,NIMBUS PLUS 50 M 2Z H NET,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",43,59,130,5.86,3.92,-7,-10,5.19,2.26,3.17,3.32,2.14,3.91,1.50,5.40,5.19,2.26,5.00,2.14,,60,13,13,13,13,,1,0.86,,,,,,,,,,,high
 Ariston Thermo Group,NIMBUS 50 M - ARIANEXT 50 M - AEROTOP MONO 05X - ENERGION M 5,NIMBUS PLUS 50 M 2Z NET,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",43,59,176,5.80,4.47,-7,-10,5.13,3.15,3.15,4.42,2.01,5.28,1.54,7.28,5.13,3.15,5.03,2.82,,60,13,13,13,13,,1,0.77,,,,,,,,,,,low
 Ariston Thermo Group,NIMBUS 50 M - ARIANEXT 50 M - AEROTOP MONO 05X - ENERGION M 5,NIMBUS PLUS 50 M 2Z NET,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",43,59,130,5.86,3.92,-7,-10,5.19,2.26,3.17,3.32,2.14,3.91,1.50,5.40,5.19,2.26,5.00,2.14,,60,13,13,13,13,,1,0.86,,,,,,,,,,,high
 Ariston Thermo Group,NIMBUS 50 M - ARIANEXT 50 M - AEROTOP MONO 05X - ENERGION M 5,NIMBUS PLUS 50 M H NET,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",15,59,176,5.80,4.47,-7,-10,5.13,3.15,3.15,4.42,2.01,5.28,1.54,7.28,5.13,3.15,5.03,2.82,,60,13,13,13,13,,1,0.77,,,,,,,,,,,low
 Ariston Thermo Group,NIMBUS 50 M - ARIANEXT 50 M - AEROTOP MONO 05X - ENERGION M 5,NIMBUS PLUS 50 M H NET,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",15,59,130,5.86,3.92,-7,-10,5.19,2.26,3.17,3.32,2.14,3.91,1.50,5.40,5.19,2.26,5.00,2.14,,60,13,13,13,13,,1,0.86,,,,,,,,,,,high
 Ariston Thermo Group,NIMBUS 50 M - ARIANEXT 50 M - AEROTOP MONO 05X - ENERGION M 5,NIMBUS PLUS 50 M NET,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",15,59,176,5.80,4.47,-7,-10,5.13,3.15,3.15,4.42,2.01,5.28,1.54,7.28,5.13,3.15,5.03,2.82,,60,13,13,13,13,,1,0.77,,,,,,,,,,,low
 Ariston Thermo Group,NIMBUS 50 M - ARIANEXT 50 M - AEROTOP MONO 05X - ENERGION M 5,NIMBUS PLUS 50 M NET,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",15,59,130,5.86,3.92,-7,-10,5.19,2.26,3.17,3.32,2.14,3.91,1.50,5.40,5.19,2.26,5.00,2.14,,60,13,13,13,13,,1,0.86,,,,,,,,,,,high
 Ariston Thermo Group,NIMBUS 50 M - ARIANEXT 50 M - AEROTOP MONO 05X - ENERGION M 5,NIMBUS POCKET 50 M NET,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",15,59,176,5.80,4.47,-7,-10,5.13,3.15,3.15,4.42,2.01,5.28,1.54,7.28,5.13,3.15,5.03,2.82,,60,13,13,13,13,,1,0.77,,,,,,,,,,,low
 Ariston Thermo Group,NIMBUS 50 M - ARIANEXT 50 M - AEROTOP MONO 05X - ENERGION M 5,NIMBUS POCKET 50 M NET,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",15,59,130,5.86,3.92,-7,-10,5.19,2.26,3.17,3.32,2.14,3.91,1.50,5.40,5.19,2.26,5.00,2.14,,60,13,13,13,13,,1,0.86,,,,,,,,,,,high
 Viessmann Faulquemont SAS,VIESSMANN Vitocal 060-A Typ T0E-ze 060-A (250l),Viessmann Vitocal 060-A Typ T0E-ze 060-A,27.02.2020,Heat Pump for Domestic Hot Water (DHW),R1234ze,"1,350 kg",,,,,,,,,,,,,,,,,,,,,,,,,,Electricity,,,,,,,,,,,,,low
 Viessmann Faulquemont SAS,VIESSMANN Vitocal 060-A Typ T0E-ze 060-A (250l),Viessmann Vitocal 060-A Typ T0E-ze 060-A,27.02.2020,Heat Pump for Domestic Hot Water (DHW),R1234ze,"1,350 kg",,,,,,,,,,,,,,,,,,,,,,,,,,Electricity,,,,,,,,,,,,,high
 BAXI Potterton Myson,Assure Mono 12 16,Assure Mono 12,25.06.2020,Outdoor Air/Water,R32,"2,800 kg",,68,169,12.00,4.29,-7,-10,10.52,2.88,6.50,4.15,4.12,5.74,2.23,5.40,10.52,2.88,12.01,2.60,,60,9,15,9,0,Electricity,1,0.00,,,,,,,,,,,low
 BAXI Potterton Myson,Assure Mono 12 16,Assure Mono 12,25.06.2020,Outdoor Air/Water,R32,"2,800 kg",,68,126,13.00,3.23,-7,-10,11.29,2.05,7.31,3.14,4.96,4.25,2.37,4.94,11.29,2.05,11.88,1.79,,60,9,15,9,0,Electricity,1,0.90,,,,,,,,,,,high
 BAXI Potterton Myson,Assure Mono 12 16,Assure Mono 16,25.06.2020,Outdoor Air/Water,R32,"2,800 kg",,71,169,16.00,4.30,-7,-10,14.15,2.72,8.92,4.17,5.64,5.86,2.47,6.28,14.15,2.72,12.93,2.41,,60,9,41,9,0,Electricity,1,3.10,,,,,,,,,,,low
 BAXI Potterton Myson,Assure Mono 12 16,Assure Mono 16,25.06.2020,Outdoor Air/Water,R32,"2,800 kg",,71,128,15.00,3.27,-7,-10,12.90,2.04,8.25,3.21,5.45,4.32,2.57,5.12,12.90,2.04,11.16,1.65,,60,9,41,9,0,Electricity,1,3.40,,,,,,,,,,,high
 BDR Thermea FR (CHAPPEE),Chappée ERIA S PLUS DUO R32 12-16,ERIA S PLUS DUO R32 12 MR/EM,11.11.2022,Outdoor Air/Water,R32,"1,840 kg",39,56,178,12.00,4.52,-7,-10,10.61,2.88,6.48,4.30,4.44,6.00,3.74,8.47,10.61,2.88,10.75,2.77,,65,14,24,14,0,Electricity,1,1.26,10.55,4.09,10.55,2.52,7.78,3.58,5.17,4.57,2.24,5.05,low
 BDR Thermea FR (CHAPPEE),Chappée ERIA S PLUS DUO R32 12-16,ERIA S PLUS DUO R32 12 MR/EM,11.11.2022,Outdoor Air/Water,R32,"1,840 kg",39,56,135,11.58,3.46,-7,-10,10.25,2.01,6.52,3.44,4.36,4.59,3.30,6.05,10.25,2.01,9.10,1.79,,65,14,24,14,0,Electricity,1,2.50,10.77,6.66,10.77,3.69,7.88,5.39,5.20,7.93,3.03,9.28,high
 BDR Thermea FR (CHAPPEE),Chappée ERIA S PLUS DUO R32 12-16,ERIA S PLUS DUO R32 12 MR/HM,11.11.2022,Outdoor Air/Water,R32,"1,840 kg",39,56,178,12.00,4.52,-7,-10,10.61,2.88,6.48,4.30,4.44,6.00,3.74,8.47,10.61,2.88,10.75,2.77,,65,14,24,14,0,Electricity,1,1.26,10.55,4.09,10.55,2.52,7.78,3.58,5.17,4.57,2.24,5.05,low
 BDR Thermea FR (CHAPPEE),Chappée ERIA S PLUS DUO R32 12-16,ERIA S PLUS DUO R32 12 MR/HM,11.11.2022,Outdoor Air/Water,R32,"1,840 kg",39,56,135,11.58,3.46,-7,-10,10.25,2.01,6.52,3.44,4.36,4.59,3.30,6.05,10.25,2.01,9.10,1.79,,65,14,24,14,0,Electricity,1,2.50,10.77,6.66,10.77,3.69,7.88,5.39,5.20,7.93,3.03,9.28,high
 BDR Thermea FR (CHAPPEE),Chappée ERIA S PLUS DUO R32 12-16,ERIA S PLUS DUO R32 12 TR/ET,11.11.2022,Outdoor Air/Water,R32,"1,840 kg",39,56,178,12.00,4.52,-7,-10,10.61,2.88,6.48,4.30,4.44,6.00,3.74,8.47,10.61,2.88,10.75,2.77,,65,20,30,20,0,Electricity,1,1.26,10.55,4.09,10.55,2.52,7.78,3.58,5.17,4.57,2.24,5.05,low
 BDR Thermea FR (CHAPPEE),Chappée ERIA S PLUS DUO R32 12-16,ERIA S PLUS DUO R32 12 TR/ET,11.11.2022,Outdoor Air/Water,R32,"1,840 kg",39,56,135,11.58,3.46,-7,-10,10.25,2.01,6.52,3.44,4.36,4.59,3.30,6.05,10.25,2.01,9.10,1.79,,65,20,30,20,0,Electricity,1,2.50,10.77,6.66,10.77,3.69,7.88,5.39,5.20,7.93,3.03,9.28,high
 BDR Thermea FR (CHAPPEE),Chappée ERIA S PLUS DUO R32 12-16,ERIA S PLUS DUO R32 12 TR/HT,11.11.2022,Outdoor Air/Water,R32,"1,840 kg",39,56,178,12.00,4.52,-7,-10,10.61,2.88,6.48,4.30,4.44,6.00,3.74,8.47,10.61,2.88,10.75,2.77,,65,20,30,20,0,Electricity,1,1.26,10.55,4.09,10.55,2.52,7.78,3.58,5.17,4.57,2.24,5.05,low
 BDR Thermea FR (CHAPPEE),Chappée ERIA S PLUS DUO R32 12-16,ERIA S PLUS DUO R32 12 TR/HT,11.11.2022,Outdoor Air/Water,R32,"1,840 kg",39,56,135,11.58,3.46,-7,-10,10.25,2.01,6.52,3.44,4.36,4.59,3.30,6.05,10.25,2.01,9.10,1.79,,65,20,30,20,0,Electricity,1,2.50,10.77,6.66,10.77,3.69,7.88,5.39,5.20,7.93,3.03,9.28,high
 BDR Thermea FR (CHAPPEE),Chappée ERIA S PLUS DUO R32 12-16,ERIA S PLUS DUO R32 16 MR/EM,11.11.2022,Outdoor Air/Water,R32,"1,840 kg",39,56,177,15.21,4.50,-7,-10,13.45,2.72,8.20,4.30,5.70,6.20,3.78,8.51,13.45,2.72,12.52,2.48,,65,14,24,14,0,Electricity,1,2.68,12.36,4.20,12.36,2.27,9.40,3.41,5.89,4.80,2.81,5.80,low
 BDR Thermea FR (CHAPPEE),Chappée ERIA S PLUS DUO R32 12-16,ERIA S PLUS DUO R32 16 MR/EM,11.11.2022,Outdoor Air/Water,R32,"1,840 kg",39,56,133,13.02,3.40,-7,-10,11.52,1.99,7.18,3.34,4.56,4.61,3.32,5.80,11.52,1.99,10.33,1.80,,65,14,24,14,0,Electricity,1,2.67,11.63,6.19,11.63,3.61,8.67,5.22,5.39,7.78,2.48,6.89,high
 BDR Thermea FR (CHAPPEE),Chappée ERIA S PLUS DUO R32 12-16,ERIA S PLUS DUO R32 16 MR/HM,11.11.2022,Outdoor Air/Water,R32,"1,840 kg",39,56,177,15.21,4.50,-7,-10,13.45,2.72,8.20,4.30,5.70,6.20,3.78,8.51,13.45,2.72,12.52,2.48,,65,14,24,14,0,Electricity,1,2.68,12.36,4.20,12.36,2.27,9.40,3.41,5.89,4.80,2.81,5.80,low
 BDR Thermea FR (CHAPPEE),Chappée ERIA S PLUS DUO R32 12-16,ERIA S PLUS DUO R32 16 MR/HM,11.11.2022,Outdoor Air/Water,R32,"1,840 kg",39,56,133,13.02,3.40,-7,-10,11.52,1.99,7.18,3.34,4.56,4.61,3.32,5.80,11.52,1.99,10.33,1.80,,65,14,24,14,0,Electricity,1,2.67,11.63,6.19,11.63,3.61,8.67,5.22,5.39,7.78,2.48,6.89,high
 BDR Thermea FR (CHAPPEE),Chappée ERIA S PLUS DUO R32 12-16,ERIA S PLUS DUO R32 16 TR/ET,11.11.2022,Outdoor Air/Water,R32,"1,840 kg",39,56,177,15.21,4.50,-7,-10,13.45,2.72,8.20,4.30,5.70,6.20,3.78,8.51,13.45,2.72,12.52,2.48,,65,20,30,20,0,Electricity,1,2.68,12.36,4.20,12.36,2.27,9.40,3.41,5.89,4.80,2.81,5.80,low
 BDR Thermea FR (CHAPPEE),Chappée ERIA S PLUS DUO R32 12-16,ERIA S PLUS DUO R32 16 TR/ET,11.11.2022,Outdoor Air/Water,R32,"1,840 kg",39,56,133,13.02,3.40,-7,-10,11.52,1.99,7.18,3.34,4.56,4.61,3.32,5.80,11.52,1.99,10.33,1.80,,65,20,30,20,0,Electricity,1,2.67,11.63,6.19,11.63,3.61,8.67,5.22,5.39,7.78,2.48,6.89,high
 BDR Thermea FR (CHAPPEE),Chappée ERIA S PLUS DUO R32 12-16,ERIA S PLUS DUO R32 16 TR/HT,11.11.2022,Outdoor Air/Water,R32,"1,840 kg",39,56,177,15.21,4.50,-7,-10,13.45,2.72,8.20,4.30,5.70,6.20,3.78,8.51,13.45,2.72,12.52,2.48,,65,20,30,20,0,Electricity,1,2.68,12.36,4.20,12.36,2.27,9.40,3.41,5.89,4.80,2.81,5.80,low
 BDR Thermea FR (CHAPPEE),Chappée ERIA S PLUS DUO R32 12-16,ERIA S PLUS DUO R32 16 TR/HT,11.11.2022,Outdoor Air/Water,R32,"1,840 kg",39,56,133,13.02,3.40,-7,-10,11.52,1.99,7.18,3.34,4.56,4.61,3.32,5.80,11.52,1.99,10.33,1.80,,65,20,30,20,0,Electricity,1,2.67,11.63,6.19,11.63,3.61,8.67,5.22,5.39,7.78,2.48,6.89,high
 Frigicoll,Aquantia BI PRO 4 - 6 XL DHW Tank,KHP-BI 4 DVR2+ KHPI-BI-10VR2XL,04.06.2021,Outdoor Air/Water,R32,"1,500 kg",42,56,191,5.52,4.85,-7,-10,4.88,3.19,3.06,4.78,1.93,6.13,1.48,8.05,4.88,3.19,4.42,2.86,,65,14,24,14,0,Electricity,1,1.11,,,,,,,,,,,low
 Frigicoll,Aquantia BI PRO 4 - 6 XL DHW Tank,KHP-BI 4 DVR2+ KHPI-BI-10VR2XL,04.06.2021,Outdoor Air/Water,R32,"1,500 kg",42,56,130,4.40,3.31,-7,-10,3.89,2.17,2.38,3.30,2.95,4.41,1.32,5.66,3.89,2.17,3.42,1.91,,65,14,24,14,0,Electricity,1,0.98,,,,,,,,,,,high
 Frigicoll,Aquantia BI PRO 4 - 6 XL DHW Tank,KHP-BI 6 DVR2+ KHPI-BI-10VR2XL,04.06.2021,Outdoor Air/Water,R32,"1,500 kg",42,58,195,6.82,4.95,-7,-10,6.03,3.09,3.88,4.85,2.40,6.63,1.39,7.83,6.03,3.09,5.36,2.76,,65,14,24,14,0,Electricity,1,1.45,,,,,,,,,,,low
 Frigicoll,Aquantia BI PRO 4 - 6 XL DHW Tank,KHP-BI 6 DVR2+ KHPI-BI-10VR2XL,04.06.2021,Outdoor Air/Water,R32,"1,500 kg",42,58,138,5.70,3.52,-7,-10,5.05,2.17,3.12,3.51,2.09,4.54,1.28,5.59,5.05,2.17,4.52,1.91,,65,14,24,14,0,Electricity,1,1.18,,,,,,,,,,,high
 Mitsubishi Heavy Industries Air Conditioning Europe,FDCW100VNX-A,FDCW100VNX-A + HMA100-S,21.01.2019,Outdoor Air/Water,R410A,"2,900 kg",33,58,165,8.50,4.13,-8,-10,7.50,2.93,4.60,4.11,3.60,5.17,4.10,6.13,7.80,2.93,7.50,2.69,,58,2,20,15,35,Electricity,1,1.00,,,,,,,,,,,low
 Mitsubishi Heavy Industries Air Conditioning Europe,FDCW100VNX-A,FDCW100VNX-A + HMA100-S,21.01.2019,Outdoor Air/Water,R410A,"2,900 kg",33,58,126,10.00,3.15,-4,-10,8.80,1.96,5.40,3.22,3.50,4.47,3.80,5.45,7.70,2.31,6.70,1.94,,58,2,14,15,35,Electricity,1,3.30,,,,,,,,,,,high
