Manufacturer,Model,T_outside [°C],T_out [°C],EER,Group,Pdc [W],P_el [W],Pdc_n,P_el_n
Advantix S.p.A.,i-SHWAK V4 14T,25,7,5.89,1.0,5420.0,920.2037351443124,0.47294938917975565,0.24892073114723984
Advantix S.p.A.,i-SHWAK V4 14T,20,7,6.59,1.0,5730.0,869.4992412746586,0.5,0.23520485584218517
Advantix S.p.A.,i-SHWAK V4 16T,35,7,3.24,1.0,14650.0,4521.6049382716055,1.0,1.0
Advantix S.p.A.,i-SHWAK V4 16T,30,7,4.71,1.0,10790.0,2290.870488322718,0.736518771331058,0.5066498554379253
Advantix S.p.A.,i-SHWAK V4 16T,25,7,5.81,1.0,6930.0,1192.7710843373495,0.47303754266211606,0.26379374151897694
Advantix S.p.A.,i-SHWAK V4 16T,20,7,6.28,1.0,7030.0,1119.4267515923566,0.47986348122866895,0.24757287885045973
DAIKIN Europe N.V.,EPRA18DV / ETVX16S23D9W(G),35,7,2.68,1.0,8860.0,3305.970149253731,1.0,1.0
DAIKIN Europe N.V.,EPRA18DV / ETVX16S23D9W(G),30,7,3.72,1.0,6610.0,1776.8817204301074,0.7460496613995485,0.5374766377824705
DAIKIN Europe N.V.,EPRA18DV / ETVX16S23D9W(G),25,7,4.68,1.0,5120.0,1094.017094017094,0.5778781038374717,0.3309216492060736
DAIKIN Europe N.V.,EPRA18DV / ETVX16S23D9W(G),20,7,5.81,1.0,5310.0,913.9414802065404,0.5993227990970654,0.2764518247125879
DAIKIN Europe N.V.,EPRA18DW / ETVX16S23D9W(G),35,7,2.68,1.0,8860.0,3305.970149253731,1.0,1.0
DAIKIN Europe N.V.,EPRA18DW / ETVX16S23D9W(G),30,7,3.72,1.0,6610.0,1776.8817204301074,0.7460496613995485,0.5374766377824705
DAIKIN Europe N.V.,EPRA18DW / ETVX16S23D9W(G),25,7,4.68,1.0,5120.0,1094.017094017094,0.5778781038374717,0.3309216492060736
DAIKIN Europe N.V.,EPRA18DW / ETVX16S23D9W(G),20,7,5.81,1.0,5310.0,913.9414802065404,0.5993227990970654,0.2764518247125879
DAIKIN Europe N.V.,EPGA11DV / EAVX16S23D9W(G),35,7,3.23,1.0,10660.0,3300.3095975232204,1.0,1.0
DAIKIN Europe N.V.,EPGA11DV / EAVX16S23D9W(G),30,7,4.32,1.0,7870.0,1821.7592592592594,0.7382739212007504,0.5519964734903758
DAIKIN Europe N.V.,EPGA11DV / EAVX16S23D9W(G),25,7,6.16,1.0,5160.0,837.6623376623378,0.48405253283302063,0.2538132599108209
DAIKIN Europe N.V.,EPGA11DV / EAVX16S23D9W(G),20,7,6.65,1.0,7860.0,1181.954887218045,0.7373358348968105,0.35813454837845077
DAIKIN Europe N.V.,EPGA14DV / EAVX16S23D9W(G),35,7,2.99,1.0,11890.0,3976.5886287625417,1.0,1.0
DAIKIN Europe N.V.,EPGA14DV / EAVX16S23D9W(G),30,7,4.15,1.0,8790.0,2118.0722891566265,0.7392767031118587,0.5326355041697488
DAIKIN Europe N.V.,EPGA14DV / EAVX16S23D9W(G),25,7,6.19,1.0,5560.0,898.2229402261713,0.46761984861227923,0.2258777620921995
DAIKIN Europe N.V.,EPGA14DV / EAVX16S23D9W(G),20,7,6.65,1.0,7860.0,1181.954887218045,0.6610597140454163,0.2972283526309466
DAIKIN Europe N.V.,EPGA16DV / EAVX16S23D9W(G),35,7,2.74,1.0,13480.0,4919.70802919708,1.0,1.0
DAIKIN Europe N.V.,EPGA16DV / EAVX16S23D9W(G),30,7,4.01,1.0,9470.0,2361.5960099750628,0.7025222551928784,0.48002767561807663
DAIKIN Europe N.V.,EPGA16DV / EAVX16S23D9W(G),25,7,6.12,1.0,6180.0,1009.8039215686273,0.45845697329376855,0.20525688020015126
DAIKIN Europe N.V.,EPGA16DV / EAVX16S23D9W(G),20,7,6.65,1.0,7860.0,1181.954887218045,0.5830860534124629,0.24024899042859377
DAIKIN Europe N.V.,EDLA11D(3)W1,35,7,3.26,1.0,11600.0,3558.282208588957,1.0,1.0
DAIKIN Europe N.V.,EDLA11D(3)W1,30,7,4.75,1.0,8800.0,1852.6315789473686,0.7586206896551724,0.5206533575317605
DAIKIN Europe N.V.,EDLA11D(3)W1,25,7,6.91,1.0,5700.0,824.8914616497829,0.49137931034482757,0.23182294525674932
DAIKIN Europe N.V.,EDLA11D(3)W1,20,7,8.45,1.0,5800.0,686.3905325443787,0.5,0.1928994082840237
DAIKIN Europe N.V.,EDLA14D(3)W1,35,7,3.16,1.0,12800.0,4050.632911392405,1.0,1.0
DAIKIN Europe N.V.,EDLA14D(3)W1,30,7,4.57,1.0,9900.0,2166.3019693654264,0.7734375,0.5348057986870897
DAIKIN Europe N.V.,EDLA14D(3)W1,25,7,6.8,1.0,6200.0,911.7647058823527,0.484375,0.22509191176470583
DAIKIN Europe N.V.,EDLA14D(3)W1,20,7,8.42,1.0,5800.0,688.8361045130641,0.453125,0.1700564133016627
DAIKIN Europe N.V.,EDLA16D(3)W1,35,7,3.06,1.0,14000.0,4575.16339869281,1.0,1.0
DAIKIN Europe N.V.,EDLA16D(3)W1,30,7,4.41,1.0,10800.0,2448.9795918367345,0.7714285714285715,0.5352769679300292
DAIKIN Europe N.V.,EDLA16D(3)W1,25,7,6.56,1.0,6900.0,1051.8292682926829,0.4928571428571429,0.22989982578397214
DAIKIN Europe N.V.,EDLA16D(3)W1,20,7,8.51,1.0,5900.0,693.3019976498238,0.42142857142857143,0.1515360080577472
DAIKIN Europe N.V.,EBLA09D(3)W1,35,7,3.35,1.0,9400.0,2805.970149253731,1.0,1.0
DAIKIN Europe N.V.,EBLA09D(3)W1,30,7,4.69,1.0,7000.0,1492.5373134328354,0.7446808510638298,0.5319148936170212
DAIKIN Europe N.V.,EBLA09D(3)W1,25,7,6.7,1.0,4900.0,731.3432835820895,0.5212765957446809,0.26063829787234044
DAIKIN Europe N.V.,EBLA09D(3)W1,20,7,8.22,1.0,5700.0,693.4306569343065,0.6063829787234043,0.24712688305637523
DAIKIN Europe N.V.,EDLA09D(3)W1,35,7,3.35,1.0,9400.0,2805.970149253731,1.0,1.0
DAIKIN Europe N.V.,EDLA09D(3)W1,30,7,4.69,1.0,7000.0,1492.5373134328354,0.7446808510638298,0.5319148936170212
DAIKIN Europe N.V.,EDLA09D(3)W1,25,7,6.7,1.0,4900.0,731.3432835820895,0.5212765957446809,0.26063829787234044
DAIKIN Europe N.V.,EDLA09D(3)W1,20,7,8.22,1.0,5700.0,693.4306569343065,0.6063829787234043,0.24712688305637523
DAIKIN Europe N.V.,ERGA04EV7 / EHVX04S23E6V(G),35,7,3.32,1.0,4520.0,1361.44578313253,1.0,1.0
DAIKIN Europe N.V.,ERGA04EV7 / EHVX04S23E6V(G),30,7,5.11,1.0,3140.0,614.4814090019569,0.6946902654867256,0.4513447517448002
DAIKIN Europe N.V.,ERGA04EV7 / EHVX04S23E6V(G),25,7,6.69,1.0,2430.0,363.2286995515695,0.5376106194690266,0.26679630144053335
DAIKIN Europe N.V.,ERGA04EV7 / EHVX04S23E6V(G),20,7,8.24,1.0,2500.0,303.3980582524272,0.5530973451327433,0.22284990119426068
DAIKIN Europe N.V.,ERGA04EVA / EHSXB04P50D3,35,7,3.32,1.0,4520.0,1361.44578313253,1.0,1.0
DAIKIN Europe N.V.,ERGA04EVA / EHSXB04P50D3,30,7,5.11,1.0,3140.0,614.4814090019569,0.6946902654867256,0.4513447517448002
DAIKIN Europe N.V.,ERGA04EVA / EHSXB04P50D3,25,7,6.69,1.0,2430.0,363.2286995515695,0.5376106194690266,0.26679630144053335
DAIKIN Europe N.V.,ERGA04EVA / EHSXB04P50D3,20,7,8.24,1.0,2500.0,303.3980582524272,0.5530973451327433,0.22284990119426068
DAIKIN Europe N.V.,ERLA03DV / EHFH03S18D3V + cooling kit,35,7,3.03,1.0,3490.0,1151.8151815181518,1.0,1.0
DAIKIN Europe N.V.,ERLA03DV / EHFH03S18D3V + cooling kit,30,7,4.21,1.0,2660.0,631.8289786223278,0.7621776504297995,0.5485506605231097
DAIKIN Europe N.V.,ERLA03DV / EHFH03S18D3V + cooling kit,25,7,5.11,1.0,1730.0,338.5518590998043,0.49570200573065903,0.2939289779577097
DAIKIN Europe N.V.,ERLA03DV / EHFH03S18D3V + cooling kit,20,7,6.79,1.0,1380.0,203.24005891016202,0.3954154727793696,0.17645197091627246
DAIKIN Europe N.V.,ERGA06EVA / EHVX08S23E9W,35,7,3.28,1.0,5090.0,1551.829268292683,1.0,1.0
DAIKIN Europe N.V.,ERGA06EVA / EHVX08S23E9W,30,7,4.93,1.0,3750.0,760.6490872210953,0.7367387033398821,0.4901628695648708
DAIKIN Europe N.V.,ERGA06EVA / EHVX08S23E9W,25,7,6.86,1.0,2470.0,360.05830903790087,0.48526522593320237,0.2320218572975078
DAIKIN Europe N.V.,ERGA06EVA / EHVX08S23E9W,20,7,8.36,1.0,2520.0,301.43540669856463,0.4950884086444008,0.1942452129609611
DAIKIN Europe N.V.,ERGA08EVA / EHVX08S23E9W,35,7,3.14,1.0,5440.0,1732.4840764331211,1.0,1.0
DAIKIN Europe N.V.,ERGA08EVA / EHVX08S23E9W,30,7,4.84,1.0,4020.0,830.5785123966942,0.7389705882352942,0.47941480311132717
DAIKIN Europe N.V.,ERGA08EVA / EHVX08S23E9W,25,7,6.86,1.0,2470.0,360.05830903790087,0.4540441176470588,0.20782777396672952
DAIKIN Europe N.V.,ERGA08EVA / EHVX08S23E9W,20,7,8.47,1.0,2540.0,299.8819362455726,0.46691176470588236,0.1730936176123342
DAIKIN Europe N.V.,ERGA08EV / EHVZ08S23E9W + cooling,35,7,3.14,1.0,5440.0,1732.4840764331211,1.0,1.0
DAIKIN Europe N.V.,ERGA08EV / EHVZ08S23E9W + cooling,30,7,4.84,1.0,4020.0,830.5785123966942,0.7389705882352942,0.47941480311132717
DAIKIN Europe N.V.,ERGA08EV / EHVZ08S23E9W + cooling,25,7,6.86,1.0,2470.0,360.05830903790087,0.4540441176470588,0.20782777396672952
DAIKIN Europe N.V.,ERGA08EV / EHVZ08S23E9W + cooling,20,7,8.47,1.0,2540.0,299.8819362455726,0.46691176470588236,0.1730936176123342
Johnson Controls-Hitachi AirConditioning Spain,06. RAS-2WHVRP RWD-2.0NRWSE-260S Solar Version - with cooling kit,35,7,4.0,1.0,4000.0,1000.0,1.0,1.0
Johnson Controls-Hitachi AirConditioning Spain,06. RAS-2WHVRP RWD-2.0NRWSE-260S Solar Version - with cooling kit,35,18,5.4,1.0,5500.0,1018.5185185185184,1.375,1.0185185185185184
Johnson Controls-Hitachi AirConditioning Spain,06. RAS-2WHVRP RWD-2.0NRWSE-260S Solar Version - with cooling kit,30,7,5.0,1.0,2950.0,590.0,0.7375,0.59
Johnson Controls-Hitachi AirConditioning Spain,06. RAS-2WHVRP RWD-2.0NRWSE-260S Solar Version - with cooling kit,30,18,7.2,1.0,4050.0,562.5,1.0125,0.5625
Johnson Controls-Hitachi AirConditioning Spain,06. RAS-2WHVRP RWD-2.0NRWSE-260S Solar Version - with cooling kit,25,7,6.45,1.0,2050.0,317.82945736434107,0.5125,0.3178294573643411
Johnson Controls-Hitachi AirConditioning Spain,06. RAS-2WHVRP RWD-2.0NRWSE-260S Solar Version - with cooling kit,25,18,9.6,1.0,2610.0,271.875,0.6525,0.271875
Johnson Controls-Hitachi AirConditioning Spain,06. RAS-2WHVRP RWD-2.0NRWSE-260S Solar Version - with cooling kit,20,7,8.0,1.0,2880.0,360.0,0.72,0.36
Johnson Controls-Hitachi AirConditioning Spain,06. RAS-2WHVRP RWD-2.0NRWSE-260S Solar Version - with cooling kit,20,18,10.3,1.0,2510.0,243.6893203883495,0.6275,0.2436893203883495
Johnson Controls-Hitachi AirConditioning Spain,06. RAS-2.5WHVRP RWD-2.5NRWSE260S - Solar Version - with cooling kit,35,7,3.6,1.0,5300.0,1472.2222222222224,1.0,1.0
Johnson Controls-Hitachi AirConditioning Spain,06. RAS-2.5WHVRP RWD-2.5NRWSE260S - Solar Version - with cooling kit,35,18,5.3,1.0,6300.0,1188.6792452830189,1.1886792452830188,0.8074047703809184
Johnson Controls-Hitachi AirConditioning Spain,06. RAS-2.5WHVRP RWD-2.5NRWSE260S - Solar Version - with cooling kit,30,7,4.5,1.0,3910.0,868.8888888888888,0.7377358490566037,0.5901886792452828
Johnson Controls-Hitachi AirConditioning Spain,06. RAS-2.5WHVRP RWD-2.5NRWSE260S - Solar Version - with cooling kit,30,18,7.0,1.0,4640.0,662.8571428571429,0.8754716981132076,0.45024258760107816
Johnson Controls-Hitachi AirConditioning Spain,06. RAS-2.5WHVRP RWD-2.5NRWSE260S - Solar Version - with cooling kit,25,7,6.3,1.0,2510.0,398.4126984126984,0.47358490566037736,0.27061994609164414
Johnson Controls-Hitachi AirConditioning Spain,06. RAS-2.5WHVRP RWD-2.5NRWSE260S - Solar Version - with cooling kit,25,18,9.9,1.0,2980.0,301.01010101010104,0.5622641509433962,0.20445969125214408
Johnson Controls-Hitachi AirConditioning Spain,06. RAS-2.5WHVRP RWD-2.5NRWSE260S - Solar Version - with cooling kit,20,7,8.56,1.0,2880.0,336.44859813084116,0.5433962264150943,0.22853112325868455
Johnson Controls-Hitachi AirConditioning Spain,06. RAS-2.5WHVRP RWD-2.5NRWSE260S - Solar Version - with cooling kit,20,18,12.6,1.0,2650.0,210.31746031746036,0.5,0.14285714285714288
Johnson Controls-Hitachi AirConditioning Spain,06. RAS-3WHVRP RWD-3.0NRWSE-260S Solar Version - with cooling kit,35,7,3.35,1.0,6500.0,1940.2985074626865,1.0,1.0
Johnson Controls-Hitachi AirConditioning Spain,06. RAS-3WHVRP RWD-3.0NRWSE-260S Solar Version - with cooling kit,35,18,5.0,1.0,7000.0,1400.0,1.0769230769230769,0.7215384615384616
Johnson Controls-Hitachi AirConditioning Spain,06. RAS-3WHVRP RWD-3.0NRWSE-260S Solar Version - with cooling kit,30,7,4.5,1.0,4790.0,1064.4444444444443,0.7369230769230769,0.5485982905982906
Johnson Controls-Hitachi AirConditioning Spain,06. RAS-3WHVRP RWD-3.0NRWSE-260S Solar Version - with cooling kit,30,18,6.4,1.0,5160.0,806.25,0.7938461538461539,0.41552884615384617
Johnson Controls-Hitachi AirConditioning Spain,06. RAS-3WHVRP RWD-3.0NRWSE-260S Solar Version - with cooling kit,25,7,6.0,1.0,2900.0,483.33333333333326,0.4461538461538462,0.24910256410256407
Johnson Controls-Hitachi AirConditioning Spain,06. RAS-3WHVRP RWD-3.0NRWSE-260S Solar Version - with cooling kit,25,18,10.0,1.0,3320.0,332.0,0.5107692307692308,0.17110769230769232
Johnson Controls-Hitachi AirConditioning Spain,06. RAS-3WHVRP RWD-3.0NRWSE-260S Solar Version - with cooling kit,20,7,7.5,1.0,3400.0,453.33333333333326,0.5230769230769231,0.2336410256410256
Johnson Controls-Hitachi AirConditioning Spain,06. RAS-3WHVRP RWD-3.0NRWSE-260S Solar Version - with cooling kit,20,18,13.5,1.0,3600.0,266.6666666666667,0.5538461538461539,0.13743589743589746
Panasonic Marketing Europe GmbH,WH-MDC05J3E5 + DGC200,35,7,3.17,1.0,5000.0,1577.2870662460568,1.0,1.0
Panasonic Marketing Europe GmbH,WH-MDC05J3E5 + DGC200,30,7,4.59,1.0,3680.0,801.7429193899782,0.736,0.5083050108932461
Panasonic Marketing Europe GmbH,WH-MDC05J3E5 + DGC200,25,7,6.7,1.0,2370.0,353.73134328358213,0.474,0.22426567164179106
Panasonic Marketing Europe GmbH,WH-MDC05J3E5 + DGC200,20,7,8.62,1.0,1050.0,121.80974477958237,0.21,0.07722737819025523
Panasonic Marketing Europe GmbH,WH-MDC07J3E5 + DGC200,35,7,3.15,1.0,6000.0,1904.7619047619046,1.0,1.0
Panasonic Marketing Europe GmbH,WH-MDC07J3E5 + DGC200,30,7,4.43,1.0,4420.0,997.7426636568848,0.7366666666666667,0.5238148984198646
Panasonic Marketing Europe GmbH,WH-MDC07J3E5 + DGC200,25,7,6.36,1.0,2840.0,446.54088050314476,0.47333333333333333,0.23443396226415103
Panasonic Marketing Europe GmbH,WH-MDC07J3E5 + DGC200,20,7,8.11,1.0,1260.0,155.36374845869298,0.21,0.08156596794081382
Panasonic Marketing Europe GmbH,WH-MDC09J3E5 + DGC200,35,7,3.06,1.0,7000.0,2287.581699346405,1.0,1.0
Panasonic Marketing Europe GmbH,WH-MDC09J3E5 + DGC200,30,7,4.15,1.0,5160.0,1243.3734939759036,0.7371428571428571,0.5435318416523236
Panasonic Marketing Europe GmbH,WH-MDC09J3E5 + DGC200,25,7,6.11,1.0,3320.0,543.3715220949264,0.4742857142857143,0.23753097965863926
Panasonic Marketing Europe GmbH,WH-MDC09J3E5 + DGC200,20,7,7.64,1.0,1470.0,192.40837696335083,0.21,0.08410994764397908
Panasonic Marketing Europe GmbH,WH-SDC0305J3E5 / WH-UD03JE5,35,7,3.95,1.0,3000.0,759.4936708860761,1.0,1.0
Panasonic Marketing Europe GmbH,WH-SDC0305J3E5 / WH-UD03JE5,30,7,5.37,1.0,2210.0,411.54562383612665,0.7366666666666667,0.5418684047175667
Panasonic Marketing Europe GmbH,WH-SDC0305J3E5 / WH-UD03JE5,25,7,7.44,1.0,1420.0,190.86021505376343,0.47333333333333333,0.2512992831541218
Panasonic Marketing Europe GmbH,WH-SDC0305J3E5 / WH-UD03JE5,20,7,8.93,1.0,630.0,70.54871220604703,0.21,0.09288913773796191
Panasonic Marketing Europe GmbH,WH-SDC0305J3E5 / WH-UD05JE5,35,7,3.47,1.0,4000.0,1152.7377521613832,1.0,1.0
Panasonic Marketing Europe GmbH,WH-SDC0305J3E5 / WH-UD05JE5,30,7,5.12,1.0,2950.0,576.171875,0.7375,0.49982910156250004
Panasonic Marketing Europe GmbH,WH-SDC0305J3E5 / WH-UD05JE5,25,7,7.31,1.0,1890.0,258.54993160054715,0.4725,0.22429206566347468
Panasonic Marketing Europe GmbH,WH-SDC0305J3E5 / WH-UD05JE5,20,7,9.26,1.0,840.0,90.71274298056156,0.21,0.07869330453563715
Panasonic Marketing Europe GmbH,WH-SDC0709J3E5 / WH-UD09JE5-1,35,7,2.95,1.0,7000.0,2372.8813559322034,1.0,1.0
Panasonic Marketing Europe GmbH,WH-SDC0709J3E5 / WH-UD09JE5-1,30,7,4.0,1.0,5160.0,1290.0,0.7371428571428571,0.5436428571428571
Panasonic Marketing Europe GmbH,WH-SDC0709J3E5 / WH-UD09JE5-1,25,7,5.91,1.0,3320.0,561.7597292724197,0.4742857142857143,0.23674160019337687
Panasonic Marketing Europe GmbH,WH-SDC0709J3E5 / WH-UD09JE5-1,20,7,7.54,1.0,1470.0,194.9602122015915,0.21,0.08216180371352785
Viessmann,AWO-M-AC (AF) 101.A06,35,7,3.14,1.0,5020.0,1598.7261146496814,1.0,1.0
Viessmann,AWO-M-AC (AF) 101.A06,30,7,4.03,1.0,3700.0,918.1141439205954,0.7370517928286853,0.5742785681096951
Viessmann,AWO-M-AC (AF) 101.A06,25,7,4.8,1.0,2700.0,562.5,0.5378486055776892,0.35184262948207173
Viessmann,AWO-M-AC (AF) 101.A06,20,7,6.1,1.0,2960.0,485.2459016393443,0.5896414342629482,0.3035203448501078
Viessmann,AWO-M-AC (AF) 101.A08,35,7,3.05,1.0,6080.0,1993.44262295082,1.0,1.0
Viessmann,AWO-M-AC (AF) 101.A08,30,7,4.07,1.0,4490.0,1103.194103194103,0.7384868421052632,0.5534115155825681
Viessmann,AWO-M-AC (AF) 101.A08,25,7,4.84,1.0,2740.0,566.1157024793389,0.4506578947368421,0.2839889625924315
Viessmann,AWO-M-AC (AF) 101.A08,20,7,6.34,1.0,3020.0,476.3406940063092,0.4967105263157895,0.23895380209198075
Viessmann,AWO-M-AC (AF) 101.A12,35,7,3.05,1.0,8510.0,2790.16393442623,1.0,1.0
Viessmann,AWO-M-AC (AF) 101.A12,30,7,4.03,1.0,6280.0,1558.3126550868485,0.7379553466509988,0.5585021854306566
Viessmann,AWO-M-AC (AF) 101.A12,25,7,4.58,1.0,3980.0,868.9956331877728,0.46768507638072854,0.3114496687688257
Viessmann,AWO-M-AC (AF) 101.A12,20,7,6.08,1.0,4230.0,695.7236842105265,0.4970622796709753,0.24934867647968337
Viessmann,AWO-M-AC (AF) 101.A10,35,7,3.15,1.0,7530.0,2390.4761904761904,1.0,1.0
Viessmann,AWO-M-AC (AF) 101.A10,30,7,3.92,1.0,5490.0,1400.5102040816328,0.7290836653386454,0.5858708025042687
Viessmann,AWO-M-AC (AF) 101.A10,25,7,4.46,1.0,3560.0,798.2062780269058,0.47277556440903057,0.33391099280010006
Viessmann,AWO-M-AC (AF) 101.A10,20,7,6.07,1.0,4350.0,716.6392092257,0.5776892430278885,0.29978931063226494
Viessmann,AWO-M-AC (AF) 101.A14,35,7,3.25,1.0,11480.0,3532.3076923076924,1.0,1.0
Viessmann,AWO-M-AC (AF) 101.A14,30,7,4.31,1.0,8470.0,1965.1972157772625,0.7378048780487805,0.5563493859996606
Viessmann,AWO-M-AC (AF) 101.A14,25,7,4.91,1.0,5410.0,1101.8329938900204,0.4712543554006969,0.3119300723120702
Viessmann,AWO-M-AC (AF) 101.A14,20,7,6.52,1.0,5530.0,848.159509202454,0.4817073170731707,0.24011484363309893
Viessmann,AWO-M-AC (AF) 101.A16,35,7,3.15,1.0,13800.0,4380.952380952381,1.0,1.0
Viessmann,AWO-M-AC (AF) 101.A16,30,7,4.36,1.0,10170.0,2332.568807339449,0.7369565217391304,0.5324341842840047
Viessmann,AWO-M-AC (AF) 101.A16,25,7,5.3,1.0,6470.0,1220.754716981132,0.4688405797101449,0.27865053322395406
Viessmann,AWO-M-AC (AF) 101.A16,20,7,6.53,1.0,5530.0,846.8606431852986,0.4007246376811594,0.19330514681403557
