,title,application,indoor,outdoor,coolingMode7c12c,coolingMode18c23c,colderClimate,warmerClimate,reversibility,colderForHeating,warmerForHeating,en145112Certification,heatSource,additionalOutdoorAir,additionalExhaustAir,additionalIndoorAir,additionalNonheatedSpaceAir,powerSupply,offPeakProduct,Refrigerant,Mass of Refrigerant,Date,Manufacturer,Modelname,Type,Energy
 Mitsubishi Electric Air Conditioning Systems Europe LTD PUD-SWM80YAA(-BS) + E*SD-*M*D,PUD-SWM80YAA(-BS) + E*SD-*M*D,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,R32,"1,300 kg",30.11.2020, Mitsubishi Electric Air Conditioning Systems Europe LTD,Ecodan Power Inverter 6/8-200D AA,Outdoor Air/Water,Electricity
 Mitsubishi Electric Air Conditioning Systems Europe LTD PUD-SWM80YAA(-BS) + E*SD-M*D,PUD-SWM80YAA(-BS) + E*SD-M*D,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,R32,"1,300 kg",30.11.2020, Mitsubishi Electric Air Conditioning Systems Europe LTD,Ecodan Power Inverter 6/8-200D AA,Outdoor Air/Water,Electricity
 Mitsubishi Electric Air Conditioning Systems Europe LTD PUD-SWM80YAA(-BS) + E*ST20D-*M*D,PUD-SWM80YAA(-BS) + E*ST20D-*M*D,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,R32,"1,300 kg",30.11.2020, Mitsubishi Electric Air Conditioning Systems Europe LTD,Ecodan Power Inverter 6/8-200D AA,Outdoor Air/Water,Electricity
 Mitsubishi Electric Air Conditioning Systems Europe LTD PUD-SWM80YAA(-BS) + E*ST20D-M*D,PUD-SWM80YAA(-BS) + E*ST20D-M*D,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,R32,"1,300 kg",30.11.2020, Mitsubishi Electric Air Conditioning Systems Europe LTD,Ecodan Power Inverter 6/8-200D AA,Outdoor Air/Water,Electricity
 Heliotherm GmbH HELIOTHERM - Luft-/Wasserwärmepumpe in Splittbauweise modulierend Baureihe Basic Comfort,HELIOTHERM - Luft-/Wasserwärmepumpe in Splittbauweise modulierend Baureihe Basic Comfort,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,3,2,R410A,"9,300 kg",14.12.2017, Heliotherm GmbH,HP20L-M-BC ,Outdoor Air/Water,Electricity
 Ariston Thermo Group ARIANEXT FLEX 80 M LINK R32 ,ARIANEXT FLEX 80 M LINK R32 ,4,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,R32,"1,400 kg",05.07.2022, Ariston Thermo Group,NIMBUS/ARIANEXT/AEROTOP/ENERGION 80 M - FLEX,Outdoor Air/Water,Electricity
 Ariston Thermo Group ARIANEXT FLEX 80 M-T LINK R32 ,ARIANEXT FLEX 80 M-T LINK R32 ,4,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,3,0,R32,"1,400 kg",05.07.2022, Ariston Thermo Group,NIMBUS/ARIANEXT/AEROTOP/ENERGION 80 M - FLEX,Outdoor Air/Water,Electricity
 Ariston Thermo Group NIMBUS FLEX 80 M NET R32 ,NIMBUS FLEX 80 M NET R32 ,4,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,R32,"1,400 kg",05.07.2022, Ariston Thermo Group,NIMBUS/ARIANEXT/AEROTOP/ENERGION 80 M - FLEX,Outdoor Air/Water,Electricity
 Ariston Thermo Group NIMBUS FLEX 80 M-T NET R32 ,NIMBUS FLEX 80 M-T NET R32 ,4,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,3,0,R32,"1,400 kg",05.07.2022, Ariston Thermo Group,NIMBUS/ARIANEXT/AEROTOP/ENERGION 80 M - FLEX,Outdoor Air/Water,Electricity
" tecalor GmbH TTF 10 basic, average climates","TTF 10 basic, average climates",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,R410A,"2,600 kg",28.10.2016, tecalor GmbH,TTF 10 basic,Brine/Water,
 Samsung Electronics Air Conditioner Europe B.V. AE044MXTPEH/EU & AE260TNWTEH/EU,AE044MXTPEH/EU & AE260TNWTEH/EU,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,R410A,"2,600 kg",29.07.2020, Samsung Electronics Air Conditioner Europe B.V.,Samsung EHS TDM Plus R410A 4.4 kW & 6.6 kW (space heating/ 260L),Outdoor Air/Water,Electricity
 Samsung Electronics Air Conditioner Europe B.V. AE066MXTPEH/EU & AE260TNWTEH/EU,AE066MXTPEH/EU & AE260TNWTEH/EU,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,R410A,"2,600 kg",29.07.2020, Samsung Electronics Air Conditioner Europe B.V.,Samsung EHS TDM Plus R410A 4.4 kW & 6.6 kW (space heating/ 260L),Outdoor Air/Water,Electricity
 Mitsubishi Electric Air Conditioning Systems Europe LTD PUD-SHWM60VAA(-BS) + E*ST30D-*M*D,PUD-SHWM60VAA(-BS) + E*ST30D-*M*D,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,R32,"1,400 kg",30.11.2020, Mitsubishi Electric Air Conditioning Systems Europe LTD,Ecodan Zubadan 6/8-300D AA,Outdoor Air/Water,Electricity
 Mitsubishi Electric Air Conditioning Systems Europe LTD PUD-SHWM60VAA(-BS) + E*ST30D-M*D,PUD-SHWM60VAA(-BS) + E*ST30D-M*D,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,R32,"1,400 kg",30.11.2020, Mitsubishi Electric Air Conditioning Systems Europe LTD,Ecodan Zubadan 6/8-300D AA,Outdoor Air/Water,Electricity
 Mitsubishi Electric Air Conditioning Systems Europe LTD PUD-SHWM80VAA(-BS) + E*ST30D-*M*D,PUD-SHWM80VAA(-BS) + E*ST30D-*M*D,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,R32,"1,400 kg",30.11.2020, Mitsubishi Electric Air Conditioning Systems Europe LTD,Ecodan Zubadan 6/8-300D AA,Outdoor Air/Water,Electricity
 Mitsubishi Electric Air Conditioning Systems Europe LTD PUD-SHWM80VAA(-BS) + E*ST30D-M*D,PUD-SHWM80VAA(-BS) + E*ST30D-M*D,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,R32,"1,400 kg",30.11.2020, Mitsubishi Electric Air Conditioning Systems Europe LTD,Ecodan Zubadan 6/8-300D AA,Outdoor Air/Water,Electricity
 Mitsubishi Electric Air Conditioning Systems Europe LTD PUD-SHWM80YAA(-BS) + E*ST30D-*M*D,PUD-SHWM80YAA(-BS) + E*ST30D-*M*D,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,R32,"1,400 kg",30.11.2020, Mitsubishi Electric Air Conditioning Systems Europe LTD,Ecodan Zubadan 6/8-300D AA,Outdoor Air/Water,Electricity
 Mitsubishi Electric Air Conditioning Systems Europe LTD PUD-SHWM80YAA(-BS) + E*ST30D-M*D,PUD-SHWM80YAA(-BS) + E*ST30D-M*D,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,R32,"1,400 kg",30.11.2020, Mitsubishi Electric Air Conditioning Systems Europe LTD,Ecodan Zubadan 6/8-300D AA,Outdoor Air/Water,Electricity
 Groupe Atlantic Alféa Excellia HP A.I. 16,Alféa Excellia HP A.I. 16,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,R410A,"3,800 kg",09.12.2022, Groupe Atlantic,Alféa Excellia HP A.I. 16,Outdoor Air/Water,
 Groupe Atlantic Alféa Excellia HP Duo A.I. 16,Alféa Excellia HP Duo A.I. 16,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,R410A,"3,800 kg",09.12.2022, Groupe Atlantic,Alféa Excellia HP A.I. 16,Outdoor Air/Water,
 Groupe Atlantic Austria Email LWPM 8,Austria Email LWPM 8,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,R452B,"1,800 kg",26.04.2022, Groupe Atlantic,Austria Email LWPM 8,Outdoor Air/Water,Electricity
 Mitsubishi Electric Air Conditioning Systems Europe LTD SUZ-SWM40VA + EHST17D-*M*D,SUZ-SWM40VA + EHST17D-*M*D,4,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,R32,"1,200 kg",15.10.2019, Mitsubishi Electric Air Conditioning Systems Europe LTD,Ecodan Eco Inverter 4-170D,Outdoor Air/Water,Electricity
 Mitsubishi Electric Air Conditioning Systems Europe LTD SUZ-SWM40VA + ERST17D-*M*BD,SUZ-SWM40VA + ERST17D-*M*BD,4,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,R32,"1,200 kg",15.10.2019, Mitsubishi Electric Air Conditioning Systems Europe LTD,Ecodan Eco Inverter 4-170D,Outdoor Air/Water,Electricity
 Mitsubishi Electric Air Conditioning Systems Europe LTD SUZ-SWM40VA + ERST17D-*M*D,SUZ-SWM40VA + ERST17D-*M*D,4,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,R32,"1,200 kg",15.10.2019, Mitsubishi Electric Air Conditioning Systems Europe LTD,Ecodan Eco Inverter 4-170D,Outdoor Air/Water,Electricity
 Johnson Controls-Hitachi AirConditioning Spain RASM-4NE - Heating Only,RASM-4NE - Heating Only,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,R410A,"2,800 kg",, Johnson Controls-Hitachi AirConditioning Spain,22. Yutaki M 4.0HP (tri),Outdoor Air/Water,
 Johnson Controls-Hitachi AirConditioning Spain RASM-4NE - with cooling kit,RASM-4NE - with cooling kit,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,R410A,"2,800 kg",, Johnson Controls-Hitachi AirConditioning Spain,22. Yutaki M 4.0HP (tri),Outdoor Air/Water,
 ait-deutschland GmbH SWCV 162(H)(K)3,SWCV 162(H)(K)3,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,R407c,"2,200 kg",12.05.2017, ait-deutschland GmbH,SWCV 162 Inverter,Brine/Water,
" STIEBEL ELTRON GmbH & Co KG WPL 09 ACS classic + HSBB 200 classic, HSBB 200 S classic","WPL 09 ACS classic + HSBB 200 classic, HSBB 200 S classic",4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,R410A,"1,100 kg",19.01.2017, STIEBEL ELTRON GmbH & Co KG,WPL 09 ACS classic,Outdoor Air/Water,Electricity
" STIEBEL ELTRON GmbH & Co KG WPL 09 ACS classic + HSBC 200, HSBC 200 S","WPL 09 ACS classic + HSBC 200, HSBC 200 S",4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,R410A,"1,100 kg",19.01.2017, STIEBEL ELTRON GmbH & Co KG,WPL 09 ACS classic,Outdoor Air/Water,Electricity
" STIEBEL ELTRON GmbH & Co KG WPL 09 ACS classic, low temperature, all climates","WPL 09 ACS classic, low temperature, all climates",1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,2,R410A,"1,100 kg",19.01.2017, STIEBEL ELTRON GmbH & Co KG,WPL 09 ACS classic,Outdoor Air/Water,Electricity
 Johnson Controls-Hitachi AirConditioning Spain RAW-35RHC  &  TAW-190RHC,RAW-35RHC  &  TAW-190RHC,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,R32,"1,000 kg",07.08.2020, Johnson Controls-Hitachi AirConditioning Spain,Yutampo R32 - RAW-35RHC & TAW-190RHC,Heat Pump for Domestic Hot Water (DHW),Electricity
 Galmet Sp. z o.o. Sp. K. Prima 4GT,Prima 4GT,2,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,R32,"1,500 kg",14.04.2021, Galmet Sp. z o.o. Sp. K.,Prima 4-6GT,Outdoor Air/Water,Electricity
 Galmet Sp. z o.o. Sp. K. Prima 6GT,Prima 6GT,2,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,R32,"1,500 kg",14.04.2021, Galmet Sp. z o.o. Sp. K.,Prima 4-6GT,Outdoor Air/Water,Electricity
 Galmet Sp. z o.o. Sp. K. Prima S 4GT,Prima S 4GT,2,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,R32,"1,500 kg",14.04.2021, Galmet Sp. z o.o. Sp. K.,Prima 4-6GT,Outdoor Air/Water,Electricity
 Galmet Sp. z o.o. Sp. K. Prima S 6GT,Prima S 6GT,2,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,R32,"1,500 kg",14.04.2021, Galmet Sp. z o.o. Sp. K.,Prima 4-6GT,Outdoor Air/Water,Electricity
 DAIKIN Europe N.V. ERLA11DV3 / EBBH11D(6V/9W),ERLA11DV3 / EBBH11D(6V/9W),2,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,R32,"3,800 kg",10.11.2021, DAIKIN Europe N.V.,DAIKIN ALTHERMA 3 R F+W 11KW (180L),Outdoor Air/Water,Electricity
 DAIKIN Europe N.V. ERLA11DV3 / EBBH11D(6V/9W) + cooling kit,ERLA11DV3 / EBBH11D(6V/9W) + cooling kit,2,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,R32,"3,800 kg",10.11.2021, DAIKIN Europe N.V.,DAIKIN ALTHERMA 3 R F+W 11KW (180L),Outdoor Air/Water,Electricity
 DAIKIN Europe N.V. ERLA11DV3 / EBBX11D(6V/9W),ERLA11DV3 / EBBX11D(6V/9W),2,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,R32,"3,800 kg",10.11.2021, DAIKIN Europe N.V.,DAIKIN ALTHERMA 3 R F+W 11KW (180L),Outdoor Air/Water,Electricity
 DAIKIN Europe N.V. ERLA11DV3 / EBVH11S18D(6V/9W),ERLA11DV3 / EBVH11S18D(6V/9W),4,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,R32,"3,800 kg",10.11.2021, DAIKIN Europe N.V.,DAIKIN ALTHERMA 3 R F+W 11KW (180L),Outdoor Air/Water,Electricity
 DAIKIN Europe N.V. ERLA11DV3 / EBVH11S18D(6V/9W) + cooling kit,ERLA11DV3 / EBVH11S18D(6V/9W) + cooling kit,4,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,R32,"3,800 kg",10.11.2021, DAIKIN Europe N.V.,DAIKIN ALTHERMA 3 R F+W 11KW (180L),Outdoor Air/Water,Electricity
 DAIKIN Europe N.V. ERLA11DV3 / EBVX11S18D(6V/9W),ERLA11DV3 / EBVX11S18D(6V/9W),4,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,R32,"3,800 kg",10.11.2021, DAIKIN Europe N.V.,DAIKIN ALTHERMA 3 R F+W 11KW (180L),Outdoor Air/Water,Electricity
 DAIKIN Europe N.V. ERLA11DV3 / EBVZ16S18D(6V/9W),ERLA11DV3 / EBVZ16S18D(6V/9W),4,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,R32,"3,800 kg",10.11.2021, DAIKIN Europe N.V.,DAIKIN ALTHERMA 3 R F+W 11KW (180L),Outdoor Air/Water,Electricity
 DAIKIN Europe N.V. ERLA11DV3 / EBVZ16S18D(6V/9W) + cooling kit,ERLA11DV3 / EBVZ16S18D(6V/9W) + cooling kit,4,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,R32,"3,800 kg",10.11.2021, DAIKIN Europe N.V.,DAIKIN ALTHERMA 3 R F+W 11KW (180L),Outdoor Air/Water,Electricity
 DAIKIN Europe N.V. ERLA11DW1 / EBBH11D(6V/9W),ERLA11DW1 / EBBH11D(6V/9W),2,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,3,0,R32,"3,800 kg",10.11.2021, DAIKIN Europe N.V.,DAIKIN ALTHERMA 3 R F+W 11KW (180L),Outdoor Air/Water,Electricity
 DAIKIN Europe N.V. ERLA11DW1 / EBBH11D(6V/9W) + cooling kit,ERLA11DW1 / EBBH11D(6V/9W) + cooling kit,2,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,3,0,R32,"3,800 kg",10.11.2021, DAIKIN Europe N.V.,DAIKIN ALTHERMA 3 R F+W 11KW (180L),Outdoor Air/Water,Electricity
 DAIKIN Europe N.V. ERLA11DW1 / EBBX11D(6V/9W),ERLA11DW1 / EBBX11D(6V/9W),2,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,3,0,R32,"3,800 kg",10.11.2021, DAIKIN Europe N.V.,DAIKIN ALTHERMA 3 R F+W 11KW (180L),Outdoor Air/Water,Electricity
 DAIKIN Europe N.V. ERLA11DW1 / EBVH11S18D(6V/9W),ERLA11DW1 / EBVH11S18D(6V/9W),4,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,3,0,R32,"3,800 kg",10.11.2021, DAIKIN Europe N.V.,DAIKIN ALTHERMA 3 R F+W 11KW (180L),Outdoor Air/Water,Electricity
 DAIKIN Europe N.V. ERLA11DW1 / EBVH11S18D(6V/9W) + cooling kit,ERLA11DW1 / EBVH11S18D(6V/9W) + cooling kit,4,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,3,0,R32,"3,800 kg",10.11.2021, DAIKIN Europe N.V.,DAIKIN ALTHERMA 3 R F+W 11KW (180L),Outdoor Air/Water,Electricity
 DAIKIN Europe N.V. ERLA11DW1 / EBVX11S18D(6V/9W),ERLA11DW1 / EBVX11S18D(6V/9W),4,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,3,0,R32,"3,800 kg",10.11.2021, DAIKIN Europe N.V.,DAIKIN ALTHERMA 3 R F+W 11KW (180L),Outdoor Air/Water,Electricity
 DAIKIN Europe N.V. ERLA11DW1 / EBVZ16S18D(6V/9W),ERLA11DW1 / EBVZ16S18D(6V/9W),4,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,3,0,R32,"3,800 kg",10.11.2021, DAIKIN Europe N.V.,DAIKIN ALTHERMA 3 R F+W 11KW (180L),Outdoor Air/Water,Electricity
 DAIKIN Europe N.V. ERLA11DW1 / EBVZ16S18D(6V/9W) + cooling kit,ERLA11DW1 / EBVZ16S18D(6V/9W) + cooling kit,4,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,3,0,R32,"3,800 kg",10.11.2021, DAIKIN Europe N.V.,DAIKIN ALTHERMA 3 R F+W 11KW (180L),Outdoor Air/Water,Electricity
 Groupe Atlantic Alféa Excellia A.I. Tri 16,Alféa Excellia A.I. Tri 16,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,R410A,"2,500 kg",09.12.2022, Groupe Atlantic,Alféa Excellia Tri 16,Outdoor Air/Water,
 Groupe Atlantic Alféa Excellia Duo A.I. Tri 16,Alféa Excellia Duo A.I. Tri 16,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,R410A,"2,500 kg",09.12.2022, Groupe Atlantic,Alféa Excellia Tri 16,Outdoor Air/Water,
 Groupe Atlantic Alféa Excellia Duo Tri 16,Alféa Excellia Duo Tri 16,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,R410A,"2,500 kg",09.12.2022, Groupe Atlantic,Alféa Excellia Tri 16,Outdoor Air/Water,
 Groupe Atlantic Alféa Excellia Tri 16 BS,Alféa Excellia Tri 16 BS,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,R410A,"2,500 kg",09.12.2022, Groupe Atlantic,Alféa Excellia Tri 16,Outdoor Air/Water,
 Groupe Atlantic Hydrapac 16B25,Hydrapac 16B25,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,R410A,"2,500 kg",09.12.2022, Groupe Atlantic,Alféa Excellia Tri 16,Outdoor Air/Water,
 WOLF GmbH CHA-10/400V + SEW-2-300 (CHC-Monoblock 10/300 ; CHC-Monoblock 10/300-50 ; CHC-Monoblock 10/300-50S),CHA-10/400V + SEW-2-300 (CHC-Monoblock 10/300 ; CHC-Monoblock 10/300-50 ; CHC-Monoblock 10/300-50S),4,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,3,0,R290,"3,400 kg",27.01.2023, WOLF GmbH,CHA-10/400V + SEW-2-300,Outdoor Air/Water,Electricity
 DAIKIN Europe N.V. EPRA08EV3 / ETSH(B)12P30E,EPRA08EV3 / ETSH(B)12P30E,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,R32,"3,250 kg",24.11.2021, DAIKIN Europe N.V.,DAIKIN ALTHERMA 3 H MT F 08-12KW (300L),Outdoor Air/Water,Electricity
 DAIKIN Europe N.V. EPRA08EV3 / ETSX(B)12P30E,EPRA08EV3 / ETSX(B)12P30E,4,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,R32,"3,250 kg",24.11.2021, DAIKIN Europe N.V.,DAIKIN ALTHERMA 3 H MT F 08-12KW (300L),Outdoor Air/Water,Electricity
 DAIKIN Europe N.V. EPRA08EW1 / ETSH(B)12P30E,EPRA08EW1 / ETSH(B)12P30E,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,R32,"3,250 kg",24.11.2021, DAIKIN Europe N.V.,DAIKIN ALTHERMA 3 H MT F 08-12KW (300L),Outdoor Air/Water,Electricity
 DAIKIN Europe N.V. EPRA08EW1 / ETSX(B)12P30E,EPRA08EW1 / ETSX(B)12P30E,4,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,R32,"3,250 kg",24.11.2021, DAIKIN Europe N.V.,DAIKIN ALTHERMA 3 H MT F 08-12KW (300L),Outdoor Air/Water,Electricity
 DAIKIN Europe N.V. EPRA10EV3 / ETSH(B)12P30E,EPRA10EV3 / ETSH(B)12P30E,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,R32,"3,250 kg",24.11.2021, DAIKIN Europe N.V.,DAIKIN ALTHERMA 3 H MT F 08-12KW (300L),Outdoor Air/Water,Electricity
 DAIKIN Europe N.V. EPRA10EV3 / ETSX(B)12P30E,EPRA10EV3 / ETSX(B)12P30E,4,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,R32,"3,250 kg",24.11.2021, DAIKIN Europe N.V.,DAIKIN ALTHERMA 3 H MT F 08-12KW (300L),Outdoor Air/Water,Electricity
 DAIKIN Europe N.V. EPRA10EW1 / ETSH(B)12P30E,EPRA10EW1 / ETSH(B)12P30E,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,R32,"3,250 kg",24.11.2021, DAIKIN Europe N.V.,DAIKIN ALTHERMA 3 H MT F 08-12KW (300L),Outdoor Air/Water,Electricity
 DAIKIN Europe N.V. EPRA10EW1 / ETSX(B)12P30E,EPRA10EW1 / ETSX(B)12P30E,4,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,R32,"3,250 kg",24.11.2021, DAIKIN Europe N.V.,DAIKIN ALTHERMA 3 H MT F 08-12KW (300L),Outdoor Air/Water,Electricity
 DAIKIN Europe N.V. EPRA12EV3 / ETSH(B)12P30E,EPRA12EV3 / ETSH(B)12P30E,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,R32,"3,250 kg",24.11.2021, DAIKIN Europe N.V.,DAIKIN ALTHERMA 3 H MT F 08-12KW (300L),Outdoor Air/Water,Electricity
 DAIKIN Europe N.V. EPRA12EV3 / ETSX(B)12P30E,EPRA12EV3 / ETSX(B)12P30E,4,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,R32,"3,250 kg",24.11.2021, DAIKIN Europe N.V.,DAIKIN ALTHERMA 3 H MT F 08-12KW (300L),Outdoor Air/Water,Electricity
