manufacturers,models,titel,dates,types,refrigerants,mass_of_refrigerants,spl_indoor_l,spl_outdoor_l,eta_l,p_rated_l,scop_l,t_biv,tol,p_th_minus7_l,cop_minus7_l,p_el_minus7_l,p_th_2_l,cop_2_l,p_el_2_l,p_th_7_l,cop_7_l,p_el_7_l,p_th_12_l,cop_12_l,p_el_12_l,p_th_tbiv_l,cop_tbiv_l,p_el_tbiv_l,p_th_tol_l,cop_tol_l,p_el_tol_l,rated_airflows_l,wtols,poffs,ptos,psbs,pcks,supp_energy_types,p_sups_l,p_design_cools_l,seers_l,pdcs_35_l,eer_35_l,p_el_35_l,pdcs_30_l,eer_30_l,p_el_30_l,pdcs_25_l,eer_25_l,p_el_25_l,pdcs_20_l,eer_20_l,p_el_20_l,spl_indoor_h,spl_outdoor_h,eta_h,p_rated_h,p_th_minus7_h,cop_minus7_h,p_el_minus7_h,p_th_2_h,cop_2_h,p_el_2_h,p_th_7_h,cop_7_h,p_el_7_h,p_th_12_h,cop_12_h,p_el_12_h,p_th_tbiv_h,cop_tbiv_h,p_el_tbiv_h,p_th_tol_h,cop_tol_h,p_el_tol_h,rated_airflows_h,p_sups_h,p_design_cools_h,seers_h,pdcs_35_h,eer_35_h,p_el_35_h,pdcs_30_h,eer_30_h,p_el_30_h,pdcs_25_h,eer_25_h,p_el_25_h,pdcs_20_h,eer_20_h,p_el_20_h,p_el_minus7_l_n,p_el_2_l_n,p_el_7_l_n,p_el_12_l_n,p_el_tbiv_l_n,p_el_tol_l_n,p_el_35_l_n,p_el_30_l_n,p_el_25_l_n,p_el_20_l_n,p_el_minus7_h_n,p_el_2_h_n,p_el_7_h_n,p_el_12_h_n,p_el_tbiv_h_n,p_el_tol_h_n,p_el_35_h_n,p_el_30_h_n,p_el_25_h_n,p_el_20_h_n,Subtype,Group
 Ariston Thermo Group,NIMBUS 110 S - ARIANEXT 110 S - AEROTOP SPLIT 11,AEROTOP SPLIT 11M-CR,19.12.2017,Outdoor Air/Water,R410A,"4,300 kg",43.0,62,187.0,12.29,4.74,-7.0,-10.0,10870,3.21,3386,6670,4.52,1476,4330,6.12,708,4420,9.15,483,10870,3.21,3386,12080,2.8,4314,,60.0,18.0,19.0,18.0,18.0,1,3.08,,,,,,,,,,,,,,,43.0,62,135.0,11.54,10210,2.32,4401,6210,3.32,1870,3990,4.38,911,4270,6.59,648,10210,2.32,4401,10360,1.82,5692,,1.18,,,,,,,,,,,,,,,0.7693705975914565,0.3353783231083844,0.1608725289706885,0.1097477845944103,0.7693705975914565,0.9802317655078392,,,,,1.0,0.4249034310384003,0.2069984094523971,0.147239263803681,1.0,1.293342422176778,,,,,Regulated,1.0
 Ariston Thermo Group,NIMBUS 40 M - ARIANEXT 40 M - AEROTOP MONO 04X - ENERGION M 4,AEROTOP HYBRID MINI EVO 04X,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",15.0,57,191.0,5.21,4.55,-7.0,-10.0,4610,3.3,1397,2800,4.48,625,1820,5.44,335,1540,7.21,214,4610,3.3,1397,4070,2.99,1361,,60.0,13.0,13.0,13.0,13.0,2,1.14,,,,,,,,,,,,,,,15.0,57,135.0,4.64,4100,2.29,1790,2500,3.27,765,1620,3.69,439,1510,5.29,285,4100,2.13,1925,3920,2.13,1840,,0.72,,,,,,,,,,,,,,,0.7804469273743017,0.3491620111731843,0.1871508379888268,0.1195530726256983,0.7804469273743017,0.7603351955307263,,,,,1.0,0.4273743016759777,0.2452513966480446,0.159217877094972,1.0754189944134078,1.0279329608938548,,,,,Regulated,1.0
 Ariston Thermo Group,NIMBUS 40 M - ARIANEXT 40 M - AEROTOP MONO 04X - ENERGION M 4,AEROTOP MONO 04M-CRX 1Z,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",15.0,57,191.0,5.21,4.55,-7.0,-10.0,4610,3.3,1397,2800,4.48,625,1820,5.44,335,1540,7.21,214,4610,3.3,1397,4070,2.99,1361,,60.0,13.0,13.0,13.0,13.0,1,1.14,,,,,,,,,,,,,,,15.0,57,135.0,4.64,4100,2.29,1790,2500,3.27,765,1620,3.69,439,1510,5.29,285,4100,2.13,1925,3920,2.13,1840,,0.72,,,,,,,,,,,,,,,0.7804469273743017,0.3491620111731843,0.1871508379888268,0.1195530726256983,0.7804469273743017,0.7603351955307263,,,,,1.0,0.4273743016759777,0.2452513966480446,0.159217877094972,1.0754189944134078,1.0279329608938548,,,,,Regulated,1.0
 Ariston Thermo Group,NIMBUS 40 M - ARIANEXT 40 M - AEROTOP MONO 04X - ENERGION M 4,AEROTOP MONO BUILT-IN 04M-CRX,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",0.0,57,191.0,5.21,4.55,-7.0,-10.0,4610,3.3,1397,2800,4.48,625,1820,5.44,335,1540,7.21,214,4610,3.3,1397,4070,2.99,1361,,60.0,13.0,13.0,13.0,13.0,2,1.1,,,,,,,,,,,,,,,0.0,57,135.0,4.64,4100,2.29,1790,2500,3.27,765,1620,3.69,439,1510,5.29,285,4100,2.13,1925,3920,2.13,1840,,0.7,,,,,,,,,,,,,,,0.7804469273743017,0.3491620111731843,0.1871508379888268,0.1195530726256983,0.7804469273743017,0.7603351955307263,,,,,1.0,0.4273743016759777,0.2452513966480446,0.159217877094972,1.0754189944134078,1.0279329608938548,,,,,Regulated,1.0
 Ariston Thermo Group,NIMBUS 40 M - ARIANEXT 40 M - AEROTOP MONO 04X - ENERGION M 4,ENERGION M COMPACT 4 2Z,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",43.0,57,191.0,5.21,4.55,-7.0,-10.0,4610,3.3,1397,2800,4.48,625,1820,5.44,335,1540,7.21,214,4610,3.3,1397,4070,2.99,1361,,60.0,15.0,15.0,15.0,15.0,1,4.0,,,,,,,,,,,,,,,43.0,57,135.0,4.64,4100,2.29,1790,2500,3.27,765,1620,3.69,439,1510,5.29,285,4100,2.13,1925,3920,2.13,1840,,4.0,,,,,,,,,,,,,,,0.7804469273743017,0.3491620111731843,0.1871508379888268,0.1195530726256983,0.7804469273743017,0.7603351955307263,,,,,1.0,0.4273743016759777,0.2452513966480446,0.159217877094972,1.0754189944134078,1.0279329608938548,,,,,Regulated,1.0
 Ariston Thermo Group,NIMBUS 40 M - ARIANEXT 40 M - AEROTOP MONO 04X - ENERGION M 4,ENERGION M PLUS 4 2Z,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",43.0,57,191.0,5.21,4.55,-7.0,-10.0,4610,3.3,1397,2800,4.48,625,1820,5.44,335,1540,7.21,214,4610,3.3,1397,4070,2.99,1361,,60.0,15.0,15.0,15.0,15.0,1,1.14,,,,,,,,,,,,,,,43.0,57,135.0,4.64,4100,2.29,1790,2500,3.27,765,1620,3.69,439,1510,5.29,285,4100,2.13,1925,3920,2.13,1840,,0.72,,,,,,,,,,,,,,,0.7804469273743017,0.3491620111731843,0.1871508379888268,0.1195530726256983,0.7804469273743017,0.7603351955307263,,,,,1.0,0.4273743016759777,0.2452513966480446,0.159217877094972,1.0754189944134078,1.0279329608938548,,,,,Regulated,1.0
 Ariston Thermo Group,NIMBUS 40 S - ARIANEXT 40 S - AEROTOP SPLIT 04X,AEROTOP SPLIT 04-RX,19.12.2017,Outdoor Air/Water,R410A,"2,300 kg",36.0,56,191.0,5.2,4.85,-7.0,-10.0,4600,3.34,1377,2790,4.69,595,1840,6.28,293,1620,8.44,192,4600,3.34,1377,4150,3.01,1379,,60.0,11.0,11.0,11.0,11.0,1,1.05,,,,,,,,,,,,,,,36.0,56,135.0,4.78,4230,2.35,1800,2760,3.37,819,1720,4.26,404,1580,6.19,255,4230,2.35,1800,3740,2.04,1833,,1.04,,,,,,,,,,,,,,,0.765,0.3305555555555555,0.1627777777777777,0.1066666666666666,0.765,0.7661111111111111,,,,,1.0,0.455,0.2244444444444444,0.1416666666666666,1.0,1.018333333333333,,,,,Regulated,1.0
 Ariston Thermo Group,NIMBUS 50 M - ARIANEXT 50 M - AEROTOP MONO 05X - ENERGION M 5,AEROTOP HYBRID MINI EVO 05X,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",15.0,59,176.0,5.8,4.47,-7.0,-10.0,5130,3.15,1629,3150,4.42,713,2009,5.28,380,1540,7.28,212,5130,3.15,1629,5030,2.82,1784,,60.0,13.0,13.0,13.0,13.0,2,0.77,,,,,,,,,,,,,,,15.0,59,130.0,5.86,5190,2.26,2296,3170,3.32,955,2140,3.91,547,1500,5.4,278,5190,2.26,2296,5000,2.14,2336,,0.86,,,,,,,,,,,,,,,0.7094947735191638,0.3105400696864111,0.1655052264808362,0.0923344947735191,0.7094947735191638,0.7770034843205574,,,,,1.0,0.4159407665505226,0.2382404181184669,0.1210801393728223,1.0,1.0174216027874563,,,,,Regulated,1.0
 Ariston Thermo Group,NIMBUS 50 M - ARIANEXT 50 M - AEROTOP MONO 05X - ENERGION M 5,AEROTOP MONO 05M-CRX 1Z  ,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",15.0,59,176.0,5.8,4.47,-7.0,-10.0,5130,3.15,1629,3150,4.42,713,2009,5.28,380,1540,7.28,212,5130,3.15,1629,5030,2.82,1784,,60.0,13.0,13.0,13.0,13.0,1,0.77,,,,,,,,,,,,,,,15.0,59,130.0,5.86,5190,2.26,2296,3170,3.32,955,2140,3.91,547,1500,5.4,278,5190,2.26,2296,5000,2.14,2336,,0.86,,,,,,,,,,,,,,,0.7094947735191638,0.3105400696864111,0.1655052264808362,0.0923344947735191,0.7094947735191638,0.7770034843205574,,,,,1.0,0.4159407665505226,0.2382404181184669,0.1210801393728223,1.0,1.0174216027874563,,,,,Regulated,1.0
 Ariston Thermo Group,NIMBUS 50 M - ARIANEXT 50 M - AEROTOP MONO 05X - ENERGION M 5,AEROTOP MONO BUILT-IN  05M-CRX,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",0.0,59,176.0,5.8,4.47,-7.0,-10.0,5130,3.15,1629,3150,4.42,713,2009,5.28,380,1540,7.28,212,5130,3.15,1629,5030,2.82,1784,,60.0,13.0,13.0,13.0,13.0,2,0.8,,,,,,,,,,,,,,,0.0,59,130.0,5.86,5190,2.26,2296,3170,3.32,955,2140,3.91,547,1500,5.4,278,5190,2.26,2296,5000,2.14,2336,,0.9,,,,,,,,,,,,,,,0.7094947735191638,0.3105400696864111,0.1655052264808362,0.0923344947735191,0.7094947735191638,0.7770034843205574,,,,,1.0,0.4159407665505226,0.2382404181184669,0.1210801393728223,1.0,1.0174216027874563,,,,,Regulated,1.0
 Ariston Thermo Group,NIMBUS 50 M - ARIANEXT 50 M - AEROTOP MONO 05X - ENERGION M 5,ENERGION M COMPACT 5 2Z,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",43.0,59,176.0,5.8,4.47,-7.0,-10.0,5130,3.15,1629,3150,4.42,713,2009,5.28,380,1540,7.28,212,5130,3.15,1629,5030,2.82,1784,,60.0,15.0,15.0,15.0,15.0,1,0.77,,,,,,,,,,,,,,,43.0,59,130.0,5.86,5190,2.26,2296,3170,3.32,955,2140,3.91,547,1500,5.4,278,5190,2.26,2296,5000,2.14,2336,,0.86,,,,,,,,,,,,,,,0.7094947735191638,0.3105400696864111,0.1655052264808362,0.0923344947735191,0.7094947735191638,0.7770034843205574,,,,,1.0,0.4159407665505226,0.2382404181184669,0.1210801393728223,1.0,1.0174216027874563,,,,,Regulated,1.0
 Ariston Thermo Group,NIMBUS 50 S - ARIANEXT 50 S - AEROTOP SPLIT 05X,AEROTOP SPLIT 05M-CRX,19.12.2017,Outdoor Air/Water,R410A,"2,300 kg",36.0,58,189.0,5.79,4.79,-7.0,-10.0,5120,3.19,1605,3180,4.63,687,2029,6.09,333,1610,8.52,189,5120,3.19,1605,5120,2.84,1803,,60.0,11.0,11.0,11.0,11.0,1,0.55,,,,,,,,,,,,,,,36.0,58,138.0,6.05,5350,2.32,2306,3550,3.43,1035,2140,4.5,476,1580,6.33,250,5350,2.32,2306,4780,2.04,2343,,1.27,,,,,,,,,,,,,,,0.6960104076322636,0.2979184735472679,0.1444058976582827,0.0819601040763226,0.6960104076322636,0.7818733738074588,,,,,1.0,0.4488291413703382,0.2064180398959236,0.1084128360797918,1.0,1.0160450997398092,,,,,Regulated,1.0
 Ariston Thermo Group,NIMBUS 70 M - ARIANEXT 70 M - AEROTOP MONO 07X - ENERGION M 7,AEROTOP HYBRID MINI EVO 07X,19.12.2017,Outdoor Air/Water,R410A,"2,770 kg",15.0,61,178.0,7.89,4.53,-7.0,-10.0,6980,3.1,2252,4310,4.59,939,2760,5.3,521,2600,6.87,378,6980,3.1,2252,2730,2.77,986,,60.0,13.0,13.0,13.0,13.0,2,0.32,,,,,,,,,,,,,,,15.0,61,128.0,7.45,6590,2.17,3037,4180,3.3,1267,2580,3.87,667,2540,5.4,470,6590,2.17,3037,7060,1.95,3621,,0.39,,,,,,,,,,,,,,,0.7415212380638788,0.3091866973987487,0.1715508725716167,0.1244649324991768,0.7415212380638788,0.3246624958840961,,,,,1.0,0.4171880144879815,0.2196246295686532,0.1547579848534738,1.0,1.192295027988146,,,,,Regulated,1.0
 Ariston Thermo Group,NIMBUS 70 M - ARIANEXT 70 M - AEROTOP MONO 07X - ENERGION M 7,AEROTOP MONO 07M-CRX 1Z  ,19.12.2017,Outdoor Air/Water,R410A,"2,770 kg",15.0,61,178.0,7.89,4.53,-7.0,-10.0,6980,3.1,2252,4310,4.59,939,2760,5.3,521,2600,6.87,378,6980,3.1,2252,2730,2.77,986,,60.0,13.0,13.0,13.0,13.0,1,0.32,,,,,,,,,,,,,,,15.0,61,128.0,7.45,6590,2.17,3037,4180,3.3,1267,2580,3.87,667,2540,5.4,470,6590,2.17,3037,7060,1.95,3621,,0.39,,,,,,,,,,,,,,,0.7415212380638788,0.3091866973987487,0.1715508725716167,0.1244649324991768,0.7415212380638788,0.3246624958840961,,,,,1.0,0.4171880144879815,0.2196246295686532,0.1547579848534738,1.0,1.192295027988146,,,,,Regulated,1.0
 Ariston Thermo Group,NIMBUS 70 M - ARIANEXT 70 M - AEROTOP MONO 07X - ENERGION M 7,AEROTOP MONO BUILT-IN  07M-CRX,19.12.2017,Outdoor Air/Water,R410A,"2,770 kg",0.0,61,178.0,7.89,4.53,-7.0,-10.0,6980,3.1,2252,4310,4.59,939,2760,5.3,521,2600,6.87,378,6980,3.1,2252,2730,2.77,986,,60.0,13.0,13.0,13.0,13.0,2,0.3,,,,,,,,,,,,,,,0.0,61,128.0,7.45,6590,2.17,3037,4180,3.3,1267,2580,3.87,667,2540,5.4,470,6590,2.17,3037,7060,1.95,3621,,0.4,,,,,,,,,,,,,,,0.7415212380638788,0.3091866973987487,0.1715508725716167,0.1244649324991768,0.7415212380638788,0.3246624958840961,,,,,1.0,0.4171880144879815,0.2196246295686532,0.1547579848534738,1.0,1.192295027988146,,,,,Regulated,1.0
 Ariston Thermo Group,NIMBUS 70 M - ARIANEXT 70 M - AEROTOP MONO 07X - ENERGION M 7,ENERGION M COMPACT 7 2Z,19.12.2017,Outdoor Air/Water,R410A,"2,770 kg",43.0,61,178.0,7.89,4.53,-7.0,-10.0,6980,3.1,2252,4310,4.59,939,2760,5.3,521,2600,6.87,378,6980,3.1,2252,2730,2.77,986,,60.0,15.0,15.0,15.0,15.0,1,0.32,,,,,,,,,,,,,,,43.0,61,128.0,7.45,6590,2.17,3037,4180,3.3,1267,2580,3.87,667,2540,5.4,470,6590,2.17,3037,7060,1.95,3621,,0.39,,,,,,,,,,,,,,,0.7415212380638788,0.3091866973987487,0.1715508725716167,0.1244649324991768,0.7415212380638788,0.3246624958840961,,,,,1.0,0.4171880144879815,0.2196246295686532,0.1547579848534738,1.0,1.192295027988146,,,,,Regulated,1.0
 Ariston Thermo Group,NIMBUS 70 M - ARIANEXT 70 M - AEROTOP MONO 07X - ENERGION M 7,NIMBUS COMPACT 70 M 2Z NET,19.12.2017,Outdoor Air/Water,R410A,"2,770 kg",43.0,61,178.0,7.89,4.53,-7.0,-10.0,6980,3.1,2252,4310,4.59,939,2760,5.3,521,2600,6.87,378,6980,3.1,2252,2730,2.77,986,,60.0,13.0,13.0,13.0,13.0,1,4.0,,,,,,,,,,,,,,,43.0,61,128.0,7.45,6590,2.17,3037,4180,3.3,1267,2580,3.87,667,2540,5.4,470,6590,2.17,3037,7060,1.95,3621,,4.0,,,,,,,,,,,,,,,0.7415212380638788,0.3091866973987487,0.1715508725716167,0.1244649324991768,0.7415212380638788,0.3246624958840961,,,,,1.0,0.4171880144879815,0.2196246295686532,0.1547579848534738,1.0,1.192295027988146,,,,,Regulated,1.0
 Ariston Thermo Group,NIMBUS 70 S - ARIANEXT 70 S - AEROTOP SPLIT 07X,AEROTOP SPLIT 07M-CRX,19.12.2017,Outdoor Air/Water,R410A,"3,080 kg",36.0,60,191.0,7.88,4.86,-7.0,-10.0,6970,3.13,2227,4350,4.81,904,2870,6.13,468,2730,8.04,340,6970,3.13,2227,7700,2.8,2750,,60.0,11.0,11.0,11.0,11.0,1,0.18,,,,,,,,,,,,,,,36.0,60,133.0,7.68,6800,2.22,3063,4110,3.36,1223,2570,4.47,575,2660,6.31,422,6800,2.22,3063,6750,1.86,3629,,0.93,,,,,,,,,,,,,,,0.7270649689846556,0.2951354880835782,0.1527913809990205,0.1110022853411688,0.7270649689846556,0.8978126020241594,,,,,1.0,0.3992817499183806,0.187724453150506,0.1377734247469801,1.0,1.1847861573620633,,,,,Regulated,1.0
 Ariston Thermo Group,NIMBUS 90 M - ARIANEXT 90 M - AEROTOP MONO 09 - ENERGION M 9,AEROTOP HYBRID MINI EVO 9,19.12.2017,Outdoor Air/Water,R410A,"3,900 kg",15.0,63,189.0,10.61,4.8,-7.0,-10.0,9380,3.29,2851,5710,4.67,1223,3670,6.01,611,4440,8.76,507,9380,3.29,2851,9140,2.77,3300,,60.0,20.0,20.0,20.0,20.0,2,1.47,,,,,,,,,,,,,,,15.0,63,129.0,9.39,8310,2.32,3582,5330,3.33,1601,3480,3.8,916,4019,5.81,692,8310,2.32,3582,9320,1.68,5548,,0.07,,,,,,,,,,,,,,,0.7959240647682859,0.34142936906756,0.1705750977107761,0.1415410385259631,0.7959240647682859,0.9212730318257956,,,,,1.0,0.4469570072585148,0.2557230597431602,0.1931881630374092,1.0,1.548855388051368,,,,,Regulated,1.0
 Ariston Thermo Group,NIMBUS 90 M - ARIANEXT 90 M - AEROTOP MONO 09 - ENERGION M 9,AEROTOP MONO 09M-CR,19.12.2017,Outdoor Air/Water,R410A,"3,900 kg",15.0,63,189.0,10.61,4.8,-7.0,-10.0,9380,3.29,2851,5710,4.67,1223,3670,6.01,611,4440,8.76,507,9380,3.29,2851,9140,2.77,3300,,60.0,20.0,20.0,20.0,20.0,1,1.47,,,,,,,,,,,,,,,15.0,63,129.0,9.39,8310,2.32,3582,5330,3.33,1601,3480,3.8,916,4019,5.81,692,8310,2.32,3582,9320,1.68,5548,,0.07,,,,,,,,,,,,,,,0.7959240647682859,0.34142936906756,0.1705750977107761,0.1415410385259631,0.7959240647682859,0.9212730318257956,,,,,1.0,0.4469570072585148,0.2557230597431602,0.1931881630374092,1.0,1.548855388051368,,,,,Regulated,1.0
 Ariston Thermo Group,NIMBUS 90 M - ARIANEXT 90 M - AEROTOP MONO 09 - ENERGION M 9,AEROTOP MONO BUILT-IN  09M-CR,19.12.2017,Outdoor Air/Water,R410A,"3,900 kg",0.0,63,189.0,10.61,4.8,-7.0,-10.0,9380,3.29,2851,5710,4.67,1223,3670,6.01,611,4440,8.76,507,9380,3.29,2851,9140,2.77,3300,,60.0,20.0,20.0,20.0,20.0,2,1.5,,,,,,,,,,,,,,,0.0,63,129.0,9.39,8310,2.32,3582,5330,3.33,1601,3480,3.8,916,4019,5.81,692,8310,2.32,3582,9320,1.68,5548,,0.1,,,,,,,,,,,,,,,0.7959240647682859,0.34142936906756,0.1705750977107761,0.1415410385259631,0.7959240647682859,0.9212730318257956,,,,,1.0,0.4469570072585148,0.2557230597431602,0.1931881630374092,1.0,1.548855388051368,,,,,Regulated,1.0
 Ariston Thermo Group,NIMBUS 90 S - ARIANEXT 90 S - AEROTOP SPLIT 09,AEROTOP SPLIT 09M-CR,19.12.2017,Outdoor Air/Water,R410A,"4,300 kg",43.0,62,189.0,10.38,4.8,-7.0,-10.0,9180,3.32,2765,5600,4.59,1220,3640,5.98,609,4440,9.48,468,9180,3.32,2765,9160,2.78,3295,,60.0,18.0,19.0,18.0,18.0,1,1.22,,,,,,,,,,,,,,,43.0,62,133.0,9.38,8300,2.32,3578,5310,3.22,1649,3470,4.38,792,4220,6.8,621,8300,2.32,3578,9730,1.73,5624,,0.0,,,,,,,,,,,,,,,0.7727780883174958,0.3409726103968697,0.1702068194522079,0.130799329234209,0.7727780883174958,0.9209055338177752,,,,,1.0,0.460871995528228,0.2213527110117384,0.1735606484069312,1.0,1.5718278367803242,,,,,Regulated,1.0
 Ariston Thermo Group,NIMBUS/ARIANEXT/AEROTOP/ENERGION 120/150 M - Plus/LB,AEROTOP MONO 12.2 M-R ,05.07.2022,Outdoor Air/Water,R32,"2,100 kg",35.0,58,204.0,10.84,5.16,-7.0,-20.0,9590,3.42,2804,5740,5.1,1125,4160,6.88,605,4710,8.66,544,9590,3.42,2804,9110,3.09,2948,,60.0,14.0,14.0,14.0,14.0,1,1.73,9.05,5.4,9050.0,3.15,2873.0,6860.0,4.72,1453.0,4310.0,6.14,702.0,4450.0,7.5,593.0,35.0,58,143.0,9.42,8330,2.43,3428,5470,3.33,1643,3980,5.04,790,4750,6.86,692,8330,2.43,3428,8680,2.11,4114,,0.74,,,,4.695447544164381,,,7.274543402399953,,,9.441440535766615,,,12.654119557117042,,0.8179696616102684,0.3281796966161027,0.176487747957993,0.1586931155192532,0.8179696616102684,0.8599766627771295,1.0,0.5057431256526279,0.2443438914027149,0.2064044552732335,1.0,0.4792882147024504,0.2304550758459743,0.2018669778296382,1.0,1.2001166861143524,0.7905217467634652,0.4223994902190672,0.2395583880349417,0.1692299863844374,Regulated,1.0
 Ariston Thermo Group,NIMBUS/ARIANEXT/AEROTOP/ENERGION 120/150 M - Plus/LB,AEROTOP MONO 15.2 M-R ,05.07.2022,Outdoor Air/Water,R32,"2,100 kg",35.0,58,202.0,12.48,5.12,-7.0,-20.0,11040,3.29,3356,6980,4.92,1419,4390,6.76,649,4710,8.55,551,11040,3.29,3356,11180,3.0,3727,,60.0,14.0,14.0,14.0,14.0,1,1.3,11.0,5.22,11000.0,2.93,3754.0,8180.0,4.4,1859.0,5230.0,5.77,906.0,4500.0,7.53,598.0,35.0,58,151.0,11.59,10250,2.5,4100,6500,3.67,1771,3960,5.04,786,4690,6.97,673,10250,2.5,4100,10520,2.06,5107,,1.07,,,,4.367511525206869,,,6.781354019186398,,,8.872493793383285,,,12.70473603534551,,0.8185365853658536,0.3460975609756097,0.1582926829268292,0.134390243902439,0.8185365853658536,0.9090243902439024,1.0,0.4952051145444859,0.2413425679275439,0.1592967501331912,1.0,0.4319512195121951,0.1917073170731707,0.1641463414634146,1.0,1.245609756097561,0.7905217467634652,0.4223994902190672,0.2395583880349417,0.1692299863844374,Regulated,1.0
 Ariston Thermo Group,NIMBUS/ARIANEXT/AEROTOP/ENERGION 120/150 S - COMPACT,AEROTOP SPLIT 12.2 M-CR 1Z,03.10.2022,Outdoor Air/Water,R32,"1,840 kg",41.0,57,180.82,10.75,4.6,-7.0,-20.0,9540,3.3,2891,5960,4.4,1355,3810,6.1,625,4240,7.5,565,9540,3.3,2891,9920,2.9,3421,,60.0,14.0,14.0,14.0,14.0,1,0.83,9.75,4.84,9750.0,2.8,3482.0,7020.0,4.28,1640.0,4480.0,5.59,801.0,3780.0,6.17,613.0,41.0,57,141.18,9.39,8440,2.3,3670,5430,3.5,1551,3860,4.8,804,4480,6.4,700,8440,2.3,3670,9050,2.0,4525,,0.34,,,,4.173731150368338,,,6.596408000481314,,,8.595708891683287,,,10.410122355654952,,0.7877384196185286,0.3692098092643052,0.1702997275204359,0.1539509536784741,0.7877384196185286,0.9321525885558584,1.0,0.4709936817920735,0.2300402067777139,0.1760482481332567,1.0,0.4226158038147139,0.2190735694822888,0.1907356948228883,1.0,1.2329700272479565,0.7905217467634652,0.4223994902190672,0.2395583880349417,0.1692299863844374,Regulated,1.0
 Ariston Thermo Group,NIMBUS/ARIANEXT/AEROTOP/ENERGION 120/150 S - COMPACT,AEROTOP SPLIT 15.2 M-CR 1Z,03.10.2022,Outdoor Air/Water,R32,"1,840 kg",41.0,57,178.48,12.43,4.54,-7.0,-20.0,11000,3.1,3548,6910,4.3,1607,4310,6.2,695,4310,7.5,575,11000,3.1,3548,11900,2.8,4250,,60.0,14.0,14.0,14.0,14.0,1,0.53,11.0,4.86,11000.0,2.7,4074.0,8320.0,4.08,2039.0,5180.0,5.89,879.0,3800.0,6.15,618.0,41.0,57,151.16,11.47,10070,2.3,4378,7160,3.8,1884,4130,5.3,779,4610,6.6,698,10070,2.3,4378,10810,1.9,5689,,0.66,,,,4.024669323569469,,,6.288164635972842,,,9.057017061183284,,,10.376378036835977,,0.810415714938328,0.3670625856555505,0.1587482868889904,0.1313385107354956,0.810415714938328,0.9707629054362724,1.0,0.5004909180166912,0.2157584683357879,0.1516936671575846,1.0,0.4303334856098675,0.1779351301964367,0.1594335312928277,1.0,1.29945180447693,0.7905217467634652,0.4223994902190672,0.2395583880349417,0.1692299863844374,Regulated,1.0
 Ariston Thermo Group,NIMBUS/ARIANEXT/AEROTOP/ENERGION 35/50 M – COMPACT,AEROTOP MONO 04.2 M-C2RX ,21.10.2022,Outdoor Air/Water,R32,"1,000 kg",35.0,53,192.0,5.2,4.89,-7.0,-20.0,4600,3.21,1433,2880,4.66,618,1850,6.56,282,1920,8.49,226,4600,3.21,1433,3030,2.25,1347,,60.0,13.0,13.0,13.0,13.0,1,2.17,3.5,4.87,3500.0,3.0,1167.0,2580.0,4.33,596.0,1720.0,5.86,294.0,1790.0,7.24,247.0,35.0,53,134.0,4.63,4100,2.28,1798,2630,3.35,785,1760,4.22,417,1880,6.3,298,4100,2.28,1798,2460,1.52,1618,,2.17,,,,4.471854803966077,,,6.6734688416084325,,,9.010886244233284,,,12.215443412470318,,0.7969966629588432,0.3437152391546162,0.1568409343715239,0.1256952169076751,0.7969966629588432,0.7491657397107898,1.0,0.5107112253641817,0.2519280205655527,0.2116538131962296,1.0,0.4365962180200222,0.2319243604004449,0.1657397107897664,1.0,0.899888765294772,0.7905217467634652,0.4223994902190672,0.2395583880349417,0.1692299863844374,Regulated,1.0
 Ariston Thermo Group,NIMBUS/ARIANEXT/AEROTOP/ENERGION 35/50 M – COMPACT,AEROTOP MONO 05.2 M-C2RX ,21.10.2022,Outdoor Air/Water,R32,"1,000 kg",35.0,55,183.0,5.65,4.66,-7.0,-20.0,5000,3.1,1613,3110,4.32,720,1960,6.48,302,1860,8.41,221,5000,3.1,1613,3690,2.3,1604,,60.0,13.0,13.0,13.0,13.0,1,1.96,5.0,4.85,5000.0,2.85,1754.0,3770.0,4.25,887.0,2320.0,5.38,431.0,1870.0,7.85,238.0,35.0,55,136.0,5.65,5000,2.28,2193,3110,3.3,942,2190,4.58,478,1840,6.33,291,5000,2.28,2193,3180,1.54,2065,,2.47,,,,4.248262063767774,,,6.550171495805043,,,8.272793173033289,,,13.24464513644917,,0.7355221158230734,0.3283173734610123,0.1377108983128135,0.1007751937984496,0.7355221158230734,0.7314181486548108,1.0,0.5057012542759407,0.2457240592930444,0.1356898517673888,1.0,0.4295485636114911,0.2179662562699498,0.1326949384404925,1.0,0.9416324669402644,0.7905217467634652,0.4223994902190672,0.2395583880349417,0.1692299863844374,Regulated,1.0
