T_in,T_out,T_amb,COP,EER,P_el,P_th,m_dot,P_th_real,P_el_real,COP_real,RE_P_th,RE_P_el,RE_COP,titel,Group,Pdc_real,Pel_c_real,EER_real,RE_Pdc,RE_Pel_c,RE_EER
7,27,7,5.368266674058987,0.0,467.0459145614569,2507.22701839567,0.11939176278074617,3200.0,596.0,5.37,-21.649155675135322,-21.636591516534075,-0.032277950484427276,i-32V506 A,1.0,,,,,,
7,36,7,4.4830281538081636,0.0,543.6612991767433,2437.2489103452635,0.11605947192120303,3000.0,785.0,3.82,-18.758369655157882,-30.7437835443639,17.356757953093283,i-32V506 A,1.0,,,,,,
12,24,12,6.15850747776949,0.0,441.50745302292336,2719.0269509326354,0.12947747385393502,3500.0,480.0,7.29,-22.313515687638986,-8.0192806202243,-15.521159427030318,i-32V506 A,1.0,,,,,,
12,30,12,5.568348464269093,0.0,492.5843760998333,2742.881454178456,0.13061340257992646,3300.0,653.0,5.05,-16.88238017641043,-24.56594546710056,10.264326025130543,i-32V506 A,1.0,,,,,,
20,7,20,0.0,6.936349848886039,521.8292666751527,-3619.5903550465077,0.17236144547840512,,,,,,,i-32V506 A,1.0,2860.0,439.0,6.51,26.559103323304466,18.867714504590595,6.549152824670346
20,18,20,0.0,9.634246304644421,285.8199137842357,-2753.65944816956,0.13112664038902666,,,,,,,i-32V506 A,1.0,,,10.983775775577593,,,-12.286571562520866
25,7,25,0.0,5.397115795663012,521.8292666751527,-2816.3729778117126,0.13411299894341489,,,,,,,i-32V506 A,1.0,2450.0,510.0,4.8,14.95399909435562,2.3194640539515143,12.439912409646103
25,18,25,0.0,8.095012251421394,285.8199137842357,-2313.715703783595,0.11017693827540928,,,,,,,i-32V506 A,1.0,,,7.38093071199996,,,9.674681517609663
30,7,30,0.0,3.857881742439531,1031.0007719913028,-3977.479054706309,0.18940376450982424,,,,,,,i-32V506 A,1.0,3800.0,941.0,4.04,4.670501439639718,9.564375344453001,-4.507877662387849
30,18,30,0.0,6.555778198197913,794.9914191007592,-5211.787413095178,0.24818035300453228,,,,,,,i-32V506 A,1.0,,,6.226515963071146,,,5.288065381661089
35,7,35,0.0,2.31864768921605,1540.1722773078263,-3571.1168917744126,0.1700531853225911,,,,,,,i-32V506 A,1.0,5190.0,1642.0,3.16,-31.192352759645225,-6.2014447437377385,-26.625073126074373
35,18,35,0.0,5.016544144974432,1304.1629244172827,-6542.390882578253,0.3115424229799168,,,,,,,i-32V506 A,1.0,,,4.710353726844268,,,6.500369948549456
-7,34,-7,3.262952320791669,0.0,2325.9163149187966,7589.354037731494,0.3613978113205473,6800.0,2282.0,2.98,11.608147613698439,1.9244660350042242,9.495044321868097,i-32V508 A,1.0,,,,,,
-7,52,-7,1.6847052638565856,0.0,2942.0673503141625,4956.516351694867,0.23602458817594604,6600.0,2986.0,2.21,-24.90126739856262,-1.4712876652993145,-23.768992585674866,i-32V508 A,1.0,,,,,,
2,30,2,4.506111887533592,0.0,851.1203230035969,3835.243405207939,0.18263063834323517,4200.0,917.0,4.58,-8.684680828382408,-7.184261395463798,-1.6132775647687336,i-32V508 A,1.0,,,,,,
2,42,2,3.4539471829102126,0.0,1261.8876799338973,4358.493397256789,0.20754730463127566,3900.0,1196.0,3.26,11.756240955302278,5.509003338954632,5.949300089270326,i-32V508 A,1.0,,,,,,
7,27,7,5.264951951763919,0.0,521.5755058439914,2746.069977485576,0.13076523702312268,3200.0,620.0,5.16,-14.185313203575745,-15.874918412259442,2.0339525535643332,i-32V508 A,1.0,,,,,,
7,36,7,4.475828423296434,0.0,598.594385268497,2679.2057636103955,0.12758122683859027,3000.0,769.0,3.9,-10.693141212986813,-22.159377728413908,14.764831366575248,i-32V508 A,1.0,,,,,,
12,24,12,6.023792015994104,0.0,495.9025460358795,2987.2137975220794,0.14224827607247997,3600.0,526.0,6.85,-17.021838957720014,-5.7219494228366035,-12.061430423443731,i-32V508 A,1.0,,,,,,
12,30,12,5.497709663682372,0.0,547.2484656522731,3008.6131780518526,0.14326729419294537,3400.0,650.0,5.23,-11.51137711612198,-15.80792836118875,5.118731619165806,i-32V508 A,1.0,,,,,,
20,7,20,0.0,6.7680506757910734,610.0962922382241,-4129.162622980541,0.19662679157050195,,,,,,,i-32V508 A,1.0,2900.0,463.0,6.27,42.38491803381174,31.770257502856182,7.943391958390333
20,18,20,0.0,9.431933385139473,339.25556932192194,-3199.8359303819343,0.15237313954199688,,,,,,,i-32V508 A,1.0,,,10.578843949749846,,,-10.841549133896555
25,7,25,0.0,5.3093521041482745,610.0962922382241,-3239.216032928076,0.15424838252038456,,,,,,,i-32V508 A,1.0,2900.0,598.0,4.85,11.697104583726748,2.022791344184638,9.471177405119068
25,18,25,0.0,7.973234813496674,339.25556932192194,-2704.9643159901825,0.12880782457096107,,,,,,,i-32V508 A,1.0,,,7.457815406916626,,,6.911131188659225
30,7,30,0.0,3.85065353250684,1223.663706408297,-4711.904973681521,0.22437642731816768,,,,,,,i-32V508 A,1.0,4510.0,1105.0,4.08,4.476828684734402,10.738796960026885,-5.621236948361775
30,18,30,0.0,6.5145362418552395,952.8229834924423,-6207.1998580341515,0.2955809456206739,,,,,,,i-32V508 A,1.0,,,6.288164635972842,,,3.5999630891880408
35,7,35,0.0,2.391954960863586,1837.2311205783699,-4394.574093120397,0.2092654330057332,,,,,,,i-32V508 A,1.0,6140.0,1968.0,3.12,-28.42713203386975,-6.6447601332129125,-23.33477689539788
35,18,35,0.0,5.055837670211986,1566.3903976625152,-7919.415578760477,0.3771150275600227,,,,,,,i-32V508 A,1.0,,,4.6507289961247205,,,8.710648898803331
-7,34,-7,3.3198044623131864,0.0,2276.3031518113867,7556.881360961012,0.35985149337909583,6700.0,2233.0,3.0,12.78927404419421,1.9392365343209539,10.66014874377288,i-32V5SL08 A,1.0,,,,,,
-7,52,-7,1.6825500169586576,0.0,2871.6872072207307,4831.7573592092,0.2300836837718667,6500.0,2915.0,2.23,-25.66527139678153,-1.4858591004895172,-24.549326593782173,i-32V5SL08 A,1.0,,,,,,
2,30,2,4.635543210594847,0.0,813.0395005939506,3768.8797369237127,0.17947046366303393,4100.0,878.0,4.67,-8.076103977470417,-7.398690137363262,-0.7378327495750181,i-32V5SL08 A,1.0,,,,,,
2,42,2,3.5440402470251797,0.0,1209.962204200263,4288.154749065031,0.2041978451935729,3800.0,1145.0,3.32,12.846177606974507,5.673554951988025,6.748200211601807,i-32V5SL08 A,1.0,,,,,,
7,27,7,5.437254744316078,0.0,511.1912270102853,2779.476924314431,0.13235604401497292,3200.0,583.0,5.49,-13.141346115174034,-12.317113720362727,-0.9607514696524877,i-32V5SL08 A,1.0,,,,,,
7,36,7,4.618627521638814,0.0,585.6142339364948,2704.7340179225253,0.12879685799631072,3000.0,735.0,4.08,-9.842199402582496,-20.324594022245613,13.201654942127794,i-32V5SL08 A,1.0,,,,,,
12,24,12,6.238966278037196,0.0,486.38355803485456,3034.530616771205,0.14450145794148597,3500.0,499.0,7.02,-13.299125235108422,-2.5283450831954823,-11.125836495196628,i-32V5SL08 A,1.0,,,,,,
12,30,12,5.693214796252278,0.0,535.9988959856332,3051.556845400293,0.1453122307333473,3400.0,634.0,5.36,-10.248328076461977,-15.457587383969518,6.2166939599305415,i-32V5SL08 A,1.0,,,,,,
20,7,20,0.0,6.7680506757910734,610.0962922382241,-4129.162622980541,0.19662679157050195,,,,,,,i-32V5SL08 A,1.0,2900.0,463.0,6.27,42.38491803381174,31.770257502856182,7.943391958390333
20,18,20,0.0,9.431933385139473,339.25556932192194,-3199.8359303819343,0.15237313954199688,,,,,,,i-32V5SL08 A,1.0,,,10.578843949749846,,,-10.841549133896555
25,7,25,0.0,5.3093521041482745,610.0962922382241,-3239.216032928076,0.15424838252038456,,,,,,,i-32V5SL08 A,1.0,2900.0,598.0,4.85,11.697104583726748,2.022791344184638,9.471177405119068
25,18,25,0.0,7.973234813496674,339.25556932192194,-2704.9643159901825,0.12880782457096107,,,,,,,i-32V5SL08 A,1.0,,,7.457815406916626,,,6.911131188659225
30,7,30,0.0,3.85065353250684,1223.663706408297,-4711.904973681521,0.22437642731816768,,,,,,,i-32V5SL08 A,1.0,4510.0,1105.0,4.08,4.476828684734402,10.738796960026885,-5.621236948361775
30,18,30,0.0,6.5145362418552395,952.8229834924423,-6207.1998580341515,0.2955809456206739,,,,,,,i-32V5SL08 A,1.0,,,6.288164635972842,,,3.5999630891880408
35,7,35,0.0,2.391954960863586,1837.2311205783699,-4394.574093120397,0.2092654330057332,,,,,,,i-32V5SL08 A,1.0,6140.0,1968.0,3.12,-28.42713203386975,-6.6447601332129125,-23.33477689539788
35,18,35,0.0,5.055837670211986,1566.3903976625152,-7919.415578760477,0.3771150275600227,,,,,,,i-32V5SL08 A,1.0,,,4.6507289961247205,,,8.710648898803331
-7,34,-7,3.010714130113648,0.0,2913.4593216251324,8771.59314712811,0.4176949117680052,8300.0,2833.0,2.93,5.6818451461218,2.8400748896975747,2.7547484680425782,i-32V510,1.0,,,,,,
-7,52,-7,1.3963625447353394,0.0,3722.5402396930176,5198.015761977443,0.24752456009416393,8100.0,3803.0,2.13,-35.826965901513056,-2.115691830317712,-34.44307301712022,i-32V510,1.0,,,,,,
2,30,2,4.839817422129389,0.0,1106.306421816999,5354.321094523537,0.25496767116778746,5300.0,1227.0,4.32,1.024926311764851,-9.83647743952738,12.032810697439555,i-32V510,1.0,,,,,,
2,42,2,3.7635830318771823,0.0,1645.6937005288507,6193.704886977552,0.294938327951312,5200.0,1525.0,3.41,19.10970936495291,7.914341018285298,10.369003867366056,i-32V510,1.0,,,,,,
7,27,7,5.9257418503952195,0.0,649.7041855941876,3849.9792829524204,0.1833323468072581,4200.0,699.0,6.01,-8.33382659637094,-7.0523339636355376,-1.4019658836069926,i-32V510,1.0,,,,,,
7,36,7,5.118566057706065,0.0,750.8393003527814,3843.2205575775165,0.1830105027417865,4100.0,953.0,4.3,-6.262913229816669,-21.21308495773543,19.036419946652682,i-32V510,1.0,,,,,,
12,24,12,7.011666278661052,0.0,615.9924806746563,4319.133704655258,0.2056730335550123,4900.0,606.0,8.08,-11.854414190709017,1.6489242037386775,-13.221951996769155,i-32V510,1.0,,,,,,
12,30,12,6.473549083534948,0.0,683.4158905137189,4424.126311708305,0.2106726815099193,4800.0,755.0,6.36,-7.830701839410303,-9.481339004805445,1.7853629486626943,i-32V510,1.0,,,,,,
20,7,20,0.0,6.654426109573706,802.4735180287485,-5340.00073061197,0.25428574907676044,,,,,,,i-32V510,1.0,4350.0,684.0,6.36,22.758637485332645,17.32068977028487,4.6293413454985055
20,18,20,0.0,9.263374283975281,429.94572119067925,-3982.7481371829444,0.18965467319918783,,,,,,,i-32V510,1.0,,,10.730693384435252,,,-13.674038087681273
25,7,25,0.0,5.199810571915805,802.4735180287485,-4172.710282728354,0.19870048965373116,,,,,,,i-32V510,1.0,3560.0,798.0,4.46,17.21096299798748,0.5605912316727357,16.587680984659304
25,18,25,0.0,7.80875874631738,429.94572119067925,-3357.3424107894507,0.159873448132831,,,,,,,i-32V510,1.0,,,6.858114786566629,,,13.861593008224805
30,7,30,0.0,3.7451950342565397,1529.6683230614144,-5728.906207589138,0.27280505750424466,,,,,,,i-32V510,1.0,5490.0,1401.0,3.92,4.351661340421464,9.184034479758353,-4.459310350598478
30,18,30,0.0,6.354143208657661,1157.1405262238886,-7352.6366161680735,0.35012555315086064,,,,,,,i-32V510,1.0,,,6.041569944366063,,,5.173709270436921
35,7,35,0.0,2.290579496598184,2256.863128094624,-5169.524407841986,0.2461678289448565,,,,,,,i-32V510,1.0,7530.0,2390.0,3.15,-31.34761742573723,-5.5705804144508875,-27.283190584184634
35,18,35,0.0,4.899527670999305,1884.335331257098,-9232.353096935793,0.4396358617588473,,,,,,,i-32V510,1.0,,,4.695447544164381,,,4.346340256501424
-7,34,-7,3.1407863495408037,0.0,3174.3798050057294,9970.048759819992,0.47476422665809487,8900.0,3090.0,2.88,12.023019773258348,2.7307380260753744,9.055081581277902,i-32V512,1.0,,,,,,
-7,52,-7,1.4169352826454542,0.0,4002.608374455857,5671.437028378671,0.27006842992279384,8500.0,4087.0,2.08,-33.27721143083916,-2.064879509276807,-31.878111411276244,i-32V512,1.0,,,,,,
2,30,2,4.6982591809776295,0.0,1126.4112648463006,5292.172066620756,0.25200819364860744,5400.0,1253.0,4.31,-1.9968135810971122,-10.102851967573779,9.008333665374234,i-32V512,1.0,,,,,,
2,42,2,3.549025136380635,0.0,1678.5636444797576,5957.264567273348,0.28367926510825464,5200.0,1552.0,3.35,14.562780139872068,8.15487399998438,5.941048847183139,i-32V512,1.0,,,,,,
7,27,7,5.638009256888381,0.0,713.0727292215265,4020.3106481856285,0.19144336419931565,4300.0,739.0,5.82,-6.504403530566782,-3.5084263570329455,-3.126988713258061,i-32V512,1.0,,,,,,
7,36,7,4.776083723440706,0.0,816.6013004028506,3900.1561793945693,0.1857217228283128,4200.0,991.0,4.24,-7.139138585843585,-17.598254247946453,12.64348404341289,i-32V512,1.0,,,,,,
12,24,12,6.57775933279936,0.0,678.5632054944572,4463.425457835416,0.2125440694207341,4900.0,627.0,7.81,-8.909684533971108,8.223796729578492,-15.777729413580532,i-32V512,1.0,,,,,,
12,30,12,6.003142310501061,0.0,747.5822529486538,4487.8426532557705,0.21370679301217954,4800.0,904.0,5.31,-6.503278057171446,-17.302848125148916,13.05352750472808,i-32V512,1.0,,,,,,
20,7,20,0.0,6.7106424844791945,874.4514058879417,-5868.130754964182,0.27943479785543723,,,,,,,i-32V512,1.0,4230.0,669.0,6.32,38.72649538922417,30.7102250953575,6.181051969607498
20,18,20,0.0,9.331474778482516,486.2685931570627,-4537.603112613307,0.21607633869587176,,,,,,,i-32V512,1.0,,,10.663204746797296,,,-12.48902182727727
25,7,25,0.0,5.233545227134073,874.4514058879417,-4576.480981645517,0.21792766579264367,,,,,,,i-32V512,1.0,3980.0,869.0,4.58,14.986959337827056,0.6273194347458766,14.26954644397538
25,18,25,0.0,7.854377521137394,486.2685931570627,-3819.337107327938,0.18187319558704468,,,,,,,i-32V512,1.0,,,7.042638054366629,,,11.526071061787203
30,7,30,0.0,3.7564479697894058,1738.9948204420898,-6532.443562723981,0.3110687410820943,,,,,,,i-32V512,1.0,6280.0,1558.0,4.03,4.019801954203528,11.617125830686126,-6.787891568501103
30,18,30,0.0,6.377280263793182,1350.8120077112108,-8614.506756871548,0.4102146074700737,,,,,,,i-32V512,1.0,,,6.211103794845723,,,2.6754740290342527
35,7,35,0.0,2.279350712444284,2603.5382349968722,-5934.376730816054,0.2825893681340978,,,,,,,i-32V512,1.0,8510.0,2790.0,3.05,-30.2658433511627,-6.683217383624651,-25.267189755925113
35,18,35,0.0,4.90018300644806,2215.355422265993,-10855.646993430386,0.5169355711157326,,,,,,,i-32V512,1.0,,,4.546385717365512,,,7.781946167285669
-7,34,-7,3.1948350795985334,0.0,3084.542803568546,9854.605553364,0.4692669311125714,8700.0,3000.0,2.9,13.271328199586208,2.8180934522848533,10.166726882708055,i-32V5SL12,1.0,,,,,,
-7,52,-7,1.4241818792706908,0.0,3934.4658804915866,5603.395011604921,0.2668283338859486,8400.0,4019.0,2.09,-33.29291652851285,-2.103362018124244,-31.857326350684644,i-32V5SL12,1.0,,,,,,
2,30,2,4.835072705099208,0.0,1072.1867125508693,5184.100708624758,0.24686193850594088,5300.0,1199.0,4.42,-2.1867790825517264,-10.57658777724193,9.390785183239991,i-32V5SL12,1.0,,,,,,
2,42,2,3.6546372382139793,0.0,1638.8020971660776,5989.227170366311,0.2852012938269672,5200.0,1512.0,3.44,15.177445583967518,8.386382087703549,6.239454599243577,i-32V5SL12,1.0,,,,,,
7,27,7,5.822825536564551,0.0,688.5042906360851,4009.0403655500577,0.19090668407381228,4300.0,700.0,6.14,-6.76650312674284,-1.6422441948449884,-5.165707873541514,i-32V5SL12,1.0,,,,,,
7,36,7,4.937498936400743,0.0,794.7446752514652,3924.0509887642634,0.18685957089353636,4200.0,940.0,4.47,-6.570214553231823,-15.452694122184552,10.458589181224687,i-32V5SL12,1.0,,,,,,
12,24,12,6.810578368029837,0.0,653.0908290973205,4447.926273008882,0.21180601300042295,4800.0,600.0,8.0,-7.334869312314951,8.84847151622008,-14.867770399627034,i-32V5SL12,1.0,,,,,,
12,30,12,6.220360634586996,0.0,723.9177521743928,4503.029488304298,0.214429975633538,4800.0,882.0,5.44,-6.186885660327124,-17.92315734984208,14.344864606378582,i-32V5SL12,1.0,,,,,,
20,7,20,0.0,6.7106424844791945,874.4514058879417,-5868.130754964182,0.27943479785543723,,,,,,,i-32V5SL12,1.0,4230.0,669.0,6.32,38.72649538922417,30.7102250953575,6.181051969607498
20,18,20,0.0,9.331474778482516,486.2685931570627,-4537.603112613307,0.21607633869587176,,,,,,,i-32V5SL12,1.0,,,10.663204746797296,,,-12.48902182727727
25,7,25,0.0,5.233545227134073,874.4514058879417,-4576.480981645517,0.21792766579264367,,,,,,,i-32V5SL12,1.0,3980.0,869.0,4.58,14.986959337827056,0.6273194347458766,14.26954644397538
25,18,25,0.0,7.854377521137394,486.2685931570627,-3819.337107327938,0.18187319558704468,,,,,,,i-32V5SL12,1.0,,,7.042638054366629,,,11.526071061787203
30,7,30,0.0,3.7564479697894058,1738.9948204420898,-6532.443562723981,0.3110687410820943,,,,,,,i-32V5SL12,1.0,6280.0,1558.0,4.03,4.019801954203528,11.617125830686126,-6.787891568501103
30,18,30,0.0,6.377280263793182,1350.8120077112108,-8614.506756871548,0.4102146074700737,,,,,,,i-32V5SL12,1.0,,,6.211103794845723,,,2.6754740290342527
35,7,35,0.0,2.279350712444284,2603.5382349968722,-5934.376730816054,0.2825893681340978,,,,,,,i-32V5SL12,1.0,8510.0,2790.0,3.05,-30.2658433511627,-6.683217383624651,-25.267189755925113
35,18,35,0.0,4.90018300644806,2215.355422265993,-10855.646993430386,0.5169355711157326,,,,,,,i-32V5SL12,1.0,,,4.546385717365512,,,7.781946167285669
-7,34,-7,2.9883575211028983,0.0,4241.074290425229,12673.84625334837,0.6035164882546843,12000.0,4167.0,2.88,5.615385444569765,1.7776407589447762,3.762413927183972,i-32V516,1.0,,,,,,
-7,52,-7,1.2178827253809459,0.0,5427.920897730564,6610.57109608029,0.31478909981334713,11500.0,5502.0,2.09,-42.516773077562696,-1.3464031673834143,-41.72809926406957,i-32V516,1.0,,,,,,
2,30,2,4.786248957187041,0.0,1574.884590608057,7537.789729487753,0.3589423680708454,7300.0,1686.0,4.33,3.257393554626753,-6.590475052902911,10.536927417714569,i-32V516,1.0,,,,,,
2,42,2,3.6059324267057487,0.0,2366.1156621449472,8532.053191464809,0.40628824721261,6900.0,2255.0,3.06,23.652944803837816,4.92752382017505,17.840928977312043,i-32V516,1.0,,,,,,
7,27,7,5.861579530135373,0.0,944.8807080071253,5538.4934164743845,0.26373778173687545,5700.0,978.0,5.83,-2.8334488337827257,-3.386430674118057,0.5416729011213262,i-32V516,1.0,,,,,,
7,36,7,4.976342132274397,0.0,1093.2365339202922,5440.319024289178,0.259062810680437,5500.0,1338.0,4.11,-1.0851086492876805,-18.29323363824423,21.078883996943954,i-32V516,1.0,,,,,,
12,24,12,6.936910103083619,0.0,895.4287660360696,6211.50885370731,0.29578613589082425,6700.0,825.0,8.12,-7.290912631234181,8.53682012558421,-14.57007262212291,i-32V516,1.0,,,,,,
12,30,12,6.346751837843044,0.0,994.3326499781809,6310.782573676364,0.3005134558893507,6600.0,1048.0,6.3,-4.382082217024785,-5.120930345593422,0.742092664175309,i-32V516,1.0,,,,,,
20,7,20,0.0,7.315372136975384,1251.564776784614,-9155.66209570998,0.43598390931952286,,,,,,,i-32V516,1.0,5530.0,829.0,6.67,65.56350986817326,50.97283194024293,9.675744182539493
20,18,20,0.0,10.150029457724486,727.6695658610931,-7385.867528979683,0.35170797757046107,,,,,,,i-32V516,1.0,,,11.253730326129425,,,-9.807422396130427
25,7,25,0.0,5.685125597852675,1251.564776784614,-7115.302949868978,0.33882394999376086,,,,,,,i-32V516,1.0,6470.0,1221.0,5.3,9.973770477109412,2.5032577219175955,7.266520714201419
25,18,25,0.0,8.519782918601777,727.6695658610931,-6199.586737609712,0.29521841607665295,,,,,,,i-32V516,1.0,,,8.149777661166622,,,4.5400656658182825
30,7,30,0.0,4.054879058730876,2644.993215494048,-10725.127599992058,0.5107203619043837,,,,,,,i-32V516,1.0,10170.0,2333.0,4.36,5.458481809164772,13.373048242350972,-6.998186726356071
30,18,30,0.0,6.889536379478159,2121.098004569531,-14613.381866920314,0.6958753269962055,,,,,,,i-32V516,1.0,,,6.719705346284703,,,2.5273583355459817
35,7,35,0.0,2.4246325196090766,4038.421654205474,-9791.688470680074,0.466270879556194,,,,,,,i-32V516,1.0,13800.0,4381.0,3.15,-29.045735719709608,-7.8196381144607585,-23.027539060029312
35,18,35,0.0,5.2592898403563595,3514.526443280957,-18483.91321681131,0.8801863436576814,,,,,,,i-32V516,1.0,,,4.695447544164381,,,12.008275907431564
-7,34,-7,2.9371760504384383,0.0,4664.23608590022,13699.682525096849,0.6523658345284213,12800.0,4523.0,2.83,7.02876972731914,3.1226196307809095,3.787139591464239,i-32V518T,1.0,,,,,,
-7,52,-7,1.3306303240680109,0.0,6016.769452503033,8006.095886426619,0.3812426612584104,12500.0,6158.0,2.03,-35.95123290858705,-2.293448319210245,-34.4517081739896,i-32V518T,1.0,,,,,,
2,30,2,4.709580389351714,0.0,1585.156333190128,7465.421180848899,0.3554962467070904,7800.0,1797.0,4.34,-4.289472040398734,-11.788740501384087,8.515677174002633,i-32V518T,1.0,,,,,,
2,42,2,3.6385499051047527,0.0,2486.8452442582025,9048.510527505889,0.4308814536907566,7600.0,2275.0,3.34,19.059349046130116,9.311878868492407,8.938619913315948,i-32V518T,1.0,,,,,,
7,27,7,5.763668109023229,0.0,1034.5627219443818,5962.876167255099,0.28394648415500473,5800.0,1023.0,5.67,2.808209780260329,1.130275849890694,1.651994868134543,i-32V518T,1.0,,,,,,
7,36,7,4.960395245837958,0.0,1203.6293927693832,5970.477517644077,0.2843084532211465,5700.0,1377.0,4.14,4.745219607790818,-12.590458041439124,19.816310285941018,i-32V518T,1.0,,,,,,
12,24,12,6.817755828694544,0.0,978.2071650023646,6669.177600865637,0.31757988575550655,6700.0,844.0,7.94,-0.4600358079755673,15.901322867578749,-14.134057573116577,i-32V518T,1.0,,,,,,
12,30,12,6.282240586571106,0.0,1090.918278886049,6853.411088250234,0.32635290896429686,6600.0,1073.0,6.15,3.8395619431853545,1.6699234749346648,2.150253440180583,i-32V518T,1.0,,,,,,
20,7,20,0.0,7.546245447138972,1314.4192641494044,-9918.930387719201,0.47233001846281913,,,,,,,i-32V518T,1.0,5540.0,815.0,6.8,79.0420647602744,61.278437318945336,10.974197752043713
20,18,20,0.0,10.42693861348107,790.5737928857529,-8243.264407846644,0.3925364003736497,,,,,,,i-32V518T,1.0,,,11.473068398452783,,,-9.118134300609505
25,7,25,0.0,5.812075894748887,1314.4192641494044,-7639.504520756323,0.36378592955982486,,,,,,,i-32V518T,1.0,7060.0,1279.0,5.52,8.208279330826107,2.769293522236471,5.29122997733491
25,18,25,0.0,8.692769061090985,790.5737928857529,-6872.275407306625,0.32725120987174405,,,,,,,i-32V518T,1.0,,,8.488070318799954,,,2.411605165872044
