Manufacturer,Model,Date,Type,Subtype,Group,Refrigerant,Mass of Refrigerant [kg],SPL indoor [dBA],SPL outdoor [dBA],PSB [W],Climate,P_el_h_ref [W],P_th_h_ref [W],COP_ref,p1_P_th [1/°C],p2_P_th [1/°C],p3_P_th [-],p4_P_th [1/°C],p1_P_el_h [1/°C],p2_P_el_h [1/°C],p3_P_el_h [-],p4_P_el_h [1/°C],p1_COP [-],p2_COP [-],p3_COP [-],p4_COP [-]
Airwell Residential S.A.S.,WELLEA MONOBLOC 14 KW 1PH,2020-01-17,Outdoor Air/Water,Regulated,1.0,R32,2.8,,71.0,9,average,5941,12180,2.0501599057397746,177.2113661495208,0.0003860790498881,0.6998544677596317,-177.25378612552055,-43.12441947859916,0.0129693956504772,-0.0156404525029664,43.07763271595163,0.1581570472088119,-0.0725806910872801,6.2775925848623055,-0.0610517183102323
Airwell Residential S.A.S.,AW-WHPMA12-H91,2021-06-18,Outdoor Air/Water,Regulated,1.0,R32,1.84,,65.0,14,average,5100,10250,2.0098039215686274,248.28077694472668,-0.002155506728602,0.817544673015103,-248.31928872004008,-71.55814293335932,0.0129713492859753,-0.0415462489073791,71.50886302639518,-178.0536611842993,-0.1093434262161279,8.038427631678939,178.2133762929866
Airwell Residential S.A.S.,AW-WHPMA14-H91,2021-06-18,Outdoor Air/Water,Regulated,1.0,R32,1.84,,65.0,14,average,5318,10690,2.010154193305754,-187.0398271968335,-0.0075770137776968,1.0597845189525128,186.9937286532061,70.60109368668608,0.0081556765804838,0.1706113799861137,-70.65649038498726,-0.3586734733608239,-0.1038371321272891,7.812566445249566,0.5299121226455981
Airwell Residential S.A.S.,AW-WHPMA06-H91,2021-06-18,Outdoor Air/Water,Regulated,1.0,R32,1.5,,58.0,14,average,2327,5050,2.170176192522561,-44.926931326676446,-0.010252016319439,1.162909226399855,44.873861650511735,-103.52794779913646,0.0071953635045606,0.2163095747795655,103.47173325335172,-107.00913838667545,-0.1117211814767775,8.187076572488866,107.13187817834635
Airwell Residential S.A.S.,AW-WHPMA08-H91,2021-06-18,Outdoor Air/Water,Regulated,1.0,R32,1.65,,59.0,14,average,2704,5840,2.159763313609468,72.1885716791193,-0.0118509767849728,1.2398648861558168,-72.24418456166177,89.4824359768617,0.0100705812134356,0.1163489273955808,-89.53206940418275,208.38089328037327,-0.1435524164788989,9.44565908744712,-208.28619183927523
Airwell Residential S.A.S.,AW-WHPMA10-H91,2021-06-18,Outdoor Air/Water,Regulated,1.0,R32,1.65,,60.0,14,average,3027,6780,2.2398414271555995,-310.8180482952726,-0.0100503498610491,1.155546565731871,310.7640081211493,-71.56003802657736,0.0084199561245372,0.1810125149116992,71.5069385254997,-40.374296486590296,-0.1335710724755534,9.139984843166683,40.49473098538286
Airwell Residential S.A.S.,AW-WHPMA16-H91,2021-06-18,Outdoor Air/Water,Regulated,1.0,R32,1.84,,68.0,14,average,5789,11520,1.9899809984453276,328.23161890556315,-0.0094975247482448,1.1317970064036655,-328.2812786624596,-301.98342278504174,0.006524380874758,0.2359520651289632,301.9247650271724,-34.78055729461209,-0.1014990722524567,7.65857194227739,34.95390263398209
Airwell Residential S.A.S.,AW-WHPMA18-H93,2021-06-18,Outdoor Air/Water,Regulated,1.0,R32,5.0,,71.0,18,average,9076,15610,1.7199206698986338,177.04950402221073,-0.0010495816828463,0.7513795236338757,-177.09138810384255,42.17813636699892,0.0170342369949282,-0.2463360081655473,-42.22402424855056,-18.99687093168473,-0.1028419046767234,7.524155754224513,19.117880849726383
Airwell Residential S.A.S.,WELLEA MONOBLOC 16 KW 1PH,2020-01-17,Outdoor Air/Water,Regulated,1.0,R32,2.8,,71.0,9,average,6324,12900,2.0398481973434537,88.36709954688986,-0.0041303001603981,0.8960213055116675,-88.4154581539805,237.26926755442292,0.0085713248945249,0.1701836213484802,-237.322487443382,-88.12645729457648,-0.0766102383716987,6.439103980093018,88.24342100734889
Airwell Residential S.A.S.,WELLEA MONOBLOC 16KW 3PH,2020-01-17,Outdoor Air/Water,Regulated,1.0,R32,2.8,,71.0,9,average,6324,12900,2.0398481973434537,106.13639706023122,-0.0041303084671036,0.8960215667656649,-106.18475575257963,237.26927050281785,0.0085712918935956,0.1701852540572422,-237.3224903612439,123.98393336085418,-0.0766104706554404,6.439112715168903,-123.8669696944458
