Manufacturer,Model,Date,Type,Refrigerant,Mass of Refrigerant [kg],Pdesignc,T_outside [°C],T_out [°C],Pdc [kW],EER
DAIKIN Europe N.V.,EGSAX10D9W(G) (3PH),2019-06-14,Brine/Water,R32,1.7,8.4,30,7,6.56,15.17
DAIKIN Europe N.V.,EGSAX10D9W(G) (3PH),2019-06-14,Brine/Water,R32,1.7,8.4,30,18,6.13,17.1
DAIKIN Europe N.V.,EGSAX10D9W(G) (3PH),2019-06-14,Brine/Water,R32,1.7,8.4,25,7,4.02,15.98
DAIKIN Europe N.V.,EGSAX10D9W(G) (3PH),2019-06-14,Brine/Water,R32,1.7,8.4,25,18,3.77,14.26
DAIKIN Europe N.V.,EGSAX10D9W(G) (3PH),2019-06-14,Brine/Water,R32,1.7,8.4,20,7,3.28,12.99
DAIKIN Europe N.V.,EGSAX10D9W(G) (3PH),2019-06-14,Brine/Water,R32,1.7,8.4,20,18,3.57,16.42
DAIKIN Europe N.V.,EGSAX06D9W(G) (1PH),2019-06-14,Brine/Water,R32,1.7,8.4,35,7,8.13,10.8
DAIKIN Europe N.V.,EGSAX06D9W(G) (1PH),2019-06-14,Brine/Water,R32,1.7,8.4,35,18,8.42,17.13
DAIKIN Europe N.V.,EGSAX06D9W(G) (1PH),2019-06-14,Brine/Water,R32,1.7,8.4,30,7,6.56,15.17
DAIKIN Europe N.V.,EGSAX06D9W(G) (1PH),2019-06-14,Brine/Water,R32,1.7,8.4,30,18,6.13,17.1
DAIKIN Europe N.V.,EGSAX06D9W(G) (1PH),2019-06-14,Brine/Water,R32,1.7,8.4,25,7,4.02,15.98
DAIKIN Europe N.V.,EGSAX06D9W(G) (1PH),2019-06-14,Brine/Water,R32,1.7,8.4,25,18,3.77,14.26
DAIKIN Europe N.V.,EGSAX06D9W(G) (1PH),2019-06-14,Brine/Water,R32,1.7,8.4,20,7,3.28,12.99
DAIKIN Europe N.V.,EGSAX06D9W(G) (1PH),2019-06-14,Brine/Water,R32,1.7,8.4,20,18,3.57,16.42
DAIKIN Europe N.V.,EGSAX06D9W(G) (3PH),2019-06-14,Brine/Water,R32,1.7,8.4,35,7,8.13,10.8
DAIKIN Europe N.V.,EGSAX06D9W(G) (3PH),2019-06-14,Brine/Water,R32,1.7,8.4,35,18,8.42,17.13
DAIKIN Europe N.V.,EGSAX06D9W(G) (3PH),2019-06-14,Brine/Water,R32,1.7,8.4,30,7,6.56,15.17
DAIKIN Europe N.V.,EGSAX06D9W(G) (3PH),2019-06-14,Brine/Water,R32,1.7,8.4,30,18,6.13,17.1
DAIKIN Europe N.V.,EGSAX06D9W(G) (3PH),2019-06-14,Brine/Water,R32,1.7,8.4,25,7,4.02,15.98
DAIKIN Europe N.V.,EGSAX06D9W(G) (3PH),2019-06-14,Brine/Water,R32,1.7,8.4,25,18,3.77,14.26
DAIKIN Europe N.V.,EGSAX06D9W(G) (3PH),2019-06-14,Brine/Water,R32,1.7,8.4,20,7,3.28,12.99
DAIKIN Europe N.V.,EGSAX06D9W(G) (3PH),2019-06-14,Brine/Water,R32,1.7,8.4,20,18,3.57,16.42
DAIKIN Europe N.V.,EPRA14DV / ETBX16D6V,2020-02-07,Outdoor Air/Water,R32,4.2,6.90,35,7,6.90,2.70
DAIKIN Europe N.V.,EPRA14DV / ETBX16D6V,2020-02-07,Outdoor Air/Water,R32,4.2,6.90,30,7,5.23,3.65
