Model,k1,k2,k3,k4,k5,k6,k7,k8,k9,Group,P_el_n,P_th_max
PAC BT MB 14KW H11,-0.1210914638052814,-0.012158755721146325,2.318753893358707,-0.04776402554688777,0.009854506424357888,0.294487550291277,0.15338465346247485,-0.10645986715035989,7.718961646174953,1.0,4604,11700
PAC BT MB 16KW H11,-0.12576809716300377,-0.017255680118623013,2.554666182698441,-0.04848393040196524,0.00927834230793916,0.33311791452133316,0.1284654162368406,-0.09962179671735463,7.367370305330121,1.0,4856,12300
PAC BT MB 12KW H13,-0.1126475232318204,-0.015952004349324693,2.534314291817798,-0.046000653098173146,0.012036998169232437,0.23995604872703313,0.15002872083711705,-0.11996586576959416,8.238726112899881,1.0,3746,9500
PAC BT MB 14KW H13,-0.10524990537604283,-0.004623680319388151,2.037510975373826,-0.046249965732772416,0.011666379788087307,0.23803771027688578,0.16445227441015384,-0.10497979814696896,7.656847600866524,1.0,4511,11600
PAC BT MB 16KW H13,-0.10821543358737722,-0.009899719834656796,2.3091628939392836,-0.04701659153270989,0.011316145296100841,0.2771115119439255,0.16227374695209734,-0.09618142621802546,7.260778410229114,1.0,4528,11700
PAC BT MB 5KW H11,-0.08578489791364653,0.06375484843743379,0.08052968543796371,-0.03824942243278765,0.0439363226654994,-0.7444019769060873,0.13800044834496888,-0.11949569602896284,8.27591298178821,1.0,1439,5900
PAC BT MB 7KW H11,-0.11529720948912653,0.0024331915059533195,1.9072966677003516,-0.04608545870477815,0.01723136925223468,0.07156615034574151,0.1500738560590693,-0.11891674815694367,8.237504721688206,1.0,2071,5900
PAC BT MB 9KW H11,-0.10443417736541251,-0.0016860388096825063,1.7685268634334939,-0.048896354536985626,0.008585996382301331,0.3301370039367527,0.19122496704220576,-0.06593473043851344,6.039718974176186,1.0,3222,7700
PAC-BT-UE-10KW-H11,-0.047769824776168514,-0.012230809865754373,2.6486420985717993,-0.03895707758458082,0.014920736999720878,0.20882232993778696,0.2303309254958171,-0.09230653257825006,7.194378818141972,1.0,4331,10920
PAC-BT-UE-12KW-H11,-0.055016801975964126,-0.01746054730405229,2.974264663315005,-0.03784253573480465,0.012209263942836683,0.27996054784422325,0.21469698230246761,-0.07678548656350728,6.879311662993614,1.0,3281,8600
PAC-BT-UE-14KW-H11,-0.0437141259426836,0.009176375917699351,1.8335987339806916,-0.038064971097235445,0.020714343802731815,-0.01727580237126061,0.22385495236909936,-0.0860517310104116,7.130785919587049,1.0,2902,8580
PAC-BT-UE-16KW-H11,-0.04114152457049497,-0.0009728564839622733,2.262740893853487,-0.03823413115766157,0.018759363402788148,0.08596733868704484,0.25298156705427133,-0.09092085278896242,7.166218832036759,1.0,4018,10680
PAC-BT-UE-12KW-H13,-0.04870961664236417,0.0010279024934238283,2.429925623587023,-0.03837108318888977,0.01989660197718623,0.06117399281823323,0.2536038481285989,-0.09482679723039682,7.608307684091648,1.0,4020,12120
PAC-BT-UE-14KW-H13,-0.04787223972670765,-0.0009196161522295255,2.3910216446444625,-0.03528633968816318,0.01998556712553584,0.035430389852552924,0.18958470248095402,-0.09105166518742852,7.2988545318139435,1.0,3371,9550
PAC-BT-UE-16KW-H13,-0.04823921977467182,0.0012278139047979168,2.351147918811364,-0.03945333821226266,0.019071692941564498,0.08323821763000938,0.282465779215105,-0.09239361031654068,7.512400127378277,1.0,3880,11260
PAC-BT-UE-4KW-H11,-0.036485581286140475,-0.04488210043204894,3.826094493616567,-0.03799130715005407,0.0023128780725927152,0.5762972086172775,0.24620940886673473,-0.09812516865238756,7.742569741392245,1.0,1292,2620
PAC-BT-UE-6KW-H11,-0.05145135871213651,-0.003872185481961009,2.4298838347248624,-0.03588731314475648,0.01940580403916216,0.05342554729685436,0.1520026725734374,-0.08945987069986404,7.12942370130073,1.0,1611,4770
PAC-BT-UE-8KW-H11,-0.025521449565567206,-0.0024828267259897497,2.109531397114947,-0.036596444713201656,0.015378995266410367,0.14503318567627932,0.21179740816913764,-0.08048814785397819,6.785489153202654,1.0,2130,5330
WELLEA MONOBLOC 12 KW 1PH,-0.11164448178255877,0.014989730922726058,1.5624532997882188,-0.043016354902566,0.021404613719596257,-0.043479847665445985,0.09060431644868412,-0.07377646990460575,6.28770104540041,1.0,3653,11290
WELLEA MONOBLOC 14 KW 1PH,-0.1176678167838478,0.0010705587183773037,1.941308822545479,-0.04511056170499933,0.01497392515117757,0.1429874859885693,0.09710533191780525,-0.07258069148673552,6.277592608020326,1.0,4391,12180
WELLEA MONOBLOC 16 KW 1PH,-0.1199203357775575,-0.010242192005061853,2.2219599240061205,-0.04746921305743714,0.008931864855784998,0.3241709064373055,0.11696358649796244,-0.07661039789291572,6.4391098748260855,1.0,5202,12900
WELLEA MONOBLOC 12 KW 3PH,-0.11164448178255877,0.014989730922726058,1.5624532997882188,-0.043016354902566,0.021404613719596257,-0.043479847665445985,0.09060431644868412,-0.07377646990460575,6.28770104540041,1.0,3653,11290
WELLEA MONOBLOC 14 KW 3PH,-0.12844192752234734,0.0013695430457989959,1.8135937326995557,-0.04832179289740983,0.013883937792537741,0.1594131699977591,0.1184613909353021,-0.04888751675695815,5.408393520246875,1.0,4391,12180
WELLEA MONOBLOC 16KW 3PH,-0.1199203357775575,-0.010242192005061853,2.2219599240061205,-0.04746921305743714,0.008931864855784998,0.3241709064373055,0.11696358649796244,-0.07661039789291572,6.4391098748260855,1.0,5202,12900
WELLEA MONOBLOC 5KW,-0.12121215430733606,0.001249198982431611,2.002404741445954,-0.044758754183172725,0.018576840434625742,0.03663192063437504,0.0893740160859716,-0.08837598001228822,6.897615256621555,1.0,2021,5830
WELLEA MONOBLOC 7KW,-0.12121215430733606,0.001249198982431611,2.002404741445954,-0.044758754183172725,0.018576840434625742,0.03663192063437504,0.0893740160859716,-0.08837598001228822,6.897615256621555,1.0,2021,5830
WELLEA MONOBLOC 9KW,-0.12542524626526932,-0.017423944459801284,2.5426534338661844,-0.04778740459555069,0.012102417034093862,0.2336409900541,0.12349712822401095,-0.10733674787134334,7.684960759589402,1.0,2650,6580
AW-YHPS04-H91 + AW-WHPS0406-N91,-0.1254512188041416,-0.0047970498029897505,2.12234308817768,-0.04756966755243805,0.01496333205207723,0.12787942647602207,0.1677151746384649,-0.11429931089441465,8.189535700760867,1.0,1933,5310
AW-YHPS06-H91 + AW-WHPS0406-N91,-0.1254512188041416,-0.0047970498029897505,2.12234308817768,-0.04756966755243805,0.01496333205207723,0.12787942647602207,0.1677151746384649,-0.11429931089441465,8.189535700760867,1.0,1933,5310
AW-YHPS08-H91 + AW-WHPS0810-N91,-0.1353843357961035,-0.01615954249429498,2.5522366883467535,-0.04768161770744224,0.012354772396265833,0.2133913419430725,0.12459301793912936,-0.1282665186953576,8.658086017365944,1.0,2652,7010
AW-YHPS10-H91 + AW-WHPS0810-N91,-0.1353843357961035,-0.01615954249429498,2.5522366883467535,-0.04768161770744224,0.012354772396265833,0.2133913419430725,0.12459301793912936,-0.1282665186953576,8.658086017365944,1.0,2652,7010
AW-YHPS04-H91 + AW-WHPST0410-N91,-0.10531741965419454,0.021746887365835618,1.6565140384469532,-0.03806349869340762,0.02916691772072094,-0.2740360275042514,0.10746956107542227,-0.10404824552482023,7.7567649761517,1.0,1227,4260
AW-YHPS06-H91 + AW-WHPST0410-N91,-0.12677934576370223,-0.005563051071212173,2.372258240450832,-0.0449330344513989,0.01792453679215992,0.05617168663341415,0.11353380751767649,-0.11786630438235915,8.348035886831715,1.0,1693,5170
AW-YHPS08-H91 + AW-WHPST0410-N91,-0.13497213846805006,-0.011593662855162517,2.5247726883042096,-0.046380169074054116,0.01566547517120824,0.11908505073320341,0.11425195636988311,-0.1318543844399162,8.888862617827535,1.0,2371,6700
AW-YHPS10-H91 + AW-WHPST0410-N91,-0.14244380159217468,-0.016878290627991812,2.766456569964299,-0.04748220967250026,0.0109141942049217,0.2670771403249274,0.14740668250479247,-0.13707923358455076,9.308675265702155,1.0,2653,7520
alpha innotec L12 Split-HT 12,-0.09538904638547632,-0.020148806908818973,2.735516447907086,-0.043103913723777386,0.009220956980957767,0.33406985499035474,0.15318082082236487,-0.07409277965853263,6.484556427883788,1.0,3540,8900
NOVELAN L12 Split-CS 12,-0.09538904638547632,-0.020148806908818973,2.735516447907086,-0.043103913723777386,0.009220956980957767,0.33406985499035474,0.15318082082236487,-0.07409277965853263,6.484556427883788,1.0,3540,8900
alpha innotec L6 Split-HT 6,-0.06063194987125121,0.009005296848857319,1.663537454767499,-0.03964483843775399,0.02035635590682735,-0.036204407987547656,0.17328186089255526,-0.10213256987019459,7.704320576163991,1.0,1654,4700
NOVELAN L6 Split-CS 6,-0.06063194987125121,0.009005296848857319,1.663537454767499,-0.03964483843775399,0.02035635590682735,-0.036204407987547656,0.17328186089255526,-0.10213256987019459,7.704320576163991,1.0,1654,4700
alpha innotec L8 Split-HT 12,-0.09345603181930735,-0.020602018773956024,2.7519440189559385,-0.041814431443391385,0.010230266732749297,0.3061294483199054,0.13313339071766567,-0.07706016310057932,6.500476239343663,1.0,2534,6300
NOVELAN L8 Split-CS 12,-0.09345603181930735,-0.020602018773956024,2.7519440189559385,-0.041814431443391385,0.010230266732749297,0.3061294483199054,0.13313339071766567,-0.07706016310057932,6.500476239343663,1.0,2534,6300
LW 101,0.0924255919888032,-0.008176620035169887,3.835786869953281,0.0010885633482352942,0.017388233834666467,0.4394951311416121,0.09151349529066784,-0.054626494076030395,5.406238500346207,4.0,2535,6980
LW 101A,0.0924255919888032,-0.008176620035169887,3.835786869953281,0.0010885633482352942,0.017388233834666467,0.4394951311416121,0.09151349529066784,-0.054626494076030395,5.406238500346207,4.0,2535,6980
LW 121,0.09375182882128048,-0.010468518495472383,4.043053727237023,0.0013204226343671904,0.018534826553282747,0.4074912945008255,0.09236536946719508,-0.060084598880613904,5.7021292933859415,4.0,3023,8700
LW 121A,0.09375182882128048,-0.010468518495472383,4.043053727237023,0.0013204226343671904,0.018534826553282747,0.4074912945008255,0.09236536946719508,-0.060084598880613904,5.7021292933859415,4.0,3023,8700
LW 140 (L),0.07483482005918027,-0.008344123320578734,3.9513444776457916,-0.0027531411261101702,0.01841179390038188,0.39476558146159413,0.09464847696426862,-0.05979939657479574,5.755584587883683,4.0,3514,10400
LW 140A,0.07483482005918027,-0.008344123320578734,3.9513444776457916,-0.0027531411261101702,0.01841179390038188,0.39476558146159413,0.09464847696426862,-0.05979939657479574,5.755584587883683,4.0,3514,10400
LW 180 (L),-0.03273354603772364,-0.01022660764095767,3.229901572158288,-0.026700519499470513,0.01911584581158351,0.22067651064138136,0.10942983113886653,-0.07656001923112153,6.334996252083765,7.0,4857,12780
LW 180A,-0.03273354603772364,-0.01022660764095767,3.229901572158288,-0.026700519499470513,0.01911584581158351,0.22067651064138136,0.10942983113886653,-0.07656001923112153,6.334996252083765,7.0,4857,12780
LW 251 (L),-0.03505312982663755,7.964173374182953e-05,2.9673721926412893,-0.02788618588166955,0.01985204133991525,0.2254613864407013,0.11309349441599663,-0.06333684180206715,5.82512670618589,7.0,6541,19180
LW 251A,-0.03505312982663755,7.964173374182953e-05,2.9673721926412893,-0.02788618588166955,0.01985204133991525,0.2254613864407013,0.11309349441599663,-0.06333684180206715,5.82512670618589,7.0,6541,19180
LW 300A-LUX 2.0,0.02219123651026449,0.0034442734715377918,2.4551112465910268,-0.01572099962708293,0.0168751653515196,0.2717485634564385,0.09343156804413356,-0.04866655320291715,4.937152278195809,1.0,7325,20360
LW 300(L),0.02219123651026449,0.0034442734715377918,2.4551112465910268,-0.01572099962708293,0.0168751653515196,0.2717485634564385,0.09343156804413356,-0.04866655320291715,4.937152278195809,1.0,7325,20360
LW 310 (L),-0.036517440078129876,-0.004513719418129484,3.072273366602407,-0.026853510656619776,0.017224684448641354,0.3171023442995849,0.09303326085746061,-0.05746574691713426,5.4910186372753635,7.0,8568,23760
LW 310A,-0.036517440078129876,-0.004513719418129484,3.072273366602407,-0.026853510656619776,0.017224684448641354,0.3171023442995849,0.09303326085746061,-0.05746574691713426,5.4910186372753635,7.0,8568,23760
LWC 100,0.09665177797982648,-0.010701122378054229,3.827059682537148,0.0031935936648547786,0.017000453894860806,0.4449253742489181,0.08717323378809502,-0.056300892413680845,5.385236858461947,4.0,2948,7830
LWC 120,0.08889185061837014,-0.010683521909146853,3.7227184113064506,0.00025165936184375065,0.01702087197839715,0.4378102260173107,0.09152818070948993,-0.054292298285422175,5.255949121078172,4.0,3432,8820
LWC 60,0.10407482405213041,-0.010077659143326943,3.9477807305361376,0.0030040340775299556,0.016622857178803137,0.47754416447865733,0.09371824233279737,-0.0534992835080923,5.3585240223120945,4.0,1629,4420
LWC 80,0.08359904825786034,-0.009100190912016488,3.868642950039407,-0.00035772946305618827,0.017066370972969376,0.44553614452577145,0.08888357500737849,-0.05511273441987086,5.450907733046563,4.0,2121,5940
LWD 50A-HMD,0.1193651053156408,-0.020505480305711494,4.627738239590222,0.0016040298394506233,0.019353135571254,0.37226730219637755,0.11963843842346401,-0.07326532507882583,6.4360110151086625,4.0,1437,4000
LWD 50A-HTD,0.1193651053156408,-0.020505480305711494,4.627738239590222,0.0016040298394506233,0.019353135571254,0.37226730219637755,0.11963843842346401,-0.07326532507882583,6.4360110151086625,4.0,1437,4000
LWD 50A/RX-HMD,0.11618202850972283,-0.012318654134353589,4.239742093187069,0.005520676333043393,0.01397466286360991,0.5659631538740016,0.09380644680400564,-0.05239897362738658,5.500392154627382,4.0,1422,4110
LWD 50A/SX-HMD,0.10404429137840708,-0.014635070348686746,4.168366641176155,0.0006292435629653457,0.0112969161235313,0.6197788637007984,0.10630287368466054,-0.04922071691611738,5.392402085601996,4.0,1503,4110
LWD 50A/SX-HTD S,0.10404429137840708,-0.014635070348686746,4.168366641176155,0.0006292435629653457,0.0112969161235313,0.6197788637007984,0.10630287368466054,-0.04922071691611738,5.392402085601996,4.0,1503,4110
LWD 70A-HMD,0.12791777949550173,-0.012848948585057116,4.37970697490025,0.0025307344175575907,0.017600100826671204,0.4438562983450817,0.12190452473876652,-0.06159763908891606,5.9732530070958125,4.0,1921,5800
LWD 70A-HTD,0.12791777949550173,-0.012848948585057116,4.37970697490025,0.0025307344175575907,0.017600100826671204,0.4438562983450817,0.12190452473876652,-0.06159763908891606,5.9732530070958125,4.0,1921,5800
LWD 70A/RX-HMD,0.10773584593036878,-0.013699151540414067,4.239483928514917,0.002998388466569614,0.013703354787589451,0.5628429379172974,0.09843208811063152,-0.05349248103610466,5.548041726996868,4.0,1943,5580
LWD 70A/RX-HTD,0.10773584593036878,-0.013699151540414067,4.239483928514917,0.002998388466569614,0.013703354787589451,0.5628429379172974,0.09843208811063152,-0.05349248103610466,5.548041726996868,4.0,1943,5580
LWD 70A/SX-HMD,0.10755845708403237,-0.010972817668158242,3.739649533449329,0.002789216173292399,0.010465945784864122,0.6362912561518446,0.09708291448218981,-0.041129205193754285,4.845276227633311,4.0,2255,5810
LWD 70A/SX-HTD S,0.10755845708403237,-0.010972817668158242,3.739649533449329,0.002789216173292399,0.010465945784864122,0.6362912561518446,0.09708291448218981,-0.041129205193754285,4.845276227633311,4.0,2255,5810
LWD 90A-HMD,0.09626099037910717,-0.00590849456345545,3.9533411615183427,0.002099042021808371,0.015469457075702525,0.508176601508241,0.09173928847026883,-0.050889050880054375,5.42947361435594,4.0,2358,7200
LWD 90A-HTD,0.09626099037910717,-0.00590849456345545,3.9533411615183427,0.002099042021808371,0.015469457075702525,0.508176601508241,0.09173928847026883,-0.050889050880054375,5.42947361435594,4.0,2358,7200
LWDV 91-1/3-HDV 12-3,-0.09896295063066336,-0.00932930072476424,2.580952798747848,-0.04540516519551619,0.0093575510230749,0.3296780439866033,0.19942534734631756,-0.06826972208490116,6.95253298024432,1.0,2459,7070
LWDV 91-1/3-HDV 9-1/3,-0.09896295063066336,-0.00932930072476424,2.580952798747848,-0.04540516519551619,0.0093575510230749,0.3296780439866033,0.19942534734631756,-0.06826972208490116,6.95253298024432,1.0,2459,7070
LWDV 91-1/3-HSDV 12M3,-0.09896295063066336,-0.00932930072476424,2.580952798747848,-0.04540516519551619,0.0093575510230749,0.3296780439866033,0.19942534734631756,-0.06826972208490116,6.95253298024432,1.0,2459,7070
LWDV91-1/3-HSDV 9M-1/3,-0.09896295063066336,-0.00932930072476424,2.580952798747848,-0.04540516519551619,0.0093575510230749,0.3296780439866033,0.19942534734631756,-0.06826972208490116,6.95253298024432,1.0,2459,7070
LWCV 122R3,-0.045282850927921024,-0.014022473305059716,2.601944581698607,-0.0366133991602585,0.006896109130826474,0.4202111538552592,0.16479301768525084,-0.07504238566858794,6.584056445459323,1.0,3254,8300
LWV 122R3,-0.045282850927921024,-0.014022473305059716,2.601944581698607,-0.0366133991602585,0.006896109130826474,0.4202111538552592,0.16479301768525084,-0.07504238566858794,6.584056445459323,1.0,3254,8300
LWAV 122R3,-0.045282850927921024,-0.014022473305059716,2.601944581698607,-0.0366133991602585,0.006896109130826474,0.4202111538552592,0.16479301768525084,-0.07504238566858794,6.584056445459323,1.0,3254,8300
LWAV+ 122R3,-0.045282850927921024,-0.014022473305059716,2.601944581698607,-0.0366133991602585,0.006896109130826474,0.4202111538552592,0.16479301768525084,-0.07504238566858794,6.584056445459323,1.0,3254,8300
LWCV 82R1/3,-0.08305946746235884,-0.02149852378472357,3.1985114654975235,-0.037879651538148346,0.009313228528075576,0.36211781378453434,0.1547054276067676,-0.08854015518452395,7.378348837407827,1.0,1804,5040
LWV 82R1/3,-0.08305946746235884,-0.02149852378472357,3.1985114654975235,-0.037879651538148346,0.009313228528075576,0.36211781378453434,0.1547054276067676,-0.08854015518452395,7.378348837407827,1.0,1804,5040
LWAV 82R1/3,-0.08305946746235884,-0.02149852378472357,3.1985114654975235,-0.037879651538148346,0.009313228528075576,0.36211781378453434,0.1547054276067676,-0.08854015518452395,7.378348837407827,1.0,1804,5040
LWAV+ 82R1/3,-0.08305946746235884,-0.02149852378472357,3.1985114654975235,-0.037879651538148346,0.009313228528075576,0.36211781378453434,0.1547054276067676,-0.08854015518452395,7.378348837407827,1.0,1804,5040
SWCV 122(H)(K)3 (3~400V),-0.17504628641445136,0.01637534957119515,2.698947601030329,-0.038208567180321666,0.02163703844964477,0.008100706516731651,0.011724763789457087,-0.08606468341740842,7.692436819225627,2.0,2279,11100
SWCV 122H1 (1~230V),-0.17504628641445136,0.01637534957119515,2.698947601030329,-0.038208567180321666,0.02163703844964477,0.008100706516731651,0.011724763789457087,-0.08606468341740842,7.692436819225627,2.0,2279,11100
WZSV 122(H)(K)3M,-0.17504628641445136,0.01637534957119515,2.698947601030329,-0.038208567180321666,0.02163703844964477,0.008100706516731651,0.011724763789457087,-0.08606468341740842,7.692436819225627,2.0,2279,11100
PWZSV 122H3S (3~400V),-0.17504628641445136,0.01637534957119515,2.698947601030329,-0.038208567180321666,0.02163703844964477,0.008100706516731651,0.011724763789457087,-0.08606468341740842,7.692436819225627,2.0,2279,11100
PWZSV 122H2S (3~230V),-0.17504628641445136,0.01637534957119515,2.698947601030329,-0.038208567180321666,0.02163703844964477,0.008100706516731651,0.011724763789457087,-0.08606468341740842,7.692436819225627,2.0,2279,11100
PWZSV 122H1S (1~230V),-0.17504628641445136,0.01637534957119515,2.698947601030329,-0.038208567180321666,0.02163703844964477,0.008100706516731651,0.011724763789457087,-0.08606468341740842,7.692436819225627,2.0,2279,11100
SWCV 162(H)(K)3,-0.14362232659154647,-0.002736205218141273,3.1196032720544737,-0.036229508340689526,0.015616106444938988,0.18265232039506593,0.03216462189274071,-0.08637145849693281,7.655192709339807,2.0,3389,14200
WZSV 162(H)(K)3M,-0.14362232659154647,-0.002736205218141273,3.1196032720544737,-0.036229508340689526,0.015616106444938988,0.18265232039506593,0.03216462189274071,-0.08637145849693281,7.655192709339807,2.0,3389,14200
PWZSV 162H3S,-0.14362232659154647,-0.002736205218141273,3.1196032720544737,-0.036229508340689526,0.015616106444938988,0.18265232039506593,0.03216462189274071,-0.08637145849693281,7.655192709339807,2.0,3389,14200
SWCV 62(H)(K)3,-0.1777059505271078,-0.0031602204161847295,3.2000089979906323,-0.03998821395880644,0.017190805741122975,0.13479840203502477,0.012362870024141397,-0.09685981824658467,8.036286207141833,2.0,1144,5000
SWCV 62H1,-0.1777059505271078,-0.0031602204161847295,3.2000089979906323,-0.03998821395880644,0.017190805741122975,0.13479840203502477,0.012362870024141397,-0.09685981824658467,8.036286207141833,2.0,1144,5000
WZSV 62(H)(K)3M,-0.1777059505271078,-0.0031602204161847295,3.2000089979906323,-0.03998821395880644,0.017190805741122975,0.13479840203502477,0.012362870024141397,-0.09685981824658467,8.036286207141833,2.0,1144,5000
PWZSV 62H3S,-0.1777059505271078,-0.0031602204161847295,3.2000089979906323,-0.03998821395880644,0.017190805741122975,0.13479840203502477,0.012362870024141397,-0.09685981824658467,8.036286207141833,2.0,1144,5000
PWZSV 62H2S,-0.1777059505271078,-0.0031602204161847295,3.2000089979906323,-0.03998821395880644,0.017190805741122975,0.13479840203502477,0.012362870024141397,-0.09685981824658467,8.036286207141833,2.0,1144,5000
PWZSV 62H1S,-0.1777059505271078,-0.0031602204161847295,3.2000089979906323,-0.03998821395880644,0.017190805741122975,0.13479840203502477,0.012362870024141397,-0.09685981824658467,8.036286207141833,2.0,1144,5000
SWCV 92(H)(K)3 (3~ 400V),-0.17226040860239364,-0.023259731295153987,3.51979802675324,-0.04299871503193519,0.008605247586029327,0.36535678364258073,0.03701514765179295,-0.10194881559145315,8.182437519174933,2.0,1875,6620
SWCV 92H1 (1~ 230V),-0.17226040860239364,-0.023259731295153987,3.51979802675324,-0.04299871503193519,0.008605247586029327,0.36535678364258073,0.03701514765179295,-0.10194881559145315,8.182437519174933,2.0,1875,6620
WZSV 92(H)(K)3M(3~ 400V),-0.17226040860239364,-0.023259731295153987,3.51979802675324,-0.04299871503193519,0.008605247586029327,0.36535678364258073,0.03701514765179295,-0.10194881559145315,8.182437519174933,2.0,1875,6620
PWZSV 92H3S (3~ 400V),-0.17226040860239364,-0.023259731295153987,3.51979802675324,-0.04299871503193519,0.008605247586029327,0.36535678364258073,0.03701514765179295,-0.10194881559145315,8.182437519174933,2.0,1875,6620
PWZSV 92H2S (3~ 230V),-0.17226040860239364,-0.023259731295153987,3.51979802675324,-0.04299871503193519,0.008605247586029327,0.36535678364258073,0.03701514765179295,-0.10194881559145315,8.182437519174933,2.0,1875,6620
PWZSV 92H1S(1~ 230V),-0.17226040860239364,-0.023259731295153987,3.51979802675324,-0.04299871503193519,0.008605247586029327,0.36535678364258073,0.03701514765179295,-0.10194881559145315,8.182437519174933,2.0,1875,6620
WWC 100H/X,0.0011683720775624699,-0.022701008240651237,6.366517927393365,0.0004411700211430268,0.02220349671422718,0.2761337040732169,0.0037364620310093768,-0.11604172724704731,9.525856757009114,6.0,1961,10090
WWC 130H/X,0.0010692571698137192,-0.02154794653793149,6.259949361769583,0.0003818743348049607,0.01949999413382856,0.36427253333360604,0.0028803217839026116,-0.1044046749692609,9.05257957582546,6.0,2328,11880
WWC 160H/X,-0.002361602137210313,-0.020098559105174378,6.03390090241269,0.0031183441351595354,0.02064413223411709,0.32675101670289364,-0.01479379592512213,-0.10771872069067384,8.977109309480324,6.0,2711,13530
WWC 190H/X,0.001194924145588417,-0.025775661974276144,6.50762775073486,1.8183443760913543e-05,0.019804037168916915,0.35262165405248774,0.005769154338049749,-0.11086561812417392,9.3920635828366,6.0,3240,16600
WWC 220H/X,-0.003964215005784185,-0.019103719347543877,6.402627588544541,0.006547652800950325,0.02767190231730106,0.10075566880370863,-0.0337773385632935,-0.1411863392246558,10.502751095819047,6.0,3777,20540
AIM06EMX,-0.1006998280033709,-0.027939730394124843,2.5879958336195417,-0.046805619191570454,0.002983835761304928,0.5026657976238511,0.1301590957537677,-0.07703564491730656,6.130043458748647,1.0,1692,3100
AIM08EMX,-0.12055637580456918,-0.022421939642669475,2.6859447337759956,-0.046619248326717155,0.010973355221181706,0.28442265687976254,0.11825535109759475,-0.08601023125196759,6.588957969880029,1.0,2035,4870
AIM11EMX,-0.06631081158031152,-0.004769246301785698,2.112132377025608,-0.04025666429358074,0.016738848238031036,0.12159633475788899,0.17492307011101513,-0.06242929251036388,5.690026184655199,1.0,2596,6110
AIM11EMX3PH,-0.06631081158031152,-0.004769246301785698,2.112132377025608,-0.04025666429358074,0.016738848238031036,0.12159633475788899,0.17492307011101513,-0.06242929251036388,5.690026184655199,1.0,2596,6110
AIM14EMX3PH,-0.07647098139618945,-0.0004815030501012448,1.7971508749871814,-0.04254582557196874,0.019694943462800103,0.0017335684925441188,0.15541831778642778,-0.08033237697389148,6.301211345655024,1.0,3494,8420
AUAH + AEI1G50EMX,-0.06321423974761946,0.023695274822218643,0.8924262863164821,-0.04111504122582231,0.023016548142286482,-0.11601326955856921,0.1643304821359716,-0.07420449435023098,6.039372806210081,1.0,1119,3010
AUBH + AEI1G65EMX,-0.08883541389194204,-0.01933504972275423,2.374699945893344,-0.04462568938127587,0.009525120433813613,0.30846686751007824,0.16268339516280952,-0.07598112260887885,6.146209206610398,1.0,2020,3980
AUCH + AEI1G110BEMX,-0.0806800737604664,-0.014386592828857825,2.033739635213795,-0.046380186836597004,0.008323976637739015,0.3302330597642241,0.17817468285151217,-0.07375316721192855,6.0191537329297455,1.0,3299,6280
AUCH + AEI1G80BEMX,-0.09321521690814608,-0.014290496654020136,2.1573000058132323,-0.045519532369425644,0.01090082523813029,0.2603377898499073,0.14252790527016596,-0.07575868831365785,6.062857241693394,1.0,2380,5100
