Manufacturer,Model,Date,Type,Subtype,Group,Refrigerant,Mass of Refrigerant [kg],SPL indoor [dBA],SPL outdoor [dBA],PSB [W],Climate,P_el_ref [W],P_th_ref [W],COP_ref,p1_P_th [1/°C],p2_P_th [1/°C],p3_P_th [-],p4_P_th [1/°C],p1_P_el [1/°C],p2_P_el [1/°C],p3_P_el [-],p4_P_el [1/°C],p1_COP [-],p2_COP [-],p3_COP [-],p4_COP [-]
Airwell Residential,PAC-BT-UE-8KW-H11,2019-09-11,Outdoor Air/Water,Regulated,1.0,R410a,2.8,35.0,65.0,17.0,average,2994.0,5330.0,1.78,212.75866442650425,-0.0009939987744369,0.8430874047038518,-212.7688640662172,241.19679180339563,0.0134629070777818,-0.0985335486862536,-241.25041190604705,17.42003068822885,-0.0804881634099422,6.785489746327708,-17.208233296565513
Airwell Residential,WELLEA MONOBLOC 12 KW 1PH,2020-01-17,Outdoor Air/Water,Regulated,1.0,R32,2.8,,68.0,9.0,average,5507.0,11290.0,2.05,-213.6818920568264,0.0048501136840154,0.5055474642249227,213.64576825015016,-498.0357701314388,0.016496496803057,-0.1597353336000741,497.9954766166724,-291.3602013951361,-0.0737764068604363,6.287698481968101,291.4508057743968
Airwell Residential,WELLEA MONOBLOC 14 KW 1PH,2020-01-17,Outdoor Air/Water,Regulated,1.0,R32,2.8,,71.0,9.0,average,5941.0,12180.0,2.05,-284.7573111018867,0.0003859886458475,0.6998588454309834,284.71489132458873,184.3352168569085,0.0129694646540945,-0.0156437455772523,-184.38200340831628,71.6876906194108,-0.0725806607913012,6.277591339345874,-71.59058526019022
Airwell Residential,WELLEA MONOBLOC 16 KW 1PH,2020-01-17,Outdoor Air/Water,Regulated,1.0,R32,2.8,,71.0,9.0,average,6324.0,12900.0,2.04,-209.3034659953665,-0.0041301514945721,0.8960155423872274,209.25510755274288,-71.56010023032134,0.0085713468962553,0.170183985045043,71.50688038503824,-53.15022937190357,-0.0766104833955318,6.439113052832238,53.267192883783295
Airwell Residential,WELLEA MONOBLOC 5KW,2020-01-17,Outdoor Air/Water,Regulated,1.0,R32,2.0,,61.0,9.0,average,2959.0,5830.0,1.97,-142.6128998909492,0.0004337771927021,0.6941169244931767,142.5708822559432,-71.55591867956915,0.0148958714130319,-0.112988119846043,71.51106671530314,-71.48512479944962,-0.0883759609500276,6.897614543453225,71.57449802549813
Airwell Residential,WELLEA MONOBLOC 9KW,2020-01-17,Outdoor Air/Water,Regulated,1.0,R32,2.0,,67.0,9.0,average,3519.0,6580.0,1.87,141.67146491604024,-0.0070172452537993,1.0240172205803884,-141.72197815661332,-99.99101525734883,0.0110790419801703,0.0491252691287998,99.94087172531344,66.25171495594114,-0.1073368069333113,7.684962962850195,-66.12821786321334
Airwell Residential,AW-YHPS04-H91 + AW-WHPS0406-N91,2020-04-22,Outdoor Air/Water,Regulated,1.0,R32,1.55,43.0,61.0,15.0,average,2655.0,5310.0,2.0,-116.164706051685,-0.0017462989920174,0.772597900968042,116.11903798525331,-242.1531135955304,0.0131054355221334,-0.0473616257097682,242.1034199964703,-107.26402587952612,-0.1142994318363769,8.189540243525563,107.43174094717727
Airwell Residential,AW-YHPS08-H91 + AW-WHPS0810-N91,2020-04-22,Outdoor Air/Water,Regulated,1.0,R32,1.65,43.0,63.0,14.0,average,3470.0,7010.0,2.02,92.80976298997484,-0.0061134155676192,0.9655534577182664,-92.86098112414976,-43.12655669927774,0.0111948320948647,0.043452997785233,43.07551338954094,205.0617488895245,-0.1282663321903689,8.65807904446922,-204.93715572445728
Airwell Residential,AW-YHPS04-H91 + AW-WHPST0410-N91,2020-04-22,Outdoor Air/Water,Regulated,1.0,R32,1.55,39.0,61.0,15.0,average,2029.0,4260.0,2.1,168.3286844120045,0.0062637630664907,0.47712095156056,-168.35901877375505,229.53319307081264,0.0207377812462367,-0.323367118786667,-229.56662280806324,-249.15521561841385,-0.1040483338230607,7.756768116476373,249.2626850018028
Airwell Residential,AW-YHPS06-H91 + AW-WHPST0410-N91,2020-04-22,Outdoor Air/Water,Regulated,1.0,R32,1.55,39.0,62.0,15.0,average,2474.0,5170.0,2.09,-160.38531702744615,-0.0018218698253036,0.7768400869888229,160.34380090095044,-128.42106783448347,0.0146601435497559,-0.1054738369138042,128.37574661188646,177.29116033843042,-0.117866556662102,8.34804548570379,-177.17762644020848
