Manufacturer,Model,Titel,Date,Type,Subtype,Group,Rated Power low T [kW],Rated Power medium T [kW],Refrigerant,Mass of Refrigerant [kg],SPL indoor low Power [dBA],SPL outdoor low Power [dBA],SPL indoor high Power [dBA],SPL outdoor high Power [dBA],Bivalence temperature [°C],Tolerance temperature [°C],Max. water heating temperature [°C],Poff [W],PTOS [W],PSB [W],PCKS [W],eta low T [%],eta medium T [%],SCOP,SEER low T,SEER medium T,P_th_h_ref [W],P_th_c_ref [W],P_el_h_ref [W],P_el_c_ref [W],COP_ref,EER_c_ref,p1_P_el_h [1/°C],p2_P_el_h [1/°C],p3_P_el_h [-],p4_P_el_h [1/°C],p1_COP [-],p2_COP [-],p3_COP [-],p4_COP [-],p1_P_el_c [1/°C],p2_P_el_c [1/°C],p3_P_el_c [-],p4_P_el_c [1/°C],p1_EER [-],p2_EER [-],p3_EER [-],p4_EER [-],MAPE P_th,MAPE P_el,MAPE COP
 STIEBEL ELTRON GmbH & Co KG,WPF 27,WPF 27,24.01.2019,Brine/Water,On-Off,5.0,30.0,27.0,R410A,"7,200 kg",60.0,60,60.0,60,-10.0,-10.0,60.0,0.0,7.0,7.0,74.0,203.0,132.0,5.28,,,27000,,9247,,2.92,,-0.0208642846446682,0.0208642859224762,-0.0225907795531903,0.0068626936208942,0.1438729023187168,-0.1438728546683285,9.72921686825523,-0.0485250036733053,,,,,0.1438729023187168,-0.1438728546683285,9.72921686825523,-0.0485250036733053,6.114944188971538,6.785939554023207,9.172659374517206
 STIEBEL ELTRON GmbH & Co KG,WPF 35,WPF 35,19.09.2016,Brine/Water,On-Off,5.0,38.0,34.0,R410A,"10,000 kg",60.0,60,60.0,60,-10.0,-10.0,60.0,0.0,7.0,7.0,74.0,200.0,133.0,5.19,,,34500,,11695,,2.95,,-0.0239960393078388,0.0239960393078795,-0.1004999372930861,0.012543554064892,0.149883743520411,-0.1498837363558266,9.807488473119388,-0.0675671541343753,,,,,0.149883743520411,-0.1498837363558266,9.807488473119388,-0.0675671541343753,7.134625057419878,11.894826391069886,14.492335843781099
 STIEBEL ELTRON GmbH & Co KG,WPF 52,WPF 52,04.09.2019,Brine/Water,On-Off,5.0,56.0,52.0,R410A,"12,500 kg",59.0,59,59.0,59,-10.0,-10.0,60.0,0.0,7.0,7.0,99.0,200.0,138.0,5.2,,,52500,,16827,,3.12,,-0.0191915171985471,0.0191915180712264,0.058734970416889,0.0061912035109105,0.1233088692156032,-0.1233089027109068,8.982142416394977,-0.0406139625600959,,,,,0.1233088692156032,-0.1233089027109068,8.982142416394977,-0.0406139625600959,4.5245353096533005,5.941280579401578,7.407602401657149
 STIEBEL ELTRON GmbH & Co KG,WPF 66,WPF 66,24.01.2019,Brine/Water,On-Off,5.0,67.0,62.0,R410A,"14,500 kg",63.0,63,63.0,63,-10.0,-10.0,60.0,0.0,7.0,7.0,99.0,190.0,131.0,4.95,,,62800,,21361,,2.94,,-0.0192076864216087,0.0192076844603067,0.0572749893420556,0.0061680685093445,0.1181251693140665,-0.1181251701006482,8.557569800951365,-0.0387905938138245,,,,,0.1181251693140665,-0.1181251701006482,8.557569800951365,-0.0387905938138245,4.627411024116843,5.934670834233981,7.487907944332644
 STIEBEL ELTRON GmbH & Co KG,WPL 09 I(K)CS classic,WPL 09 ICS classic,04.09.2019,Outdoor Air/Water,Regulated,1.0,4.8,4.5,R410A,"2,200 kg",45.0,,45.0,,-7.0,-10.0,60.0,56.0,21.0,56.0,26.0,178.0,130.0,4.53,,,3980,,1753,,2.27,,-71.55406589842458,0.0117747353110399,0.0785521923669965,71.5127707655315,-68.12280466455196,-0.1029316593122329,7.822911391141565,68.27648018177362,,,,,-68.12280466455196,-0.1029316593122329,7.822911391141565,68.27648018177362,12.796186654009938,8.286880371047044,13.688435527764504
 STIEBEL ELTRON GmbH & Co KG,WPL 09 I(K)CS classic,WPL 09 IKCS classic,04.09.2019,Outdoor Air/Water,Regulated,1.0,4.7,4.5,R410A,"2,200 kg",45.0,,45.0,,-7.0,-10.0,60.0,56.0,21.0,56.0,26.0,175.0,128.0,4.46,,,3940,,1775,,2.22,,-14.474869203636068,0.0114048270890598,0.092875079544883,14.432440560192894,-71.45074962144736,-0.099833754144213,7.6484393184816,71.61099093201975,,,,,-71.45074962144736,-0.099833754144213,7.6484393184816,71.61099093201975,13.847398703304584,8.654231801429995,13.956140604194225
 STIEBEL ELTRON GmbH & Co KG,WPL 13/17 ACS classic,"WPL 13 ACS classic + HSBB 200, HSBB 200 S",19.01.2017,Outdoor Air/Water,Regulated,1.0,6.8,7.55,R410A,"2,000 kg",27.0,57,27.0,57,-7.0,-10.0,60.0,17.0,30.0,17.0,5.0,177.0,125.0,4.5,,,5100,,2589,,1.97,,161.9370928827826,0.0112656058877835,0.100968661531646,-161.98216963924165,163.37085579629522,-0.0917611866314493,7.218316155684211,-163.23236319174492,,,,,163.37085579629522,-0.0917611866314493,7.218316155684211,-163.23236319174492,12.435499454763574,5.437348263937202,9.816843608761591
 STIEBEL ELTRON GmbH & Co KG,WPL 25 AS,WPL 25 AS,11.08.2016,Outdoor Air/Water,Regulated,1.0,15.0,15.0,R410A,"4,700 kg",,54,,54,-5.0,-20.0,65.0,16.0,16.0,16.0,43.0,173.0,136.0,4.39,,,13800,,5679,,2.43,,212.7667371022934,0.0114140651212511,0.0476440707365019,-212.8153907507644,-71.4437667132984,-0.0754733042215006,6.759566543051906,71.61371748949891,,,,,-71.4437667132984,-0.0754733042215006,6.759566543051906,71.61371748949891,20.70251533203956,15.780206859965755,12.179400539600405
 STIEBEL ELTRON GmbH & Co KG,WPL-A 05/07 HK 230 Premium,WPL-A 05 HK 230 Premium,07.08.2020,Outdoor Air/Water,Regulated,1.0,5.5,5.6,R454C,"3,000 kg",,47,,47,-7.0,-10.0,75.0,12.0,10.0,12.0,10.0,185.0,151.0,4.7,,,4890,,1852,,2.64,,184.33523366933684,0.0109030339991949,0.0899603200684772,-184.3819489738225,212.84092544998765,-0.0857240400655924,7.431511453787621,-212.69871104032072,,,,,212.84092544998765,-0.0857240400655924,7.431511453787621,-212.69871104032072,24.66258910556313,20.270969284821472,10.531950551211555
 STIEBEL ELTRON GmbH & Co KG,WPL-A 05/07 HK 230 Premium,WPL-A 07 HK 230 Premium,07.08.2020,Outdoor Air/Water,Regulated,1.0,8.1,8.0,R454C,"3,000 kg",,47,,47,-7.0,-10.0,75.0,12.0,10.0,12.0,10.0,192.0,153.0,4.88,,,7040,,2897,,2.43,,212.76345260634443,0.008930581293731,0.1392551614954379,-212.8187358332796,212.85715727373844,-0.0835360493961642,7.338410527017352,-212.68161710475408,,,,,212.85715727373844,-0.0835360493961642,7.338410527017352,-212.68161710475408,11.788958541344048,6.589387383586434,10.869735812560862
 tecalor GmbH,TTF 27 HT,TTF 27 HT,04.09.2019,Brine/Water,On-Off,5.0,27.0,25.0,R134a,"6,000 kg",60.0,60,64.0,64,-10.0,-10.0,75.0,0.0,3.0,3.0,46.0,175.0,131.0,4.58,,,25300,,8268,,3.06,,-0.0145163390073976,0.0145163404514214,0.2876082095576093,0.0046895054137989,0.0885227636347039,-0.0885228258147587,7.302486403772544,-0.029861210125778,,,,,0.0885227636347039,-0.0885228258147587,7.302486403772544,-0.029861210125778,2.7154563314878857,4.071606417099433,5.621290822350918
 tecalor GmbH,TTF 33.5,TTF 33.5,15.03.2021,Brine/Water,Regulated,2.0,33.28,31.13,R410A,"3,900 kg",47.0,,47.0,,-10.0,-10.0,65.0,12.0,12.0,12.0,0.0,214.0,159.0,5.55,,,27540,,8771,,3.14,,-0.0128102718011399,0.0128102807915987,0.0297149300964992,-0.0402777738107508,0.1032965203911609,-0.1032965203914847,8.47806356736605,0.0043583774546458,,,,,0.1032965203911609,-0.1032965203914847,8.47806356736605,0.0043583774546458,43.67906139389744,45.515493835208225,3.77443656291068
 tecalor GmbH,TTF 35,TTF 35,01.11.2016,Brine/Water,Regulated,2.0,38.0,34.0,R410A,"10,000 kg",56.0,56,56.0,56,-10.0,-10.0,60.0,0.0,7.0,7.0,74.0,200.0,133.0,5.19,,,34500,,11695,,2.95,,-0.0187248556321874,0.0187248551651243,0.0696530590842984,0.0054668211065609,0.1343859777063498,-0.1343859954095718,9.268468736346758,-0.0982714672261037,,,,,0.1343859777063498,-0.1343859954095718,9.268468736346758,-0.0982714672261037,5.6395091330600415,10.035949995958758,18.550286986250235
 tecalor GmbH,TTF 40,TTF 40,,Brine/Water,On-Off,5.0,43.0,40.0,R410A,"10,000 kg",58.0,,58.0,,-10.0,-10.0,60.0,0.0,7.0,7.0,74.0,194.0,133.0,5.05,,,40500,,13500,,3.0,,-0.0194579213374605,0.0194579216787033,0.044793609890321,0.0062400947890231,0.1219919174662483,-0.1219919608106266,8.79735990150502,-0.0400389219908007,,,,,0.1219919174662483,-0.1219919608106266,8.79735990150502,-0.0400389219908007,4.7391500324680536,6.038955475888333,7.595754296652418
 tecalor GmbH,TTF 44.5,TTF 44.5,15.03.2021,Brine/Water,Regulated,2.0,38.06,35.62,R410A,"4,400 kg",48.0,,50.0,,-10.0,-10.0,65.0,7.0,7.0,7.0,0.0,218.0,168.0,5.65,,,31510,,9816,,3.21,,-0.0115196541089275,0.0115196539884087,0.0780584970187013,-0.0432452858277819,0.0942641169451134,-0.0942640969771319,8.257739277158196,0.0282397275563622,,,,,0.0942641169451134,-0.0942640969771319,8.257739277158196,0.0282397275563622,49.26447698376532,55.65747883158032,5.409337982923217
 tecalor GmbH,TTF 66,TTF 66,,Brine/Water,On-Off,5.0,67.0,62.0,R410A,"14,500 kg",59.0,63,59.0,63,-10.0,-10.0,60.0,0.0,7.0,7.0,99.0,190.0,131.0,4.95,,,62800,,21361,,2.94,,-0.0187963745247721,0.0187963740602958,0.0687720391033471,0.0059280490953965,0.1181251693140665,-0.1181251701006482,8.557569800951365,-0.0387905938138245,,,,,0.1181251693140665,-0.1181251701006482,8.557569800951365,-0.0387905938138245,4.900937477034583,5.569354933253894,7.48790794433264
 tecalor GmbH,TTL 20 A,TTL 20 A,10.04.2017,Outdoor Air/Water,Regulated,1.0,11.0,12.0,R410A,"4,700 kg",,54,,54,-5.0,-20.0,65.0,10.0,10.0,10.0,38.0,185.0,143.0,4.7,,,10600,,3941,,2.69,,-299.32448602826935,0.0144958652951565,0.0574917367477038,299.2981362004843,172.865908495688,-0.0849580364972622,7.358890939976777,-172.7140394504696,,,,,172.865908495688,-0.0849580364972622,7.358890939976777,-172.7140394504696,23.672215351315955,16.014588893494032,10.954512662188748
