Manufacturer,Model,Titel,Date,Type,Subtype,Group,Rated Power low T [kW],Rated Power medium T [kW],Refrigerant,Mass of Refrigerant [kg],SPL indoor low Power [dBA],SPL outdoor low Power [dBA],SPL indoor high Power [dBA],SPL outdoor high Power [dBA],Bivalence temperature [°C],Tolerance temperature [°C],Max. water heating temperature [°C],Poff [W],PTOS [W],PSB [W],PCKS [W],eta low T [%],eta medium T [%],SCOP,SEER low T,SEER medium T,P_th_h_ref [W],P_th_c_ref [W],P_el_h_ref [W],P_el_c_ref [W],COP_ref,EER_c_ref,p1_P_el_h [1/°C],p2_P_el_h [1/°C],p3_P_el_h [-],p4_P_el_h [1/°C],p1_COP [-],p2_COP [-],p3_COP [-],p4_COP [-],p1_P_el_c [1/°C],p2_P_el_c [1/°C],p3_P_el_c [-],p4_P_el_c [1/°C],p1_EER [-],p2_EER [-],p3_EER [-],p4_EER [-],MAPE P_th,MAPE P_el,MAPE COP
 DAIKIN Europe N.V.,DAIKIN ALTHERMA 3 R F 8KW (230L) /A,ERGA08DVA / EHVH08S23D6V(G),27.03.2018,Outdoor Air/Water,Regulated,1.0,8.0,7.5,R32,"1,500 kg",42.0,62,42.0,62,-8.0,-10.0,35.0,10.0,10.0,10.0,0.0,179.0,128.0,4.56,,,5900,,2980,,1.98,,112.8177038189788,0.0086258834847366,0.1756586406095111,-112.871621158819,-121.42053031628257,-0.1049818016524528,7.758648218706221,121.59163065782316,,,,,-121.42053031628257,-0.1049818016524528,7.758648218706221,121.59163065782316,14.579362709160801,5.4850218702846085,15.566308432508972
 DAIKIN Europe N.V.,DAIKIN ALTHERMA 3 R F+W 14KW (180L),ERLA14DV3 / EBBH16D(6V/9W),10.11.2021,Outdoor Air/Water,Regulated,1.0,11.0,11.0,R32,"3,800 kg",44.0,62.0,44.0,62.0,-7.0,-10.0,35.0,23.0,23.0,23.0,0.0,181.0,126.0,4.6,5.86,,8500,12900.0,4722,4358.0,1.8,2.96,-71.55556984247205,0.0144115247979787,-0.0818695996997552,71.51138809963831,230.6309391874129,-0.1104486025716888,8.064101666118694,-230.4491337056141,70.6474341406762,-0.0052781669538036,-1.442304458429517,-70.5800517681362,230.6309391874129,-0.1104486025716888,8.064101666118694,-230.4491337056141,11.491689328829784,5.756952719392952,13.619114311718658
 DAIKIN Europe N.V.,DAIKIN ALTHERMA 3 R F+W 16KW (180L),ERLA16DV3 / EBBH16D(6V/9W),10.11.2021,Outdoor Air/Water,Regulated,1.0,12.0,12.0,R32,"3,800 kg",44.0,62.0,44.0,62.0,-8.0,-10.0,35.0,23.0,23.0,23.0,0.0,181.0,130.0,4.61,5.76,,9400,13600.0,4821,4722.0,1.95,2.88,166.50713860465189,0.0103260878194496,0.1082339998829233,-166.55748604176,177.32880482622443,-0.1048745765537283,7.884785379517585,-177.13729695060366,70.6478206423102,-0.0055726830018706,-1.4601932655946568,-70.57966526650232,177.32880482622443,-0.1048745765537283,7.884785379517585,-177.13729695060366,21.51352893239105,12.119476976277403,15.111894537166055
 DAIKIN Europe N.V.,DAIKIN ALTHERMA 3 WS 6KW,EWSAH06DA9W,14.02.2022,Water/Water,Regulated,3.0,6.1,5.6,R32,"1,700 kg",39.0,,39.0,,-10.0,-10.0,35.0,15.0,24.0,15.0,0.0,252.0,158.0,6.49,6.98,,4830,5810.0,1380,1380.0,3.5,4.21,-0.0154682340088771,0.0154682273460556,0.1052056961189992,-0.0324941162220055,0.1718516542791759,-0.1718516542783823,9.954228949863351,-0.0700985362390453,,,,,0.1718516542791759,-0.1718516542783823,9.954228949863351,-0.0700985362390453,64.74143197858245,62.84183423658297,19.512955909074616
 DAIKIN Europe N.V.,DAIKIN ALTHERMA GEO,EGSQH10S18A9W,17.02.2017,Brine/Water,Regulated,2.0,10.4,8.72,R410A,"1,800 kg",46.0,,46.0,,-9.0,-10.0,35.0,20.0,37.0,20.0,0.0,194.0,139.0,5.06,,,7760,,2667,,2.91,,-0.0101333486235214,0.0101333487963887,0.1629310193774027,-0.0414248431767046,0.1053869119613886,-0.1053868908306093,8.189121417048277,-0.0093420158032776,,,,,0.1053869119613886,-0.1053868908306093,8.189121417048277,-0.0093420158032776,66.65432165220308,64.07302429792354,4.16145403918479
 DAIKIN Europe N.V.,DAIKIN ALTHERMA H ECH2O / ROTEX HPSU MONOBLOC COMPACT 5KW (300L),EBLQ05C2V3 / EKHWMX300C,,Outdoor Air/Water,Regulated,1.0,4.4,4.2,R410A,"1,300 kg",42.0,61,42.0,61,-10.0,-10.0,35.0,8.0,6.0,8.0,0.0,172.0,125.0,4.39,,,3600,,1818,,1.98,,-43.126724417556815,0.0107119509567937,0.0600894171419178,43.0753442873902,186.3265297288508,-0.0921222370870542,7.159544179154753,-186.16912750520825,,,,,186.3265297288508,-0.0921222370870542,7.159544179154753,-186.16912750520825,17.327613926563178,14.747325530728522,11.775129562663796
 DAIKIN Europe N.V.,DAIKIN ALTHERMA H ECH2O / ROTEX HPSU MONOBLOC COMPACT 7KW (500L),EBLQ07C2V3 / EKHWMX500C,,Outdoor Air/Water,Regulated,1.0,7.0,6.1,R410A,"1,450 kg",42.0,62,42.0,62,-7.0,-10.0,35.0,8.0,8.0,8.0,0.0,163.0,125.0,4.14,,,5500,,2778,,1.98,,-71.56371931590179,0.0056857305558375,0.2671712000832731,71.50336657331528,176.710114695892,-0.0757593914669276,6.394507723738648,-176.5516225927268,,,,,176.710114695892,-0.0757593914669276,6.394507723738648,-176.5516225927268,18.900900264985943,16.937729552313634,11.620117750736156
 DAIKIN Europe N.V.,DAIKIN ALTHERMA HT SPLIT 11kW,ERRQ011AV1 / EKHBRD011ADV17,12.06.2018,Outdoor Air/Water,Regulated,1.0,11.0,10.5,R410A,"4,500 kg",59.0,68,59.0,68,-7.0,-10.0,35.0,55.0,59.0,55.0,55.0,105.0,115.0,2.7,,,9360,,4160,,2.25,,241.1944893190783,-0.0037290038627491,0.7757685798402982,-241.2529317437879,-0.3863936726924066,0.0111321073928102,2.534361690273045,0.5176003770859552,,,,,-0.3863936726924066,0.0111321073928102,2.534361690273045,0.5176003770859552,15.84875455864168,13.72648088461984,4.770797193610962
 DAIKIN Europe N.V.,DAIKIN ALTHERMA HT SPLIT 14kW,ERRQ014AV1 / EKHBRD014ADV17,12.06.2018,Outdoor Air/Water,Regulated,1.0,14.0,13.0,R410A,"4,500 kg",60.0,69,60.0,69,-5.0,-10.0,35.0,55.0,59.0,55.0,55.0,110.0,116.0,2.81,,,11400,,5302,,2.15,,70.60521205742754,0.0038036494761323,0.447202839655604,-70.65237130666404,-213.6051776241385,-0.0005676550517876,3.0121235803306963,213.7222891998097,,,,,-213.6051776241385,-0.0005676550517876,3.0121235803306963,213.7222891998097,17.27587690206905,17.4223627377001,5.8138463205997235
 DAIKIN Europe N.V.,DAIKIN ALTHERMA HT SPLIT 16kW,ERRQ016AV1 / EKHBRD016ADV17,12.06.2018,Outdoor Air/Water,Regulated,1.0,16.0,15.0,R410A,"4,500 kg",60.0,71,60.0,71,-5.0,-10.0,35.0,55.0,59.0,55.0,55.0,112.0,117.0,2.88,,,12100,,5735,,2.11,,212.7682711450347,0.0040954541398245,0.4465513677420148,-212.81378226199368,70.68055644265108,0.0005448864873809,3.0021359643905297,-70.55902029043727,,,,,70.68055644265108,0.0005448864873809,3.0021359643905297,-70.55902029043727,16.305809088437037,17.28085337848446,6.559806965399302
 DAIKIN Europe N.V.,DAIKIN ALTHERMA LT MONOBLOC 11kW,EBLQ011C3V3,,Outdoor Air/Water,Regulated,1.0,11.0,10.0,R410A,"3,400 kg",,64,,64,-5.0,-10.0,35.0,55.0,57.0,55.0,55.0,156.0,120.0,3.98,,,8800,,4422,,1.99,,-99.99153534190124,0.0099270547032561,0.097445933397656,99.94034661511452,283.9418175677606,-0.1036087155929023,7.685172210705868,-283.7496386014603,,,,,283.9418175677606,-0.1036087155929023,7.685172210705868,-283.7496386014603,10.240929180679828,19.041266778456848,18.59366087278199
 DAIKIN Europe N.V.,DAIKIN ALTHERMA LT SPLIT / ROTEX HPSU BI-BLOC 16 KW (3PH),ERLQ016CW1 / EHBH16CB *,31.03.2017,Outdoor Air/Water,Regulated,1.0,16.0,13.9,R410A,"3,400 kg",44.0,66,44.0,66,-4.0,-10.0,35.0,55.0,57.0,55.0,55.0,149.0,119.0,3.8,,,12200,,6854,,1.78,,-205.88706846321168,0.0090980800247373,0.1248730999332809,205.833903872987,124.03254841310763,-0.0961905820057727,7.243506122890539,-123.81917843248418,,,,,124.03254841310763,-0.0961905820057727,7.243506122890539,-123.81917843248418,31.72701666445209,38.94199620668877,18.613560436602906
 DAIKIN Europe N.V.,Daikin Altherma LT split integrated solar 11 kW 1ph  / ROTEX HPSU Compact H (BIV) 11 kW 1ph,ERLQ011C*V3 / EHSH16P50B,30.03.2017,Outdoor Air/Water,Regulated,1.0,11.2,10.0,R410A,"3,400 kg",39.0,64,39.0,64,-5.0,-10.0,35.0,50.0,105.0,50.0,0.0,156.0,125.0,3.98,,,9000,,4639,,1.94,,212.76617690881608,0.0112839305553452,0.0301669393630725,-212.81596238806333,-108.97460293122175,-0.1056285906412101,7.747799069138834,109.1633697207607,,,,,-108.97460293122175,-0.1056285906412101,7.747799069138834,109.1633697207607,9.86774813050354,20.06259225087126,18.435371524209884
 DAIKIN Europe N.V.,Daikin Altherma LT split integrated solar 14 kW 3ph / ROTEX HPSU Compact (BIV) 14 kW 3ph,ERLQ014C*W1 / EHSX16P50B,21.03.2017,Outdoor Air/Water,Regulated,1.0,14.5,12.0,R410A,"3,400 kg",39.0,64,39.0,64,-5.0,-10.0,35.0,50.0,105.0,50.0,0.0,153.0,130.0,3.9,,,10900,,5677,,1.92,,-71.55767734679293,0.0113797434873652,0.0301069097374805,71.5092699982443,-75.74441136643611,-0.0630482312134296,5.960650298716338,75.91523499610837,,,,,-75.74441136643611,-0.0630482312134296,5.960650298716338,75.91523499610837,14.84420205971273,11.66472108691119,8.425564227106983
 DAIKIN Europe N.V.,Daikin Altherma LT split integrated solar 16 kW 3ph / ROTEX HPSU Compact H (BIV) 16 kW 3ph,ERLQ016C*W1 / EHSH16P50B,30.03.2017,Outdoor Air/Water,Regulated,1.0,16.0,14.0,R410A,"3,400 kg",39.0,66,39.0,66,-4.0,-10.0,35.0,50.0,105.0,50.0,0.0,149.0,125.0,3.8,,,12600,,6811,,1.85,,-43.12767050728884,0.0089353157920026,0.1335721357275732,43.074399255415415,212.8790740463704,-0.0899614603323581,7.050489322297171,-212.6585209648228,,,,,212.8790740463704,-0.0899614603323581,7.050489322297171,-212.6585209648228,31.912520674174935,40.12056587037431,18.450338019602153
 DAIKIN Europe N.V.,DAIKIN ALTHERMA R HYBRID 5KW,EVLQ05CV3 / EHYHBH05AV32 + EHYKOMB33AA(2/3),12.04.2019,Outdoor Air/Water,Regulated,1.0,4.4,3.7,R410A,"1,500 kg",42.0,61,42.0,61,-10.0,-10.0,35.0,13.0,6.0,13.0,0.0,177.0,128.0,4.5,,,3300,,1387,,2.38,,-554.9200971367331,-0.0049082136320787,0.7608344448883081,554.8430602422283,212.857449078696,-0.0680559127007746,6.26009921555946,-212.6772843561109,,,,,212.857449078696,-0.0680559127007746,6.26009921555946,-212.6772843561109,22.156817544965804,22.58329147828367,13.974304889813702
 DAIKIN Europe N.V.,DAIKIN ALTHERMA R HYBRID 8KW,EVLQ08CV3 / EHYHBH08AV32 + EHYKOMB33AA(2/3),12.04.2019,Outdoor Air/Water,Regulated,1.0,7.4,6.4,R410A,"1,600 kg",42.0,62,42.0,62,-8.0,-10.0,35.0,13.0,6.0,13.0,0.0,167.0,127.0,4.25,,,5700,,2395,,2.38,,-213.72849345067564,-0.0034095148631564,0.7008341992078297,213.65416502138373,283.92126341986204,-0.0663111714950515,6.096039415478934,-283.7606467323171,,,,,283.92126341986204,-0.0663111714950515,6.096039415478934,-283.7606467323171,26.434333048235537,27.326999919347827,13.988658492360841
 DAIKIN Europe N.V.,ROTEX HPSU MONOBLOC COMPACT 14KW (500L),RBLQ014CW1 / RKHW16MX500C,,Outdoor Air/Water,Regulated,1.0,15.0,13.0,R410A,"3,400 kg",40.0,64,40.0,64,-5.0,-10.0,35.0,55.0,57.0,55.0,55.0,153.0,123.0,3.9,,,10000,,5682,,1.76,,-96.4586674119616,0.0110289804058586,0.037020397090151,96.40913831904167,-18.559643706983973,-0.0738639015596665,6.302689867743799,18.7018242068084,,,,,-18.559643706983973,-0.0738639015596665,6.302689867743799,18.7018242068084,11.817583997647365,10.05815642183121,7.852320217564776
 DAIKIN Europe N.V.,ROTEX HPSU MONOBLOC COMPACT 16KW (500L),RBLQ016CW1 / RKHW16MX500C,,Outdoor Air/Water,Regulated,1.0,16.0,14.0,R410A,"3,400 kg",40.0,64,40.0,64,-5.0,-10.0,35.0,55.0,57.0,55.0,55.0,149.0,119.0,3.8,,,12200,,6854,,1.78,,-71.56011119714408,0.0091094501314234,0.1239348938781595,71.5068826372929,124.03254841310763,-0.0961905820057727,7.243506122890539,-123.81917843248418,,,,,124.03254841310763,-0.0961905820057727,7.243506122890539,-123.81917843248418,31.86615824486517,39.08723727129663,18.613560436602906
 ECL Nexus ,ECL-PAC-04,ECLPAC04X.ST / ECLPAC04X.KA,20.05.2022,Outdoor Air/Water,Regulated,1.0,4.0,4.0,R32,"1,500 kg",,57,,57,-7.0,-20.0,60.0,19.0,22.0,19.0,0.0,179.0,135.0,4.56,4.28,,3900,4330.0,1726,1370.0,2.26,3.16,103.21887046166832,0.0124491436527689,0.0093226044859942,-103.26612722752904,-67.02062927025213,-0.0784064651240752,6.73823262862244,67.15334061176483,61.76019380949435,-0.0166354673598283,-0.9395675321831604,-61.70275491935628,-67.02062927025213,-0.0784064651240752,6.73823262862244,67.15334061176483,28.06344523200687,23.50922863705313,7.810809757501441
 Ecoforest Geotermia S.L.,ecoAIR 1-7 PRO,ECOAIR 1-7 PRO,17.11.2020,Outdoor Air/Water,Regulated,1.0,4.1,4.0,R290,"0,750 kg",,58,,58,-7.0,-10.0,75.0,0.0,10.0,8.0,10.0,175.0,135.0,4.45,,,3470,,1570,,2.21,,-71.55957478466678,0.0102319210482724,0.0920265259325226,71.50741264890834,-284.68695479236965,-0.0668544308565054,6.2504127846213695,284.79665749832105,,,,,-284.68695479236965,-0.0668544308565054,6.2504127846213695,284.79665749832105,10.715695795411166,7.472394140198574,5.084656329013144
 Ecoforest Geotermia S.L.,ecoAIR 1-9 PRO,ecoAIR 1-9 PRO,03.06.2021,Outdoor Air/Water,Regulated,1.0,5.0,5.0,R290,"0,850 kg",0.0,57,0.0,57,-10.0,-10.0,70.0,0.0,9.0,8.0,9.0,180.0,142.0,4.57,,,4400,,1872,,2.35,,-71.55042371430352,0.0146764612365411,-0.0166083964576054,71.51637342433432,-106.99872758003838,-0.0733257820200845,6.729294840755266,107.13337852978648,,,,,-106.99872758003838,-0.0733257820200845,6.729294840755266,107.13337852978648,31.661134634291507,29.030460392598435,5.836069615562057
 Ecoforest Geotermia S.L.,ecoAIR 3-18 PRO,ecoAIR 3-18 PRO,22.11.2021,Outdoor Air/Water,Regulated,1.0,10.6,10.5,R290,"1,370 kg",0.0,57,0.0,57,-10.0,-10.0,70.0,0.0,9.0,8.0,9.0,175.0,138.0,4.46,,,9260,,3858,,2.4,,-71.55363143302932,0.01225223782623,0.0609720696459739,71.5132068852335,30.72705202845067,-0.0681360500108754,6.5199175370580535,-30.56712081627002,,,,,30.72705202845067,-0.0681360500108754,6.5199175370580535,-30.56712081627002,22.039870273129402,14.006930041707953,11.414991068255514
 Ecoforest Geotermia S.L.,ecoAIR EVI 4-20 kW,ECOAIR EVI 4-20kW,06.01.2020,Outdoor Air/Water,Regulated,1.0,13.23,13.88,R410A,"3,500 kg",0.0,63,0.0,63,-10.0,-10.0,60.0,28.0,24.0,24.0,24.0,180.0,151.0,4.57,,,11950,,4492,,2.66,,-145.48304289110078,0.008981760426803,0.169685157698831,145.432655040383,141.7717980890768,-0.0580947409205188,6.300812271624364,-141.6153854649401,,,,,141.7717980890768,-0.0580947409205188,6.300812271624364,-141.6153854649401,11.6029330331426,16.500314272575498,10.765079510490708
 Ecoforest Geotermia S.L.,ECOGEO B/C 1 1-9kW,ecoGEO B1 1-9kW,28.05.2019,Brine/Water,Regulated,2.0,11.0,10.9,R410A,"0,900 kg",54.0,,54.0,,-10.0,-10.0,60.0,11.0,11.0,11.0,0.0,186.0,134.0,4.84,,,9030,,3320,,2.72,,-0.0134731234666643,0.0134731231687864,0.033684742810866,-0.0374459376508694,0.0948478145302858,-0.0948479534931908,7.512929716722471,-0.0092946416891775,,,,,0.0948478145302858,-0.0948479534931908,7.512929716722471,-0.0092946416891775,100.22921604718735,93.86958755103895,8.624356711815032
 Ecoforest Geotermia S.L.,ECOGEO B/C 1 3-12kW,ecoGEO B1 3-12kW,28.05.2019,Brine/Water,Regulated,2.0,15.0,14.55,R410A,"1,000 kg",54.0,,54.0,,-10.0,-10.0,60.0,11.0,11.0,11.0,0.0,190.0,138.0,4.95,,,11870,,4224,,2.81,,-0.0144928860145371,0.0144928855955855,0.0188955526230436,-0.0315649820788558,0.0941711782148124,-0.0941712373471582,7.608398356823367,-0.0007177266997219,,,,,0.0941711782148124,-0.0941712373471582,7.608398356823367,-0.0007177266997219,89.76207951415486,88.0298225590094,5.197809676284142
 Ecoforest Geotermia S.L.,ECOGEO B/C 1 5-22kW,ecoGEO B1 5-22kW,28.05.2019,Brine/Water,Regulated,2.0,23.0,20.0,R410A,"1,400 kg",42.0,,42.0,,-10.0,-10.0,60.0,7.0,7.0,6.0,0.0,181.0,142.0,4.71,,,17410,,6521,,2.67,,-0.0034385965378352,0.0034385948253241,0.4227879172130847,-0.0571408349411016,0.0592307554284267,-0.0592303778508709,6.137863968456521,0.0594800233272915,,,,,0.0592307554284267,-0.0592303778508709,6.137863968456521,0.0594800233272915,111.17785541962569,132.0279646926699,12.42185606244518
 Ecoforest Geotermia S.L.,ecoGEO B3/C3 1-6 PRO,ecoGEO B3 1-6 PRO,17.11.2020,Brine/Water,Regulated,2.0,6.0,5.5,R290,"0,150 kg",44.0,,44.0,,-10.0,-10.0,70.0,11.0,11.0,11.0,0.0,178.0,136.0,4.64,,,4450,,1540,,2.89,,-0.0048951104408032,0.0048951049631143,0.3954184705638606,-0.0489704739264886,0.0791568740053803,-0.079156872610362,6.948686961522259,0.0192372951611353,,,,,0.0791568740053803,-0.079156872610362,6.948686961522259,0.0192372951611353,90.4281965336183,95.95448141433661,4.2170164652493884
 ELCO GmbH,AEROTOP G08.2 ,AEROTOP G08.2 INOX ,27.07.2020,Outdoor Air/Water,Regulated,1.0,9.19,9.2,R410A,"4,270 kg",,55,,55,-7.0,-10.0,60.0,24.0,25.0,24.0,24.0,193.0,143.0,4.9,,,8140,,3296,,2.47,,155.90389988942155,0.0139914484987276,-0.0577342372418672,-155.94840489709168,-31.48116323063396,-0.0964718993187947,7.873953733110151,31.62145400742565,,,,,-31.48116323063396,-0.0964718993187947,7.873953733110151,31.62145400742565,14.19576655608103,9.595679193592762,7.931636279250419
 ELCO GmbH,AEROTOP G14.2 INOX / INOX OPTIC,AEROTOP G14.2 INOX / INOX OPTIC,26.06.2019,Outdoor Air/Water,Regulated,1.0,12.5,12.43,R410A,"4,270 kg",,57,,57,-7.0,-20.0,60.0,24.0,24.0,24.0,24.0,197.0,151.0,5.01,,,11000,,4215,,2.61,,287.4526150448233,0.0108525501044198,0.078099452472735,-287.5026691164625,-141.9823297779488,-0.0868760681298983,7.515483988581352,142.11829573202655,,,,,-141.9823297779488,-0.0868760681298983,7.515483988581352,142.11829573202655,10.625572786926053,7.946684379186597,8.407268848270437
 ELCO GmbH,AEROTOP M 048,AEROTOP M 048,30.03.2021,Outdoor Air/Water,Regulated,1.0,31.0,7.0,R32,"14,000 kg",,84,,64,-10.0,-10.0,54.0,30.0,404.0,30.0,0.0,154.0,129.0,3.91,,,5900,,2950,,2.0,,-213.8275638990281,-0.1228379065360205,5.841494851688754,213.58857695976587,212.8297815086057,-0.0520915024686054,5.38120133252051,-212.70279783623064,,,,,212.8297815086057,-0.0520915024686054,5.38120133252051,-212.70279783623064,216.24215702369423,210.01872748293084,4.948123473758992
 ELCO GmbH,AEROTOP S.12.2 / S12.2_2-part,AEROTOP S12.2,17.12.2019,Outdoor Air/Water,Regulated,1.0,13.31,12.62,R410A,"4,400 kg",49.0,51,49.0,51,-7.0,-10.0,65.0,28.0,28.0,28.0,28.0,184.0,133.0,4.76,,,11160,,4873,,2.29,,298.066122741578,0.012491646803884,0.0239263193250958,-298.11065157572995,-71.4642311998713,-0.0996968649742019,7.708661681676203,71.59806436068696,,,,,-71.4642311998713,-0.0996968649742019,7.708661681676203,71.59806436068696,13.071039968041273,8.513784214071377,11.305757757637817
 ELCO GmbH,AEROTOP S05.2,AEROTOP S05.2,28.07.2020,Outdoor Air/Water,Regulated,1.0,5.97,4.75,R410A,"4,000 kg",44.0,,44.0,,-7.0,-20.0,63.0,35.0,36.0,15.0,0.0,180.0,129.0,4.58,,,4200,,1900,,2.21,,298.06393704700326,0.0098987675560391,0.1209946232936428,-298.11287517592353,70.65168000048851,-0.0659159087541358,6.221960654084667,-70.60556747602841,,,,,70.65168000048851,-0.0659159087541358,6.221960654084667,-70.60556747602841,24.771346582436923,21.867253512653907,12.484817414191085
 ELCO GmbH,AEROTOP S07.2,AEROTOP S07.2,28.07.2020,Outdoor Air/Water,Regulated,1.0,7.9,7.42,R410A,"4,000 kg",44.0,,44.0,,-7.0,-20.0,63.0,35.0,36.0,15.0,0.0,199.0,142.0,5.06,,,6560,,2573,,2.55,,-43.12489295263181,0.0088044142286089,0.1829913141316732,43.07711393893505,-204.7298109798079,-0.104611563281527,8.115338581758966,204.84464922835247,,,,,-204.7298109798079,-0.104611563281527,8.115338581758966,204.84464922835247,11.115503785503044,7.603029248649067,10.609480244656748
 ELCO GmbH,AEROTOP S09.2 ,AEROTOP S09.2,28.07.2020,Outdoor Air/Water,Regulated,1.0,9.91,8.2,R410A,"4,000 kg",45.0,,45.0,,-7.0,-20.0,63.0,35.0,36.0,15.0,0.0,196.0,134.0,4.99,,,7250,,3237,,2.24,,-386.3799407458438,0.0084638356181473,0.1990755318789217,386.3280848280948,-213.6059027828842,-0.1071629253210215,8.041646069573172,213.7372114917855,,,,,-213.6059027828842,-0.1071629253210215,8.041646069573172,213.7372114917855,21.663255644994912,14.795937242341456,10.777261339645419
 ELCO GmbH,AEROTOP S15.2 / S15.2_2-part,AEROTOP S15.2,17.12.2019,Outdoor Air/Water,Regulated,1.0,15.65,15.03,R410A,"4,400 kg",49.0,51,49.0,51,-7.0,-10.0,65.0,28.0,28.0,28.0,28.0,175.0,134.0,4.45,,,13300,,5733,,2.32,,-61.85876175091734,0.0106848762987249,0.1124740967189363,61.81323188554883,-106.97809150563528,-0.0875259021875821,7.1648368969296925,107.11919625485368,,,,,-106.97809150563528,-0.0875259021875821,7.1648368969296925,107.11919625485368,19.957854262948175,14.526192540923901,12.18691928623599
 ELCO GmbH,AEROTOP SG10 INOX / INOX OPTIC,AEROTOP SG10 INOX / INOX OPTIC,05.07.2021,Outdoor Air/Water,Regulated,1.0,9.21,9.2,R410A,"4,270 kg",,53,,53,-7.0,-10.0,60.0,24.0,24.0,24.0,24.0,193.0,141.0,4.91,,,8029,,3359,,2.39,,-412.7450011724809,0.0144197372540423,-0.0784895290191122,412.7008594909189,-1.495317299182951,-0.1039419135701158,8.134941362172334,1.637977845651409,,,,,-1.495317299182951,-0.1039419135701158,8.134941362172334,1.637977845651409,14.060495773060007,9.192650187635635,9.22743034787019
 ELCO GmbH,AEROTOP SG12 INOX / INOX OPTIC,AEROTOP SG12 INOX / INOX OPTIC,05.07.2021,Outdoor Air/Water,Regulated,1.0,12.63,12.58,R410A,"4,270 kg",,54,,54,-7.0,-10.0,60.0,24.0,24.0,24.0,24.0,206.0,150.0,5.23,,,11150,,4223,,2.64,,-143.49798197973556,0.0146724129862951,-0.0867082592401123,143.45548248572277,-0.4033671982966069,-0.1187576285974295,8.919155305448784,0.5110495639937511,,,,,-0.4033671982966069,-0.1187576285974295,8.919155305448784,0.5110495639937511,9.80942956500745,8.057533453499236,9.825280255322259
 ELCO GmbH,AEROTOP SG14 INOX / INOX OPTIC,AEROTOP SG14 INOX / INOX OPTIC,05.07.2021,Outdoor Air/Water,Regulated,1.0,15.7,15.15,R410A,"4,270 kg",,58,,58,-7.0,-20.0,60.0,24.0,24.0,24.0,24.0,183.0,151.0,4.64,,,13400,,5630,,2.38,,-43.12888260681913,0.0076854813455575,0.2009075559859085,43.073216126027525,-57.83213333820709,-0.061123478179097,6.418577721165075,58.01857386476601,,,,,-57.83213333820709,-0.061123478179097,6.418577721165075,58.01857386476601,30.127479133418916,27.28883319740439,6.8348775108163125
 ELCO GmbH,AEROTOP SX10,AEROTOP SX10,04.08.2022,Outdoor Air/Water,Regulated,1.0,10.8,10.51,R32,"2,600 kg",,51,,51,-7.0,-20.0,60.0,21.0,15.0,21.0,0.0,189.0,156.0,4.81,,,9300,,3796,,2.45,,183.8958516727852,0.0134150252248162,-0.0251176480475544,-183.9406221575203,160.10244215252482,-0.0820128015147372,7.379850708681977,-159.95405951950735,,,,,160.10244215252482,-0.0820128015147372,7.379850708681977,-159.95405951950735,7.254893240999026,4.640806533781754,7.533254905853308
 ELCO GmbH,AEROTOP SX7,AEROTOP SX7,04.08.2022,Outdoor Air/Water,Regulated,1.0,7.82,7.3,R32,"2,100 kg",,47,,47,-7.0,-20.0,60.0,21.0,15.0,21.0,0.0,200.0,152.0,5.06,,,6460,,2737,,2.36,,-71.55714554648232,0.0114855659548723,0.046407462961985,71.50979221625977,-80.339778863964,-0.0920503626724878,7.724602960477735,80.49074399978716,,,,,-80.339778863964,-0.0920503626724878,7.724602960477735,80.49074399978716,9.541356292907544,7.404078181957054,8.285473028972923
 ELCO GmbH,AEROTOP T20 / T20R,AEROTOP T20,04.05.2019,Outdoor Air/Water,On-Off,4.0,14.0,14.0,R407c,"6,000 kg",59.0,58,59.0,58,-10.0,-20.0,57.0,0.0,10.0,10.0,80.0,139.0,107.0,3.56,,,12810,,6437,,1.99,,77.25489456410016,0.0096527997711504,0.5366704847661392,-77.24998726600468,-89.25665858183257,-0.0526973161482229,5.024571316435053,89.33327240498559,,,,,-89.25665858183257,-0.0526973161482229,5.024571316435053,89.33327240498559,6.222221534361469,1.9043178439122286,5.101854001167189
 ELCO GmbH,AEROTOP T26 / T26R,AEROTOP T26,04.05.2019,Outdoor Air/Water,On-Off,4.0,19.0,19.0,R407c,"7,400 kg",59.0,70,59.0,70,-10.0,-20.0,57.0,0.0,10.0,10.0,80.0,144.0,113.0,3.68,,,18650,,9325,,2.0,,141.69666308789033,0.0133968131729417,0.3183194348187868,-141.69530748695558,212.82225815105065,-0.0614074385558565,5.557474515738363,-212.7112839684324,,,,,212.82225815105065,-0.0614074385558565,5.557474515738363,-212.7112839684324,9.234063879183259,1.77304510998104,8.217636705651236
 ELCO GmbH,AEROTOP T32 / T32R,AEROTOP T32,04.05.2019,Outdoor Air/Water,On-Off,4.0,23.0,23.0,R407c,"9,200 kg",63.0,67,63.0,67,-10.0,-20.0,57.0,0.0,10.0,10.0,80.0,152.0,114.0,3.89,,,22950,,11418,,2.01,,-57.56093343635202,0.0153849311766121,0.2241514244636522,57.56378982104494,-123.91534612957304,-0.0706238738912298,6.009526579275027,124.024465901141,,,,,-123.91534612957304,-0.0706238738912298,6.009526579275027,124.024465901141,9.622515413903827,2.009770498764856,8.300629493383392
