Manufacturer,Model,Type,Modus,Refrigerant,Mass of Refrigerant [kg],Date,SPL indoor [dBA],SPL outdoor [dBA],Prated [kW],PSB [W],Guideline,Climate,P_el_n [W],P_th_max [W],k1,k2,k3,k4,k5,k6,k7,k8,k9,Group
Nibe,NIBE AMS 10-8 + HK200S-12,Outdoor Air/Water,Inverter,R410a,2.6,2018-09-20,35.0,,7.0,15,EN 14825,average,3247,6300,-0.03759009247015874,-0.008286589265975775,1.1068930199944143,-0.03263251278314958,0.007983830089151468,0.23890730057668952,0.13313339071766567,-0.07706016310057932,6.500476239343663,1.0
Nibe,NIBE AMS10-8 + BA-SVM 10-200/12,Outdoor Air/Water,Inverter,R410a,2.6,2018-09-20,35.0,,7.0,15,EN 14825,average,3247,6300,-0.03759009247015874,-0.008286589265975775,1.1068930199944143,-0.03263251278314958,0.007983830089151468,0.23890730057668952,0.13313339071766567,-0.07706016310057932,6.500476239343663,1.0
Nibe,NIBE AMS 20-6 + HBS 20-6,Outdoor Air/Water,Inverter,R32,1.3,2020-12-08,35.0,54.0,5.6,11,EN 14825,average,2585,5040,-0.030081655285419312,0.003621137776173214,0.5366127539835559,-0.024649615889639043,0.01556795956318365,-0.13088655984408767,0.16306377005549033,-0.11402073867731241,8.352489696838404,1.0
Ochsner,TERRA 11 HPLA,Brine/Water,On-Off,R410a,2.03,2020-09-30,48.0,0.0,9.0,9,EN 14825,average,3098,9200,0.005237308255299028,-5.180267272240609e-06,1.0361953081495088,-0.015232275287878988,2.463933894029848e-05,0.8955905718115071,0.08423385232763862,-0.0005184372582038657,3.5130027757617137,5.0
Ochsner,"TERRA 11 HPLB, average",Brine/Water,On-Off,R410a,2.13,2020-09-30,50.0,0.0,9.0,10,EN 14825,average,3135,9500,-0.0015516365419097628,-0.005130674232797556,1.2515344967593611,0.0064209827576470644,0.019175930510731434,0.0611370429375366,-0.04233246050534758,-0.125456980369298,8.9882473119633,5.0
Ochsner,"TERRA 14 HPLA, AVERAGAE CLIMATE",Brine/Water,On-Off,R410a,2.3,2020-09-30,50.0,,12.0,9,EN 14825,average,3805,12100,0.005516578239321097,0.0017201387507079996,0.9525539421439775,-0.017302431014504342,-0.006106742506418609,1.1813516323099338,0.08876788547155838,0.028957909017447568,2.3526342776186406,5.0
Ochsner,"TERRA 14 HPLB, average climate",Brine/Water,On-Off,R410a,2.25,2020-09-30,50.0,0.0,12.0,10,EN 14825,average,3811,11700,-0.0021927872979629077,-0.006834593091076331,1.334494234928953,0.005945442611618402,0.017591598303319283,0.14048605665206407,-0.041261613199906004,-0.12050399968812847,8.801740635479097,5.0
Ochsner,"TERRA 18 HPLA, average climate",Brine/Water,On-Off,R410a,2.35,2020-09-30,53.0,0.0,16.0,9,EN 14825,average,5282,15900,-0.0012934395719305823,-0.0042882799886663076,1.2101127637411082,0.005879991300094392,0.017946717334976825,0.11929355711041263,-0.03646346470938649,-0.1098690944375526,8.245622247773843,5.0
Ochsner,"TERRA 6 HPLA , average climate",Brine/Water,On-Off,R410a,1.4,2020-09-30,43.0,0.0,5.0,9,EN 14825,average,1803,5300,-0.0021319007718900974,-0.006176518968840874,1.2999681715028772,0.006681667268500633,0.020275468790583798,0.005795784562019919,-0.046822003962452556,-0.13785179333406458,9.470032409726983,5.0
Ochsner,"TERRA 6 HPLB, AVERAGE CLIMATE",Brine/Water,On-Off,R410a,1.4,2020-09-30,46.0,,5.0,10,EN 14825,average,1738,5300,-0.0023059269171024233,-0.006867148621275267,1.336110110149122,0.0060300372680888135,0.018092085326268464,0.11438737673788046,-0.04270662630183143,-0.12502687954868333,8.994772176542469,5.0
Ochsner,"TERRA 8 HPLA , average climate",Brine/Water,On-Off,R410a,1.72,2020-09-30,52.0,0.0,7.0,9,EN 14825,average,2280,7000,-0.0015592945349479942,-0.004460476012311638,1.2177149652292707,0.006293561250915378,0.019699970812102018,0.03258428456981712,-0.04295100224357979,-0.12957072304789252,9.22432211262379,5.0
Ochsner,"TERRA 8 HPLB, average climate",Brine/Water,On-Off,R410a,1.9,2020-09-30,,,7.0,10,EN 14825,average,2448,7000,-0.001800774783542153,-0.0054154436168782905,1.2638871575011514,0.006989687761630285,0.021410204262782218,-0.05006386170540136,-0.04725273226345063,-0.14230038163434727,9.588210181602696,5.0
Panasonic Marketing Europe,WH-MDC05J3E5,Outdoor Air/Water,Inverter,R32,1.3,2020-08-06,,59.0,5.0,10,EN 14825,average,1957,4500,-0.013157573622657433,-0.0005888240018685703,0.8135145549657786,-0.028381489188143576,0.00949251410298012,0.19919253333033024,0.18439854858502333,-0.10609946258923908,8.21302410645756,1.0
Panasonic Marketing Europe,WH-MDC05J3E5 + DGC200,Outdoor Air/Water,Inverter,R32,1.3,2020-08-06,,59.0,5.0,10,EN 14825,average,1957,4500,-0.013157573622657433,-0.0005888240018685703,0.8135145549657786,-0.028381489188143576,0.00949251410298012,0.19919253333033024,0.18439854858502333,-0.10609946258923908,8.21302410645756,1.0
Panasonic Marketing Europe,WH-MDC07J3E5,Outdoor Air/Water,Inverter,R32,1.3,2020-08-06,,59.0,7.0,10,EN 14825,average,3333,6200,-0.017979235800563903,0.005245133387864874,0.5035936070296027,-0.018495776164754053,0.018213866784438818,-0.22998331582461598,0.1481488558392421,-0.12396486005747782,8.604021069038438,1.0
Panasonic Marketing Europe,WH-MDC07J3E5 + DGC200,Outdoor Air/Water,Inverter,R32,1.3,2020-08-06,,59.0,7.0,10,EN 14825,average,3333,6200,-0.017979235800563903,0.005245133387864874,0.5035936070296027,-0.018495776164754053,0.018213866784438818,-0.22998331582461598,0.1481488558392421,-0.12396486005747782,8.604021069038438,1.0
Panasonic Marketing Europe,WH-MDC09J3E5,Outdoor Air/Water,Inverter,R32,1.3,2020-08-06,,59.0,8.0,10,EN 14825,average,3465,7000,-0.024405883734118745,0.0032702317017867114,0.5765778068919261,-0.02564788286721264,0.01460740042756847,-0.059944772426888504,0.16917041364595425,-0.11478689951069282,8.254953222919223,1.0
Panasonic Marketing Europe,WH-MDC09J3E5 + DGC200,Outdoor Air/Water,Inverter,R32,1.3,2020-08-06,,59.0,8.0,10,EN 14825,average,3465,7000,-0.024405883734118745,0.0032702317017867114,0.5765778068919261,-0.02564788286721264,0.01460740042756847,-0.059944772426888504,0.16917041364595425,-0.11478689951069282,8.254953222919223,1.0
