Model,k1,k2,k3,k4,k5,k6,k7,k8,k9,Modus
PAC-BT-UE-8KW-H11,-54.36069388515479,-5.2884266263993425,4493.302096742902,-77.95042980923022,32.75725752209938,308.92078166762417,0.21179740816913764,-0.08048814785397819,6.785489153202654,Inverter
WELLEA MONOBLOC 12 KW 1PH,-407.83729276753616,54.757486143798346,5707.641938428748,-157.138750982932,78.19104574298008,-158.83156879573676,0.09060431644868412,-0.07377646990460575,6.28770104540041,Inverter
WELLEA MONOBLOC 14 KW 1PH,-516.6793847939157,4.700822811895449,8524.287060035356,-198.08046906888606,65.75051268965228,627.8577644389005,0.09710533191780525,-0.07258069148673552,6.277592608020326,Inverter
WELLEA MONOBLOC 16 KW 1PH,-623.8255845562189,-53.279880358330814,11558.635433264386,-246.9348497380331,46.46355825593999,1686.3371605229079,0.11696358649796244,-0.07661039789291572,6.4391098748260855,Inverter
WELLEA MONOBLOC 12 KW 3PH,-407.83729276753616,54.757486143798346,5707.641938428748,-157.138750982932,78.19104574298008,-158.83156879573676,0.09060431644868412,-0.07377646990460575,6.28770104540041,Inverter
WELLEA MONOBLOC 14 KW 3PH,-563.9885167002712,6.013653550972904,7963.490504165997,-212.18098809166327,60.964375733304294,699.9830468453159,0.1184613909353021,-0.04888751675695815,5.408393520246875,Inverter
WELLEA MONOBLOC 16KW 3PH,-623.8255845562189,-53.279880358330814,11558.635433264386,-246.9348497380331,46.46355825593999,1686.3371605229079,0.11696358649796244,-0.07661039789291572,6.4391098748260855,Inverter
WELLEA MONOBLOC 5KW,-244.96975380314228,2.5246364990793038,4046.8597586551355,-90.45743952738961,37.54379715122584,74.03301131865517,0.0893740160859716,-0.08837598001228822,6.897615256621555,Inverter
WELLEA MONOBLOC 7KW,-244.96975380314228,2.5246364990793038,4046.8597586551355,-90.45743952738961,37.54379715122584,74.03301131865517,0.0893740160859716,-0.08837598001228822,6.897615256621555,Inverter
WELLEA MONOBLOC 9KW,-332.376902672684,-46.173452953098106,6738.031604371777,-126.63662250051867,32.071404843847915,619.1486389928018,0.12349712822401095,-0.10733674787134334,7.684960759589402,Inverter
AW-YHPS04-H91 + AW-WHPS0406-N91,-242.49720605903894,-9.272697395140625,4102.489194164593,-91.9521678973483,28.924120320632095,247.1909516189912,0.1677151746384649,-0.11429931089441465,8.189535700760867,Inverter
AW-YHPS06-H91 + AW-WHPS0406-N91,-242.49720605903894,-9.272697395140625,4102.489194164593,-91.9521678973483,28.924120320632095,247.1909516189912,0.1677151746384649,-0.11429931089441465,8.189535700760867,Inverter
AW-YHPS08-H91 + AW-WHPS0810-N91,-359.0392587383217,-42.85510694174445,6768.531706706591,-126.45164841554987,32.764858499315544,565.9137612439055,0.12459301793912936,-0.1282665186953576,8.658086017365944,Inverter
AW-YHPS10-H91 + AW-WHPS0810-N91,-359.0392587383217,-42.85510694174445,6768.531706706591,-126.45164841554987,32.764858499315544,565.9137612439055,0.12459301793912936,-0.1282665186953576,8.658086017365944,Inverter
AW-YHPS04-H91 + AW-WHPST0410-N91,-129.2244740498836,26.683430480146185,2032.542736495518,-46.70391226678747,35.78780861491503,-336.2422282641708,0.10746956107542227,-0.10404824552482023,7.7567649761517,Inverter
AW-YHPS06-H91 + AW-WHPST0410-N91,-214.63743200203572,-9.418244944153864,4016.2331819624155,-76.07162911453358,30.346238200943496,95.0987646537389,0.11353380751767649,-0.11786630438235915,8.348035886831715,Inverter
AW-YHPS08-H91 + AW-WHPST0410-N91,-320.01893932604304,-27.488573595645768,5986.236005304084,-109.96737749872935,37.14284473190253,282.3505335306957,0.11425195636988311,-0.1318543844399162,8.888862617827535,Inverter
AW-YHPS10-H91 + AW-WHPST0410-N91,-377.90340548748827,-44.77810501259853,7339.409278959941,-125.97030352599309,28.95535566889355,708.5557118278309,0.14740668250479247,-0.13707923358455076,9.308675265702155,Inverter
alpha innotec L12 Split-HT 12,-337.67722457450657,-71.32677709877372,9683.728248781123,-152.58785326669988,32.64218881669512,1182.607247602717,0.15318082082236487,-0.07409277965853263,6.484556427883788,Inverter
NOVELAN L12 Split-CS 12,-337.67722457450657,-71.32677709877372,9683.728248781123,-152.58785326669988,32.64218881669512,1182.607247602717,0.15318082082236487,-0.07409277965853263,6.484556427883788,Inverter
alpha innotec L6 Split-HT 6,-100.28524611145048,14.894760143012565,2751.490981341639,-65.57256163333757,33.669414250099436,-59.88214738087095,0.17328186089255526,-0.10213256987019459,7.704320576163991,Inverter
NOVELAN L6 Split-CS 6,-100.28524611145048,14.894760143012565,2751.490981341639,-65.57256163333757,33.669414250099436,-59.88214738087095,0.17328186089255526,-0.10213256987019459,7.704320576163991,Inverter
alpha innotec L8 Split-HT 12,-236.81758510743165,-52.20551538567058,6973.426145644281,-105.9577693235409,25.92349699989322,775.7319839505159,0.13313339071766567,-0.07706016310057932,6.500476239343663,Inverter
NOVELAN L8 Split-CS 12,-236.81758510743165,-52.20551538567058,6973.426145644281,-105.9577693235409,25.92349699989322,775.7319839505159,0.13313339071766567,-0.07706016310057932,6.500476239343663,Inverter
LW 101,246.73292594225128,-13.45359492709219,9413.693534510976,13.442475597590288,47.4063233446114,941.860970364728,0.08363763039830353,-0.0583881841543408,5.565618082683643,On-Off
LW 101A,246.73292594225128,-13.45359492709219,9413.693534510976,13.442475597590288,47.4063233446114,941.860970364728,0.08363763039830353,-0.0583881841543408,5.565618082683643,On-Off
LW 121,282.2638771130115,-41.63196428853215,12527.941113158204,12.939226931573137,56.172460737159646,1175.6245900840513,0.08280408753368937,-0.06590820038756023,5.928463682057672,On-Off
LW 121A,282.2638771130115,-41.63196428853215,12527.941113158204,12.939226931573137,56.172460737159646,1175.6245900840513,0.08280408753368937,-0.06590820038756023,5.928463682057672,On-Off
LW 140 (L),281.7778519328931,-22.442245800773584,13533.59042016422,6.242466944186239,71.19820203416484,1076.0418588626655,0.08324851709767501,-0.06648698343368849,6.033887378638313,On-Off
LW 140A,281.7778519328931,-22.442245800773584,13533.59042016422,6.242466944186239,71.19820203416484,1076.0418588626655,0.08324851709767501,-0.06648698343368849,6.033887378638313,On-Off
LW 180 (L),-8.75956085719405,10.471098591823118,12808.109932336238,-91.13940068013287,104.19745039596857,449.1914743004957,0.0996451591394581,-0.08114853288292712,6.5261421446394365,Inverter
LW 180A,-8.75956085719405,10.471098591823118,12808.109932336238,-91.13940068013287,104.19745039596857,449.1914743004957,0.0996451591394581,-0.08114853288292712,6.5261421446394365,Inverter
LW 251 (L),-42.613918493933284,75.5330352483537,15785.221971170027,-138.49104325425432,144.58044640588543,692.9841803924514,0.10010978173774479,-0.07069911668135359,6.127200070306534,Inverter
LW 251A,-42.613918493933284,75.5330352483537,15785.221971170027,-138.49104325425432,144.58044640588543,692.9841803924514,0.10010978173774479,-0.07069911668135359,6.127200070306534,Inverter
LW 300A-LUX 2.0,326.0493223810159,-2.73496452428941,17658.80255318849,-60.94126141965792,101.07136981729663,2216.399439355729,0.09439791323100809,-0.055429851791721385,5.175271068049759,On-Off
LW 300(L),326.0493223810159,-2.73496452428941,17658.80255318849,-60.94126141965792,101.07136981729663,2216.399439355729,0.09439791323100809,-0.055429851791721385,5.175271068049759,On-Off
LW 310 (L),-47.56553802937694,70.23094282617473,21105.532225082985,-169.16026294309282,169.0975493804252,1581.247158375818,0.08661568929707371,-0.06272999899248886,5.7048346788152,Inverter
LW 310A,-47.56553802937694,70.23094282617473,21105.532225082985,-169.16026294309282,169.0975493804252,1581.247158375818,0.08661568929707371,-0.06272999899248886,5.7048346788152,Inverter
LWC 100,278.618226698862,-35.84291006953346,11447.648997591257,16.731327720020147,54.505748894893735,1140.2290861288043,0.07884125540832186,-0.06158425327070034,5.581405201954806,On-Off
LWC 120,298.90973156412423,-38.284005008256415,12854.994267071103,7.5245902251874455,59.23702774052704,1445.6081222830392,0.08237361292655901,-0.05762063135958182,5.392654931226952,On-Off
LWC 60,175.22615966747475,-15.859884414731354,6371.971883715665,11.504574266606433,28.65551588438126,686.650448502375,0.08677917726140327,-0.05721974415299325,5.505891816383707,On-Off
LWC 80,196.7751736299739,-14.691624097961999,7925.972341592366,10.00416265326376,37.36913235333725,845.9723772756112,0.08327587411699983,-0.05670149007917422,5.506228221906611,On-Off
LWD 50A-HMD,171.84490152713556,-27.43300381974038,6590.997494439138,8.789826397169394,30.21068649411143,414.39258372028945,0.1041793918535488,-0.08116013265892603,6.789946310914605,On-Off
LWD 50A-HTD,171.84490152713556,-27.43300381974038,6590.997494439138,8.789826397169394,30.21068649411143,414.39258372028945,0.1041793918535488,-0.08116013265892603,6.789946310914605,On-Off
LWD 50A/RX-HMD,161.7814571014439,-20.58478346518072,6142.259634259895,13.407053789932567,20.431302780156056,754.4724597814608,0.08358519980828509,-0.05549440727673791,5.646940185530379,On-Off
LWD 50A/SX-HMD,158.12225098384855,-21.89009548410609,6243.6027577044315,8.819616007138272,20.28368810703219,781.7002075312394,0.09183407305095068,-0.056324599612072576,5.681445862939813,On-Off
LWD 50A/SX-HTD S,158.12225098384855,-21.89009548410609,6243.6027577044315,8.819616007138272,20.28368810703219,781.7002075312394,0.09183407305095068,-0.056324599612072576,5.681445862939813,On-Off
LWD 70A-HMD,238.49984066823725,-35.0134234945096,8776.79801395845,29.847518704341937,43.24292786055938,535.9891084933528,0.08376440874118082,-0.08164677946069666,6.660868631582414,On-Off
LWD 70A-HTD,238.49984066823725,-35.0134234945096,8776.79801395845,29.847518704341937,43.24292786055938,535.9891084933528,0.08376440874118082,-0.08164677946069666,6.660868631582414,On-Off
LWD 70A/RX-HMD,209.330741814842,-26.617459647162757,8237.317579019273,5.825869757597836,26.62561872910007,1093.6038111395358,0.09843208811063152,-0.05349248103610466,5.548041726996868,On-Off
LWD 70A/RX-HTD,213.76163444949083,-25.80294161985824,8185.860433413206,14.51869129666324,29.458587297225595,958.2125638871833,0.08799035521140101,-0.05769946596635503,5.717800524521503,On-Off
LWD 70A/SX-HMD,220.57513941982646,-43.62538256685692,9164.164918747627,10.3792914338466,21.31987822398762,1496.1128890022078,0.08446814647248858,-0.04678281466703862,5.070662592229701,On-Off
LWD 70A/SX-HTD S,220.57513941982646,-43.62538256685692,9164.164918747627,10.3792914338466,21.31987822398762,1496.1128890022078,0.08446814647248858,-0.04678281466703862,5.070662592229701,On-Off
LWD 90A-HMD,218.58932141724836,-26.30289000124352,9761.138535194134,11.204877635274148,37.54655624338737,1132.0177748408166,0.08022654432469846,-0.05913105878172659,5.74930724061473,On-Off
LWD 90A-HTD,218.58932141724836,-26.30289000124352,9761.138535194134,11.204877635274148,37.54655624338737,1132.0177748408166,0.08022654432469846,-0.05913105878172659,5.74930724061473,On-Off
LWDV 91-1/3-HDV 12-3,-70.04868713364145,103.76949086099953,1228.2464923916607,-50.072665576307365,64.39343808808415,-845.2074500680416,0.17542200534955502,-0.09998991279461966,7.803685825405164,Inverter
LWDV 91-1/3-HDV 9-1/3,-70.04868713364145,103.76949086099953,1228.2464923916607,-50.072665576307365,64.39343808808415,-845.2074500680416,0.17542200534955502,-0.09998991279461966,7.803685825405164,Inverter
LWDV 91-1/3-HSDV 12M3,-70.04868713364145,103.76949086099953,1228.2464923916607,-50.072665576307365,64.39343808808415,-845.2074500680416,0.17542200534955502,-0.09998991279461966,7.803685825405164,Inverter
LWDV91-1/3-HSDV 9M-1/3,-70.04868713364145,103.76949086099953,1228.2464923916607,-50.072665576307365,64.39343808808415,-845.2074500680416,0.17542200534955502,-0.09998991279461966,7.803685825405164,Inverter
LWCV 122R3,-129.40559633434364,-17.245170587536407,7248.108236855915,-100.38485601025388,32.42127320143193,965.1901034104003,0.14991979736519934,-0.08248142601023493,6.601202179085295,Inverter
LWV 122R3,-129.40559633434364,-17.245170587536407,7248.108236855915,-100.38485601025388,32.42127320143193,965.1901034104003,0.14991979736519934,-0.08248142601023493,6.601202179085295,Inverter
LWAV 122R3,-129.40559633434364,-17.245170587536407,7248.108236855915,-100.38485601025388,32.42127320143193,965.1901034104003,0.14991979736519934,-0.08248142601023493,6.601202179085295,Inverter
LWAV+ 122R3,-129.40559633434364,-17.245170587536407,7248.108236855915,-100.38485601025388,32.42127320143193,965.1901034104003,0.14991979736519934,-0.08248142601023493,6.601202179085295,Inverter
LWCV 82R1/3,-103.60422007322762,12.999095201939728,4048.449608227635,-61.52873374906365,28.850377771894067,263.9492266107925,0.17434782571589094,-0.10851950599798725,8.045682866924333,Inverter
LWV 82R1/3,-103.60422007322762,12.999095201939728,4048.449608227635,-61.52873374906365,28.850377771894067,263.9492266107925,0.17434782571589094,-0.10851950599798725,8.045682866924333,Inverter
LWAV 82R1/3,-103.60422007322762,12.999095201939728,4048.449608227635,-61.52873374906365,28.850377771894067,263.9492266107925,0.17434782571589094,-0.10851950599798725,8.045682866924333,Inverter
LWAV+ 82R1/3,-103.60422007322762,12.999095201939728,4048.449608227635,-61.52873374906365,28.850377771894067,263.9492266107925,0.17434782571589094,-0.10851950599798725,8.045682866924333,Inverter
SWCV 122(H)(K)3 (3~400V),-209.34657549036672,189.30925133920968,378.33340426768154,-37.266629520122265,87.73389408473717,-1442.7071352952798,-0.0006839360438261749,-0.09278744327133685,7.9697643778175005,Inverter
SWCV 122H1 (1~230V),-209.34657549036672,189.30925133920968,378.33340426768154,-37.266629520122265,87.73389408473717,-1442.7071352952798,-0.0006839360438261749,-0.09278744327133685,7.9697643778175005,Inverter
WZSV 122(H)(K)3M,-209.34657549036672,189.30925133920968,378.33340426768154,-37.266629520122265,87.73389408473717,-1442.7071352952798,-0.0006839360438261749,-0.09278744327133685,7.9697643778175005,Inverter
PWZSV 122H3S (3~400V),-209.34657549036672,189.30925133920968,378.33340426768154,-37.266629520122265,87.73389408473717,-1442.7071352952798,-0.0006839360438261749,-0.09278744327133685,7.9697643778175005,Inverter
PWZSV 122H2S (3~230V),-209.34657549036672,189.30925133920968,378.33340426768154,-37.266629520122265,87.73389408473717,-1442.7071352952798,-0.0006839360438261749,-0.09278744327133685,7.9697643778175005,Inverter
PWZSV 122H1S (1~230V),-209.34657549036672,189.30925133920968,378.33340426768154,-37.266629520122265,87.73389408473717,-1442.7071352952798,-0.0006839360438261749,-0.09278744327133685,7.9697643778175005,Inverter
SWCV 162(H)(K)3,-231.238208484148,181.29981895249833,3312.1718152719227,-47.857210015927045,105.93308464650114,-1408.0397167887231,0.009377185162050234,-0.10056685805339331,8.19980056982321,Inverter
WZSV 162(H)(K)3M,-231.238208484148,181.29981895249833,3312.1718152719227,-47.857210015927045,105.93308464650114,-1408.0397167887231,0.009377185162050234,-0.10056685805339331,8.19980056982321,Inverter
PWZSV 162H3S,-231.238208484148,181.29981895249833,3312.1718152719227,-47.857210015927045,105.93308464650114,-1408.0397167887231,0.009377185162050234,-0.10056685805339331,8.19980056982321,Inverter
SWCV 62(H)(K)3,-105.28835210777825,72.75169742330827,733.0562346757708,-20.085382412767288,38.64348103440245,-577.5272644689204,0.002393116273607652,-0.10351994892519503,8.321905288643496,Inverter
SWCV 62H1,-105.28835210777825,72.75169742330827,733.0562346757708,-20.085382412767288,38.64348103440245,-577.5272644689204,0.002393116273607652,-0.10351994892519503,8.321905288643496,Inverter
WZSV 62(H)(K)3M,-105.28835210777825,72.75169742330827,733.0562346757708,-20.085382412767288,38.64348103440245,-577.5272644689204,0.002393116273607652,-0.10351994892519503,8.321905288643496,Inverter
PWZSV 62H3S,-105.28835210777825,72.75169742330827,733.0562346757708,-20.085382412767288,38.64348103440245,-577.5272644689204,0.002393116273607652,-0.10351994892519503,8.321905288643496,Inverter
PWZSV 62H2S,-105.28835210777825,72.75169742330827,733.0562346757708,-20.085382412767288,38.64348103440245,-577.5272644689204,0.002393116273607652,-0.10351994892519503,8.321905288643496,Inverter
PWZSV 62H1S,-105.28835210777825,72.75169742330827,733.0562346757708,-20.085382412767288,38.64348103440245,-577.5272644689204,0.002393116273607652,-0.10351994892519503,8.321905288643496,Inverter
SWCV 92(H)(K)3 (3~ 400V),-169.37275178407367,104.97011822235443,1130.1777784654328,-35.791242730717556,53.88747033804456,-727.7806126400815,0.016522048585114607,-0.09860471981957351,8.084807926523597,Inverter
SWCV 92H1 (1~ 230V),-169.37275178407367,104.97011822235443,1130.1777784654328,-35.791242730717556,53.88747033804456,-727.7806126400815,0.016522048585114607,-0.09860471981957351,8.084807926523597,Inverter
WZSV 92(H)(K)3M(3~ 400V),-169.37275178407367,104.97011822235443,1130.1777784654328,-35.791242730717556,53.88747033804456,-727.7806126400815,0.016522048585114607,-0.09860471981957351,8.084807926523597,Inverter
PWZSV 92H3S (3~ 400V),-169.37275178407367,104.97011822235443,1130.1777784654328,-35.791242730717556,53.88747033804456,-727.7806126400815,0.016522048585114607,-0.09860471981957351,8.084807926523597,Inverter
PWZSV 92H2S (3~ 230V),-169.37275178407367,104.97011822235443,1130.1777784654328,-35.791242730717556,53.88747033804456,-727.7806126400815,0.016522048585114607,-0.09860471981957351,8.084807926523597,Inverter
PWZSV 92H1S(1~ 230V),-169.37275178407367,104.97011822235443,1130.1777784654328,-35.791242730717556,53.88747033804456,-727.7806126400815,0.016522048585114607,-0.09860471981957351,8.084807926523597,Inverter
WWC 100H/X,0.9282516569263737,-45.61237918435003,12526.031970331269,1.2499704398211406,43.45446273315236,542.3686491395811,0.004351268589597019,-0.11569722368113321,9.520036191608321,On-Off
WWC 130H/X,1.9240432567037757,-50.475689140145874,14580.351591019518,1.4132662703511834,45.391760624307125,845.2305110284053,0.0034655830085054988,-0.10396819591573116,9.041025073002297,On-Off
WWC 160H/X,-0.9646588231815899,-43.319461756625756,16046.855155441111,8.971519651938735,62.084823825402154,627.1935467674455,-0.013129003686837983,-0.1174144608068484,9.47727606843816,Inverter
WWC 190H/X,1.974883945825212,-85.21214119266884,21149.5616442904,0.9231003678925518,64.46923544138654,1129.2308530510925,0.005970958977861023,-0.11121193313170911,9.408753815264538,On-Off
WWC 220H/X,-13.17107893675419,-65.30277243333816,23983.29737674419,13.064711404016414,95.53102016549781,730.678372623386,-0.016711362719389156,-0.12685747376581974,9.96881642714086,Inverter
AIM06EMX,-170.3841078155468,-47.27402266754126,4378.888906551144,-79.19510783133522,5.04865016665785,850.510527834957,0.1301590957537677,-0.07703564491730656,6.130043458748647,Inverter
AIM08EMX,-245.3322238975847,-45.628646067049544,5465.897492196373,-94.87017174741679,22.330776191846564,578.80017179076,0.11825535109759475,-0.08601023125196759,6.588957969880029,Inverter
AIM11EMX,-172.14286036759623,-12.380955937369626,5483.0953716336735,-104.5062952058666,43.45405677484857,315.66384048276626,0.17492307011101513,-0.06242929251036388,5.690026184655199,Inverter
AIM11EMX3PH,-172.14286036759623,-12.380955937369626,5483.0953716336735,-104.5062952058666,43.45405677484857,315.66384048276626,0.17492307011101513,-0.06242929251036388,5.690026184655199,Inverter
AIM14EMX3PH,-267.1896072353098,-1.6823690465669496,6279.245061299307,-148.65511951840708,68.81412655899831,6.057317500199247,0.15541831778642778,-0.08033237697389148,6.301211345655024,Inverter
AUAH + AEI1G50EMX,-70.73673552765084,26.515010912086407,998.6250748685259,-46.007730842893096,25.755517509935117,-129.81885418628167,0.1643304821359716,-0.07420449435023098,6.039372806210081,Inverter
AUBH + AEI1G65EMX,-179.44753788326398,-39.056802367165226,4796.893963318733,-90.14389356866963,19.240741673621308,623.1031325716467,0.16268339516280952,-0.07598112260887885,6.146209206610398,Inverter
AUCH + AEI1G110BEMX,-266.16356349771337,-47.461369710479765,6709.307056891881,-153.0082334641621,27.46080194893676,1089.438749676934,0.17817468285151217,-0.07375316721192855,6.0191537329297455,Inverter
AUCH + AEI1G80BEMX,-221.85221638306524,-34.01138190389482,5134.374002586309,-108.3364868659937,25.943964620587682,619.6039219879091,0.14252790527016596,-0.07575868831365785,6.062857241693394,Inverter
AUDH + AEI1G140EMX3PH,-338.4691893557538,-115.39022751381466,11519.93123353252,-175.15326752692326,43.25825803383762,1232.1588154465937,0.12702667821399424,-0.08902409857131309,6.6656100140373,Inverter
AEROTOP MONO 11M-R,-356.58106282997494,-12.021170087815491,8237.672748936031,-141.70006709732624,39.61109390689585,926.6316921040687,0.1610982664281043,-0.1095201440485837,7.913770808794137,Inverter
AEROTOP MONO 11M-RL,-356.58106282997494,-12.021170087815491,8237.672748936031,-141.70006709732624,39.61109390689585,926.6316921040687,0.1610982664281043,-0.1095201440485837,7.913770808794137,Inverter
ARIANEXT LITE 110 M-T LINK,-356.58106282997494,-12.021170087815491,8237.672748936031,-141.70006709732624,39.61109390689585,926.6316921040687,0.1610982664281043,-0.1095201440485837,7.913770808794137,Inverter
ARIANEXT LITE 110 M-T,-356.58106282997494,-12.021170087815491,8237.672748936031,-141.70006709732624,39.61109390689585,926.6316921040687,0.1610982664281043,-0.1095201440485837,7.913770808794137,Inverter
ARIANEXT PLUS 110 M-T LINK,-356.58106282997494,-12.021170087815491,8237.672748936031,-141.70006709732624,39.61109390689585,926.6316921040687,0.1610982664281043,-0.1095201440485837,7.913770808794137,Inverter
ARIANEXT PLUS 110 M-T,-356.58106282997494,-12.021170087815491,8237.672748936031,-141.70006709732624,39.61109390689585,926.6316921040687,0.1610982664281043,-0.1095201440485837,7.913770808794137,Inverter
NIMBUS PLUS 110 M-T NET,-356.58106282997494,-12.021170087815491,8237.672748936031,-141.70006709732624,39.61109390689585,926.6316921040687,0.1610982664281043,-0.1095201440485837,7.913770808794137,Inverter
NIMBUS POCKET 110 M-T NET,-356.58106282997494,-12.021170087815491,8237.672748936031,-141.70006709732624,39.61109390689585,926.6316921040687,0.1610982664281043,-0.1095201440485837,7.913770808794137,Inverter
AEROTOP MONO 11M-CR,-356.58106282997494,-12.021170087815491,8237.672748936031,-141.70006709732624,39.61109390689585,926.6316921040687,0.1610982664281043,-0.1095201440485837,7.913770808794137,Inverter
ARIANEXT COMPACT 110 M-T LINK,-356.58106282997494,-12.021170087815491,8237.672748936031,-141.70006709732624,39.61109390689585,926.6316921040687,0.1610982664281043,-0.1095201440485837,7.913770808794137,Inverter
