Manufacturer,Model,Date,Type,Refrigerant,Mass of Refrigerant [kg],Pdesignc,Temperatur,T_outside,Pdc,EER
DAIKIN Europe N.V.,EPRA14DV / ETBX16D9W,2020-02-07,Outdoor Air/Water,R32,4.2,6.90,+7°C/+12°C,30,5.23,3.65
DAIKIN Europe N.V.,EPRA14DV / ETBX16D9W,2020-02-07,Outdoor Air/Water,R32,4.2,6.90,+7°C/+12°C,25,5.05,4.58
DAIKIN Europe N.V.,EPRA14DV / ETBX16D9W,2020-02-07,Outdoor Air/Water,R32,4.2,6.90,+7°C/+12°C,20,4.94,5.41
DAIKIN Europe N.V.,EPRA14DW / ETBX16D6V,2020-02-07,Outdoor Air/Water,R32,4.2,6.90,+7°C/+12°C,35,6.90,2.70
DAIKIN Europe N.V.,EPRA14DW / ETBX16D6V,2020-02-07,Outdoor Air/Water,R32,4.2,6.90,+7°C/+12°C,30,5.23,3.65
DAIKIN Europe N.V.,EPRA14DW / ETBX16D6V,2020-02-07,Outdoor Air/Water,R32,4.2,6.90,+7°C/+12°C,25,5.05,4.58
DAIKIN Europe N.V.,EPRA14DW / ETBX16D6V,2020-02-07,Outdoor Air/Water,R32,4.2,6.90,+7°C/+12°C,20,4.94,5.41
DAIKIN Europe N.V.,EPRA14DW / ETBX16D9W,2020-02-07,Outdoor Air/Water,R32,4.2,6.90,+7°C/+12°C,35,6.90,2.70
DAIKIN Europe N.V.,EPRA14DW / ETBX16D9W,2020-02-07,Outdoor Air/Water,R32,4.2,6.90,+7°C/+12°C,30,5.23,3.65
DAIKIN Europe N.V.,EPRA14DW / ETBX16D9W,2020-02-07,Outdoor Air/Water,R32,4.2,6.90,+7°C/+12°C,25,5.05,4.58
DAIKIN Europe N.V.,EPRA14DW / ETBX16D9W,2020-02-07,Outdoor Air/Water,R32,4.2,6.90,+7°C/+12°C,20,4.94,5.41
DAIKIN Europe N.V.,EPRA14DV / ETVX16S18D6V(G),2020-02-07,Outdoor Air/Water,R32,4.2,6.90,+7°C/+12°C,35,6.90,2.70
DAIKIN Europe N.V.,EPRA14DV / ETVX16S18D6V(G),2020-02-07,Outdoor Air/Water,R32,4.2,6.90,+7°C/+12°C,30,5.23,3.65
DAIKIN Europe N.V.,EPRA14DV / ETVX16S18D6V(G),2020-02-07,Outdoor Air/Water,R32,4.2,6.90,+7°C/+12°C,25,5.05,4.58
DAIKIN Europe N.V.,EPRA14DV / ETVX16S18D6V(G),2020-02-07,Outdoor Air/Water,R32,4.2,6.90,+7°C/+12°C,20,4.94,5.41
DAIKIN Europe N.V.,EPRA14DV / ETVX16S18D9W(G),2020-02-07,Outdoor Air/Water,R32,4.2,6.90,+7°C/+12°C,35,6.90,2.70
DAIKIN Europe N.V.,EPRA14DV / ETVX16S18D9W(G),2020-02-07,Outdoor Air/Water,R32,4.2,6.90,+7°C/+12°C,30,5.23,3.65
DAIKIN Europe N.V.,EPRA14DV / ETVX16S18D9W(G),2020-02-07,Outdoor Air/Water,R32,4.2,6.90,+7°C/+12°C,25,5.05,4.58
DAIKIN Europe N.V.,EPRA14DV / ETVX16S18D9W(G),2020-02-07,Outdoor Air/Water,R32,4.2,6.90,+7°C/+12°C,20,4.94,5.41
DAIKIN Europe N.V.,EPRA14DW / ETVX16S18D6V(G),2020-02-07,Outdoor Air/Water,R32,4.2,6.90,+7°C/+12°C,35,6.90,2.70
DAIKIN Europe N.V.,EPRA14DW / ETVX16S18D6V(G),2020-02-07,Outdoor Air/Water,R32,4.2,6.90,+7°C/+12°C,30,5.23,3.65
DAIKIN Europe N.V.,EPRA14DW / ETVX16S18D6V(G),2020-02-07,Outdoor Air/Water,R32,4.2,6.90,+7°C/+12°C,25,5.05,4.58
DAIKIN Europe N.V.,EPRA14DW / ETVX16S18D6V(G),2020-02-07,Outdoor Air/Water,R32,4.2,6.90,+7°C/+12°C,20,4.94,5.41
DAIKIN Europe N.V.,EPRA14DW / ETVX16S18D9W(G),2020-02-07,Outdoor Air/Water,R32,4.2,6.90,+7°C/+12°C,35,6.90,2.70
DAIKIN Europe N.V.,EPRA14DW / ETVX16S18D9W(G),2020-02-07,Outdoor Air/Water,R32,4.2,6.90,+7°C/+12°C,30,5.23,3.65
DAIKIN Europe N.V.,EPRA14DW / ETVX16S18D9W(G),2020-02-07,Outdoor Air/Water,R32,4.2,6.90,+7°C/+12°C,25,5.05,4.58
DAIKIN Europe N.V.,EPRA14DW / ETVX16S18D9W(G),2020-02-07,Outdoor Air/Water,R32,4.2,6.90,+7°C/+12°C,20,4.94,5.41
DAIKIN Europe N.V.,EPRA14DV / ETVX16S23D6V(G),2020-02-07,Outdoor Air/Water,R32,4.2,6.90,+7°C/+12°C,35,6.90,2.70
DAIKIN Europe N.V.,EPRA14DV / ETVX16S23D6V(G),2020-02-07,Outdoor Air/Water,R32,4.2,6.90,+7°C/+12°C,30,5.23,3.65
DAIKIN Europe N.V.,EPRA14DV / ETVX16S23D6V(G),2020-02-07,Outdoor Air/Water,R32,4.2,6.90,+7°C/+12°C,25,5.05,4.58
DAIKIN Europe N.V.,EPRA14DV / ETVX16S23D6V(G),2020-02-07,Outdoor Air/Water,R32,4.2,6.90,+7°C/+12°C,20,4.94,5.41
DAIKIN Europe N.V.,EPRA14DV / ETVX16S23D9W(G),2020-02-07,Outdoor Air/Water,R32,4.2,6.90,+7°C/+12°C,35,6.90,2.70
DAIKIN Europe N.V.,EPRA14DV / ETVX16S23D9W(G),2020-02-07,Outdoor Air/Water,R32,4.2,6.90,+7°C/+12°C,30,5.23,3.65
DAIKIN Europe N.V.,EPRA14DV / ETVX16S23D9W(G),2020-02-07,Outdoor Air/Water,R32,4.2,6.90,+7°C/+12°C,25,5.05,4.58
DAIKIN Europe N.V.,EPRA14DV / ETVX16S23D9W(G),2020-02-07,Outdoor Air/Water,R32,4.2,6.90,+7°C/+12°C,20,4.94,5.41
DAIKIN Europe N.V.,EPRA14DW / ETVX16S23D6V(G),2020-02-07,Outdoor Air/Water,R32,4.2,6.90,+7°C/+12°C,35,6.90,2.70
DAIKIN Europe N.V.,EPRA14DW / ETVX16S23D6V(G),2020-02-07,Outdoor Air/Water,R32,4.2,6.90,+7°C/+12°C,30,5.23,3.65
DAIKIN Europe N.V.,EPRA14DW / ETVX16S23D6V(G),2020-02-07,Outdoor Air/Water,R32,4.2,6.90,+7°C/+12°C,25,5.05,4.58
DAIKIN Europe N.V.,EPRA14DW / ETVX16S23D6V(G),2020-02-07,Outdoor Air/Water,R32,4.2,6.90,+7°C/+12°C,20,4.94,5.41
DAIKIN Europe N.V.,EPRA14DW / ETVX16S23D9W(G),2020-02-07,Outdoor Air/Water,R32,4.2,6.90,+7°C/+12°C,35,6.90,2.70
DAIKIN Europe N.V.,EPRA14DW / ETVX16S23D9W(G),2020-02-07,Outdoor Air/Water,R32,4.2,6.90,+7°C/+12°C,30,5.23,3.65
DAIKIN Europe N.V.,EPRA14DW / ETVX16S23D9W(G),2020-02-07,Outdoor Air/Water,R32,4.2,6.90,+7°C/+12°C,25,5.05,4.58
DAIKIN Europe N.V.,EPRA14DW / ETVX16S23D9W(G),2020-02-07,Outdoor Air/Water,R32,4.2,6.90,+7°C/+12°C,20,4.94,5.41
DAIKIN Europe N.V.,EPRA14DV / ETSX16P30D,2020-02-07,Outdoor Air/Water,R32,4.2,6.90,+7°C/+12°C,35,6.90,2.70
DAIKIN Europe N.V.,EPRA14DV / ETSX16P30D,2020-02-07,Outdoor Air/Water,R32,4.2,6.90,+7°C/+12°C,30,5.23,3.65
DAIKIN Europe N.V.,EPRA14DV / ETSX16P30D,2020-02-07,Outdoor Air/Water,R32,4.2,6.90,+7°C/+12°C,25,5.05,4.58
DAIKIN Europe N.V.,EPRA14DV / ETSX16P30D,2020-02-07,Outdoor Air/Water,R32,4.2,6.90,+7°C/+12°C,20,4.94,5.41
DAIKIN Europe N.V.,EPRA14DV / ETSXB16P30D,2020-02-07,Outdoor Air/Water,R32,4.2,6.90,+7°C/+12°C,35,6.90,2.70
DAIKIN Europe N.V.,EPRA14DV / ETSXB16P30D,2020-02-07,Outdoor Air/Water,R32,4.2,6.90,+7°C/+12°C,30,5.23,3.65
DAIKIN Europe N.V.,EPRA14DV / ETSXB16P30D,2020-02-07,Outdoor Air/Water,R32,4.2,6.90,+7°C/+12°C,25,5.05,4.58
DAIKIN Europe N.V.,EPRA14DV / ETSXB16P30D,2020-02-07,Outdoor Air/Water,R32,4.2,6.90,+7°C/+12°C,20,4.94,5.41
DAIKIN Europe N.V.,EPRA14DW / ETSX16P30D,2020-02-07,Outdoor Air/Water,R32,4.2,6.90,+7°C/+12°C,35,6.90,2.70
DAIKIN Europe N.V.,EPRA14DW / ETSX16P30D,2020-02-07,Outdoor Air/Water,R32,4.2,6.90,+7°C/+12°C,30,5.23,3.65
DAIKIN Europe N.V.,EPRA14DW / ETSX16P30D,2020-02-07,Outdoor Air/Water,R32,4.2,6.90,+7°C/+12°C,25,5.05,4.58
DAIKIN Europe N.V.,EPRA14DW / ETSX16P30D,2020-02-07,Outdoor Air/Water,R32,4.2,6.90,+7°C/+12°C,20,4.94,5.41
DAIKIN Europe N.V.,EPRA14DW / ETSXB16P30D,2020-02-07,Outdoor Air/Water,R32,4.2,6.90,+7°C/+12°C,35,6.90,2.70
DAIKIN Europe N.V.,EPRA14DW / ETSXB16P30D,2020-02-07,Outdoor Air/Water,R32,4.2,6.90,+7°C/+12°C,30,5.23,3.65
DAIKIN Europe N.V.,EPRA14DW / ETSXB16P30D,2020-02-07,Outdoor Air/Water,R32,4.2,6.90,+7°C/+12°C,25,5.05,4.58
DAIKIN Europe N.V.,EPRA14DW / ETSXB16P30D,2020-02-07,Outdoor Air/Water,R32,4.2,6.90,+7°C/+12°C,20,4.94,5.41
DAIKIN Europe N.V.,EPRA14DV / ETSX16P50D,2020-02-07,Outdoor Air/Water,R32,4.2,6.90,+7°C/+12°C,35,6.90,2.70
DAIKIN Europe N.V.,EPRA14DV / ETSX16P50D,2020-02-07,Outdoor Air/Water,R32,4.2,6.90,+7°C/+12°C,30,5.23,3.65
DAIKIN Europe N.V.,EPRA14DV / ETSX16P50D,2020-02-07,Outdoor Air/Water,R32,4.2,6.90,+7°C/+12°C,25,5.05,4.58
DAIKIN Europe N.V.,EPRA14DV / ETSX16P50D,2020-02-07,Outdoor Air/Water,R32,4.2,6.90,+7°C/+12°C,20,4.94,5.41
DAIKIN Europe N.V.,EPRA14DV / ETSXB16P50D,2020-02-07,Outdoor Air/Water,R32,4.2,6.90,+7°C/+12°C,35,6.90,2.70
DAIKIN Europe N.V.,EPRA14DV / ETSXB16P50D,2020-02-07,Outdoor Air/Water,R32,4.2,6.90,+7°C/+12°C,30,5.23,3.65
DAIKIN Europe N.V.,EPRA14DV / ETSXB16P50D,2020-02-07,Outdoor Air/Water,R32,4.2,6.90,+7°C/+12°C,25,5.05,4.58
DAIKIN Europe N.V.,EPRA14DV / ETSXB16P50D,2020-02-07,Outdoor Air/Water,R32,4.2,6.90,+7°C/+12°C,20,4.94,5.41
DAIKIN Europe N.V.,EPRA14DW / ETSX16P50D,2020-02-07,Outdoor Air/Water,R32,4.2,6.90,+7°C/+12°C,35,6.90,2.70
DAIKIN Europe N.V.,EPRA14DW / ETSX16P50D,2020-02-07,Outdoor Air/Water,R32,4.2,6.90,+7°C/+12°C,30,5.23,3.65
DAIKIN Europe N.V.,EPRA14DW / ETSX16P50D,2020-02-07,Outdoor Air/Water,R32,4.2,6.90,+7°C/+12°C,25,5.05,4.58
DAIKIN Europe N.V.,EPRA14DW / ETSX16P50D,2020-02-07,Outdoor Air/Water,R32,4.2,6.90,+7°C/+12°C,20,4.94,5.41
DAIKIN Europe N.V.,EPRA14DW / ETSXB16P50D,2020-02-07,Outdoor Air/Water,R32,4.2,6.90,+7°C/+12°C,35,6.90,2.70
DAIKIN Europe N.V.,EPRA14DW / ETSXB16P50D,2020-02-07,Outdoor Air/Water,R32,4.2,6.90,+7°C/+12°C,30,5.23,3.65
DAIKIN Europe N.V.,EPRA14DW / ETSXB16P50D,2020-02-07,Outdoor Air/Water,R32,4.2,6.90,+7°C/+12°C,25,5.05,4.58
DAIKIN Europe N.V.,EPRA14DW / ETSXB16P50D,2020-02-07,Outdoor Air/Water,R32,4.2,6.90,+7°C/+12°C,20,4.94,5.41
DAIKIN Europe N.V.,EPRA16DV / ETBX16D6V,2020-02-07,Outdoor Air/Water,R32,4.2,7.88,+7°C/+12°C,35,7.88,2.69
DAIKIN Europe N.V.,EPRA16DV / ETBX16D6V,2020-02-07,Outdoor Air/Water,R32,4.2,7.88,+7°C/+12°C,30,5.92,3.69
DAIKIN Europe N.V.,EPRA16DV / ETBX16D6V,2020-02-07,Outdoor Air/Water,R32,4.2,7.88,+7°C/+12°C,25,5.09,4.63
DAIKIN Europe N.V.,EPRA16DV / ETBX16D6V,2020-02-07,Outdoor Air/Water,R32,4.2,7.88,+7°C/+12°C,20,5.13,5.61
DAIKIN Europe N.V.,EPRA16DV / ETBX16D9W,2020-02-07,Outdoor Air/Water,R32,4.2,7.88,+7°C/+12°C,35,7.88,2.69
DAIKIN Europe N.V.,EPRA16DV / ETBX16D9W,2020-02-07,Outdoor Air/Water,R32,4.2,7.88,+7°C/+12°C,30,5.92,3.69
DAIKIN Europe N.V.,EPRA16DV / ETBX16D9W,2020-02-07,Outdoor Air/Water,R32,4.2,7.88,+7°C/+12°C,25,5.09,4.63
DAIKIN Europe N.V.,EPRA16DV / ETBX16D9W,2020-02-07,Outdoor Air/Water,R32,4.2,7.88,+7°C/+12°C,20,5.13,5.61
DAIKIN Europe N.V.,EPRA16DW / ETBX16D6V,2020-02-07,Outdoor Air/Water,R32,4.2,7.88,+7°C/+12°C,35,7.88,2.69
DAIKIN Europe N.V.,EPRA16DW / ETBX16D6V,2020-02-07,Outdoor Air/Water,R32,4.2,7.88,+7°C/+12°C,30,5.92,3.69
DAIKIN Europe N.V.,EPRA16DW / ETBX16D6V,2020-02-07,Outdoor Air/Water,R32,4.2,7.88,+7°C/+12°C,25,5.09,4.63
DAIKIN Europe N.V.,EPRA16DW / ETBX16D6V,2020-02-07,Outdoor Air/Water,R32,4.2,7.88,+7°C/+12°C,20,5.13,5.61
DAIKIN Europe N.V.,EPRA16DW / ETBX16D9W,2020-02-07,Outdoor Air/Water,R32,4.2,7.88,+7°C/+12°C,35,7.88,2.69
DAIKIN Europe N.V.,EPRA16DW / ETBX16D9W,2020-02-07,Outdoor Air/Water,R32,4.2,7.88,+7°C/+12°C,30,5.92,3.69
DAIKIN Europe N.V.,EPRA16DW / ETBX16D9W,2020-02-07,Outdoor Air/Water,R32,4.2,7.88,+7°C/+12°C,25,5.09,4.63
DAIKIN Europe N.V.,EPRA16DW / ETBX16D9W,2020-02-07,Outdoor Air/Water,R32,4.2,7.88,+7°C/+12°C,20,5.13,5.61
DAIKIN Europe N.V.,EPRA16DV / ETVX16S18D6V(G),2020-02-07,Outdoor Air/Water,R32,4.2,7.88,+7°C/+12°C,35,7.88,2.69
DAIKIN Europe N.V.,EPRA16DV / ETVX16S18D6V(G),2020-02-07,Outdoor Air/Water,R32,4.2,7.88,+7°C/+12°C,30,5.92,3.69
DAIKIN Europe N.V.,EPRA16DV / ETVX16S18D6V(G),2020-02-07,Outdoor Air/Water,R32,4.2,7.88,+7°C/+12°C,25,5.09,4.63
DAIKIN Europe N.V.,EPRA16DV / ETVX16S18D6V(G),2020-02-07,Outdoor Air/Water,R32,4.2,7.88,+7°C/+12°C,20,5.13,5.61
DAIKIN Europe N.V.,EPRA16DV / ETVX16S18D9W(G),2020-02-07,Outdoor Air/Water,R32,4.2,7.88,+7°C/+12°C,35,7.88,2.69
DAIKIN Europe N.V.,EPRA16DV / ETVX16S18D9W(G),2020-02-07,Outdoor Air/Water,R32,4.2,7.88,+7°C/+12°C,30,5.92,3.69
DAIKIN Europe N.V.,EPRA16DV / ETVX16S18D9W(G),2020-02-07,Outdoor Air/Water,R32,4.2,7.88,+7°C/+12°C,25,5.09,4.63
DAIKIN Europe N.V.,EPRA16DV / ETVX16S18D9W(G),2020-02-07,Outdoor Air/Water,R32,4.2,7.88,+7°C/+12°C,20,5.13,5.61
DAIKIN Europe N.V.,EPRA16DW / ETVX16S18D6V(G),2020-02-07,Outdoor Air/Water,R32,4.2,7.88,+7°C/+12°C,35,7.88,2.69
DAIKIN Europe N.V.,EPRA16DW / ETVX16S18D6V(G),2020-02-07,Outdoor Air/Water,R32,4.2,7.88,+7°C/+12°C,30,5.92,3.69
DAIKIN Europe N.V.,EPRA16DW / ETVX16S18D6V(G),2020-02-07,Outdoor Air/Water,R32,4.2,7.88,+7°C/+12°C,25,5.09,4.63
DAIKIN Europe N.V.,EPRA16DW / ETVX16S18D6V(G),2020-02-07,Outdoor Air/Water,R32,4.2,7.88,+7°C/+12°C,20,5.13,5.61
DAIKIN Europe N.V.,EPRA16DW / ETVX16S18D9W(G),2020-02-07,Outdoor Air/Water,R32,4.2,7.88,+7°C/+12°C,35,7.88,2.69
DAIKIN Europe N.V.,EPRA16DW / ETVX16S18D9W(G),2020-02-07,Outdoor Air/Water,R32,4.2,7.88,+7°C/+12°C,30,5.92,3.69
DAIKIN Europe N.V.,EPRA16DW / ETVX16S18D9W(G),2020-02-07,Outdoor Air/Water,R32,4.2,7.88,+7°C/+12°C,25,5.09,4.63
