Manufacturer,Model,Date,Type,Subtype,Group,Refrigerant,Mass of Refrigerant [kg],SPL indoor [dBA],SPL outdoor [dBA],PSB [W],Climate,P_el_ref [W],P_th_ref [W],COP_ref,p1_P_th [1/°C],p2_P_th [1/°C],p3_P_th [-],p1_P_el [1/°C],p2_P_el [1/°C],p3_P_el [-],p1_COP [-],p2_COP [-],p3_COP [-]
Enertech CTC AB,CTC EcoPart 410 1x230V,2020-12-17,Brine/Water,On-Off,5.0,R407c,1.9,49.0,,18.0,average,2866.0,9400.0,3.28,-0.001598005679396701,-0.004546828675666847,1.2137519577315885,-0.017852935915071984,-0.007374235974749698,1.2576616575720334,0.025422810698499332,-0.03559097410787932,5.168209897513656
Enertech CTC AB,CTC EcoPart 412 1x230V,2020-12-17,Brine/Water,On-Off,5.0,R407c,2.3,50.0,,18.0,average,3385.0,11000.0,3.25,-0.0019402550222552613,-0.0048564554559136115,1.2305497306931068,0.005048548310294594,0.014850984754710353,0.268540921625164,-0.03505266294203218,-0.09440648337813858,7.764157186493343
Enertech CTC AB,CTC EcoPart 414 1x230V,2020-12-17,Brine/Water,On-Off,5.0,R407c,2.7,53.0,,18.0,average,4134.0,13600.0,3.29,-0.0016550589052801025,-0.004528983255964004,1.2193809173569785,0.004807621176001239,0.013924286156937284,0.3153327139271817,-0.03202781514545987,-0.08708585029499796,7.470673456899625
Enertech CTC AB,CTC EcoPart 417 1x230V,2020-12-17,Brine/Water,On-Off,5.0,R407c,2.7,56.0,,18.0,average,4954.0,16000.0,3.23,-0.001638563062940359,-0.004247643566699712,1.1970602183255898,0.005215916061546892,0.015147697475121794,0.2523471991467171,-0.03465461990910651,-0.09319432836041988,7.677346207113825
Enertech CTC AB,CTC EcoPart 425 1x230V,2020-12-17,Brine/Water,On-Off,5.0,R407c,4.6,50.0,,18.0,average,6769.0,22000.0,3.25,-0.0019402550222552613,-0.0048564554559136115,1.2305497306931068,0.005055568657301821,0.014856848194282271,0.26837709537585114,-0.03505266294203218,-0.09440648337813858,7.764157186493343
Enertech CTC AB,CTC EcoPart 430 1x230V,2020-12-17,Brine/Water,On-Off,5.0,R407c,5.0,53.0,,18.0,average,8267.0,27200.0,3.29,-0.0016550589052801025,-0.004528983255964004,1.2193809173569785,0.004813623142402457,0.01392292557550372,0.3154263138870603,-0.03202781514545987,-0.08708585029499796,7.470673456899625
Enertech CTC AB,CTC EcoAir 435 1x230V,2020-12-17,Brine/Water,On-Off,5.0,R407c,5.4,56.0,,18.0,average,9907.0,32000.0,3.23,-0.001638563062940359,-0.004247643566699712,1.1970602183255898,0.005217548269330901,0.015145212119032981,0.25251941115560816,-0.03465461990910651,-0.09319432836041988,7.677346207113825
Enertech CTC AB,CTC GSi 12 1x230V,2020-12-17,Brine/Water,Regulated,2.0,R407c,2.3,43.0,,23.0,average,3581.0,10600.0,2.96,-0.030613821216926587,0.00802368793979908,0.3466642900169307,-0.020606701113002442,0.018185232652366108,-0.18089115380243248,0.02325847243516424,-0.09829913202931644,8.06262800998468
Enertech CTC AB,CTC GSi 12 3x400V,2017-06-12,Brine/Water,Regulated,2.0,R407c,2.4,39.0,,23.0,average,1846.0,6000.0,3.25,-0.06504848295763407,-0.02321498932925629,1.7465182819359482,-0.04532127077635963,-0.002766158447712146,0.7648839504245358,0.012463481875589958,-0.0976452118879318,8.280431972083518
Enertech CTC AB,CTC GSi 16 3x400V,2018-11-28,Brine/Water,Regulated,2.0,R407c,2.2,,,20.0,average,5086.0,14190.0,2.79,-0.03680021847544507,0.00037736946955808215,0.6937004214161517,-0.025765915048482902,0.012898860568259238,0.03670077352637721,0.03844939974439531,-0.09092288439701997,7.7884012520421795
Enertech CTC AB,CTC GSi 608,2020-11-30,Brine/Water,Regulated,2.0,R407c,2.4,34.0,,23.0,average,2179.0,6580.0,3.02,-0.03015899064723637,0.0036617262205106563,0.5524429870978876,-0.018790236391161938,0.0159414090125786,-0.09087086503863273,-0.00855306085396681,-0.10690769829785958,8.64238784197725
Frigicoll,KHP-BI 12 DVR2 + KHPM-BI 16 DVR2,2021-03-04,Outdoor Air/Water,Regulated,1.0,R32,1.84,43.0,64.0,14.0,average,5100.0,10250.0,2.01,-0.03851130759052341,-0.0021551457107143995,0.8175312469580054,-0.0322069807092839,0.010914910202372431,0.0984557669525412,0.15971485211198302,-0.10934343485746942,8.038428590833549
Frigicoll,KHP-BI 16 DVR2 + KHPM-BI 16 DVR2,2021-03-04,Outdoor Air/Water,Regulated,1.0,R32,1.84,43.0,68.0,14.0,average,5789.0,11520.0,1.99,-0.04965984566268036,-0.009497570039774384,1.131798846603291,-0.0410805611134558,0.005278510915944,0.3445666978786942,0.17334534365158186,-0.10149904841935492,7.658571086634788
Frigicoll,KHP-MO 14 DVR2,2021-03-04,Outdoor Air/Water,Regulated,1.0,R32,1.84,,65.0,14.0,average,5318.0,10690.0,2.01,-0.04609872620865859,-0.007577141317998661,1.0597891945552191,-0.03842755914957007,0.006853154518893697,0.2793489432458508,0.17123838756386034,-0.10383733185605397,7.812573926078375
Frigicoll,KHP-BI 4 DVR2 + KHPM-BI 6 DVR2,2021-03-04,Outdoor Air/Water,Regulated,1.0,R32,1.5,38.0,56.0,14.0,average,1793.0,3890.0,2.17,-0.04539766740973072,-0.007920831062850513,1.1345765733853468,-0.035393351856216865,0.008313122772511644,0.2623323219139265,0.1196284966115051,-0.1143027813873293,8.221708372049193
Frigicoll,KHP-BI 6 DVR2 + KHPM-BI 6 DVR2,2021-03-04,Outdoor Air/Water,Regulated,1.0,R32,1.5,38.0,58.0,14.0,average,2327.0,5050.0,2.17,-0.053069653027490914,-0.010252042845215713,1.162910233648034,-0.03966714007498411,0.006154596225185569,0.3138199499312712,0.1227396608022052,-0.11172118621050638,8.187076963178443
Frigicoll,KHP-BI 8 DVR2 + KHPM-BI 10 DVR2,2021-03-04,Outdoor Air/Water,Regulated,1.0,R32,1.65,42.0,59.0,14.0,average,2704.0,5840.0,2.16,-0.05561288962685917,-0.011850985812487362,1.2398652167516877,-0.03649364581731843,0.008684464565853206,0.2150165986786184,0.0947016690509365,-0.1435521684158587,9.445649947616834
Frigicoll,KHP-BI 10 DVR2 + KHPM-BI 10 DVR2,2021-03-04,Outdoor Air/Water,Regulated,1.0,R32,1.65,42.0,60.0,14.0,average,3027.0,6780.0,2.24,-0.054040152900328056,-0.010050428336735338,1.1555495254506174,-0.03893140037676751,0.007342596859475066,0.2711227528006085,0.12043445590380547,-0.1335711091815291,9.139986282451805
Groupe Atlantic,ACV Alféa Excellia Tri 11 BS,2019-12-19,Outdoor Air/Water,Regulated,1.0,R410a,2.5,46.0,68.0,17.0,average,4316.0,8200.0,1.9,-0.02294233984088783,-0.011449108578737792,1.3244710529347792,-0.02950456638375361,0.0068151946260734605,0.34828583613807484,0.12484470798875595,-0.09158728598338717,6.798856477059741
Groupe Atlantic,ACV Alféa Excellia Tri 14 BS,2019-12-19,Outdoor Air/Water,Regulated,1.0,R410a,2.5,46.0,69.0,17.0,average,5000.0,10000.0,2.0,-0.0243423090795012,-0.006005640277945936,1.0466419663326392,-0.03392068854301461,0.005471941802296564,0.3880994106451665,0.14768099239459728,-0.07032787008603195,6.0256370606105305
Groupe Atlantic,ACV Alféa Excellia Tri 16 BS,2019-12-19,Outdoor Air/Water,Regulated,1.0,R410a,2.5,46.0,69.0,17.0,average,6389.0,11500.0,1.8,-0.02553460105781531,-0.0034355767464568448,0.907469054361796,-0.0317011640157756,0.00839288392760346,0.22763729450607906,0.16030526253528532,-0.07402632500293947,6.108586502534436
Groupe Atlantic,Alféa Excellia 11,2020-12-17,Outdoor Air/Water,Regulated,1.0,R410a,2.5,46.0,69.0,12.0,average,4316.0,8200.0,1.9,-0.02294233984088783,-0.011449108578737792,1.3244710529347792,-0.030454703971136744,0.00561218353285311,0.4016823861897744,0.11588608129133901,-0.08639784003382206,6.539324466642975
Groupe Atlantic,Alféa Excellia 14,2020-12-17,Outdoor Air/Water,Regulated,1.0,R410a,2.5,46.0,69.0,12.0,average,5263.0,10000.0,1.9,-0.0243423090795012,-0.006005640277945936,1.0466419663326392,-0.031499980492812045,0.0071554182455041875,0.31207836381826903,0.13387675224739526,-0.07843909355789616,6.240275208186798
Groupe Atlantic,Alféa Excellia HP A.I. 16,2020-12-17,Outdoor Air/Water,Regulated,1.0,R410a,3.8,45.0,67.0,23.0,average,6061.0,12000.0,1.98,-0.03359256232829212,-0.009986333501095422,1.2025208489158423,-0.0342375421977406,0.005596239759119329,0.35637090180638403,0.14563816693254253,-0.0713983778736259,6.2545856551419625
Groupe Atlantic,Alféa Excellia HP A.I. Tri 15,2021-03-05,Outdoor Air/Water,Regulated,1.0,R410a,3.8,45.0,67.0,19.0,average,6698.0,14200.0,2.12,-0.03260466225805735,-0.004900168566193977,0.9542145419435863,-0.03260043834675668,0.007545104581812325,0.2674737090893201,0.14194526107975808,-0.06649643105377546,6.126506403694383
Groupe Atlantic,Alféa Excellia HP A.I. Tri 17,2021-03-05,Outdoor Air/Water,Regulated,1.0,R410a,3.8,45.0,67.0,19.0,average,7143.0,15000.0,2.1,-0.033054021286007165,-0.004243190644718643,0.9157154195918984,-0.033378777216600486,0.0071906215494289966,0.2760249774035312,0.14420287010736488,-0.05943912330418651,5.8135098188747545
Groupe Atlantic,Alféa Extensa A.I. 5 R32,2019-10-04,Outdoor Air/Water,Regulated,1.0,R32,0.97,40.0,57.0,10.0,average,2111.0,4200.0,1.99,-0.030019644288957963,-0.003969336573382395,0.9111575568642298,-0.029324178779049987,0.010398856630517574,0.13586554468773954,0.14012790699966518,-0.09414662039708947,7.213342402020142
