Manufacturer,Model,Date,Type,Subtype,Group,Refrigerant,Mass of Refrigerant [kg],SPL indoor [dBA],SPL outdoor [dBA],PSB [W],Climate,P_el_ref [W],P_th_ref [W],p1_P_th [1/°C],p2_P_th [1/°C],p3_P_th [-],p1_P_el [1/°C],p2_P_el [1/°C],p3_P_el [-],p1_COP [-],p2_COP [-],p3_COP [-]
Bosch Thermotechnik,Bosch CS7000iAW 17 IRE,2017-07-18,Outdoor Air/Water,Inverter,1.0,R410a,4.0,49.0,36.0,35,average,4072,9000,-0.03352252196467472,-0.0028224778653194965,0.9074070592622339,-0.03548662361342873,0.007745495635862547,0.26512269423630563,0.20013203076027802,-0.09578576126031388,7.755923435696946
Bosch Thermotechnik,Bosch CS7000iAW 17 ORMS,2017-07-18,Outdoor Air/Water,Inverter,1.0,R410a,4.0,35.0,53.0,35,average,4072,9000,-0.03352252196467472,-0.0028224778653194965,0.9074070592622339,-0.03548662361342873,0.007745495635862547,0.26512269423630563,0.20013203076027802,-0.09578576126031388,7.755923435696946
Bosch Thermotechnik,Bosch CS7000iAW 17 ORM,2017-07-18,Outdoor Air/Water,Inverter,1.0,R410a,4.0,35.0,53.0,35,average,4072,9000,-0.03352252196467472,-0.0028224778653194965,0.9074070592622339,-0.03548662361342873,0.007745495635862547,0.26512269423630563,0.20013203076027802,-0.09578576126031388,7.755923435696946
Bosch Thermotechnik,Bosch CS7000iAW 17 ORB,2017-07-18,Outdoor Air/Water,Inverter,1.0,R410a,4.0,35.0,53.0,35,average,4072,9000,-0.03352252196467472,-0.0028224778653194965,0.9074070592622339,-0.03548662361342873,0.007745495635862547,0.26512269423630563,0.20013203076027802,-0.09578576126031388,7.755923435696946
Bosch Thermotechnik,Bosch CS7000iAW 17 ORE,2017-07-18,Outdoor Air/Water,Inverter,1.0,R410a,4.0,35.0,53.0,35,average,4072,9000,-0.03352252196467472,-0.0028224778653194965,0.9074070592622339,-0.03548662361342873,0.007745495635862547,0.26512269423630563,0.20013203076027802,-0.09578576126031388,7.755923435696946
Bosch Thermotechnik,Bosch Compress 6000 AW-17 AWB,2017-07-18,Outdoor Air/Water,Inverter,1.0,R410a,4.0,,,35,average,4072,9000,-0.03352252196467472,-0.0028224778653194965,0.9074070592622339,-0.03548662361342873,0.007745495635862547,0.26512269423630563,0.20013203076027802,-0.09578576126031388,7.755923435696946
Bosch Thermotechnik,Bosch Compress 6000 AW-17 AWM,2017-07-18,Outdoor Air/Water,Inverter,1.0,R410a,4.0,,,35,average,4072,9000,-0.03352252196467472,-0.0028224778653194965,0.9074070592622339,-0.03548662361342873,0.007745495635862547,0.26512269423630563,0.20013203076027802,-0.09578576126031388,7.755923435696946
Bosch Thermotechnik,Bosch Compress 6000 AW-17 AWMS,2017-07-18,Outdoor Air/Water,Inverter,1.0,R410a,4.0,,,35,average,4072,9000,-0.03352252196467472,-0.0028224778653194965,0.9074070592622339,-0.03548662361342873,0.007745495635862547,0.26512269423630563,0.20013203076027802,-0.09578576126031388,7.755923435696946
Bosch Thermotechnik,Bosch Compress 6000 AW-17 AWE,2017-07-18,Outdoor Air/Water,Inverter,1.0,R410a,4.0,,,35,average,4072,9000,-0.03352252196467472,-0.0028224778653194965,0.9074070592622339,-0.03548662361342873,0.007745495635862547,0.26512269423630563,0.20013203076027802,-0.09578576126031388,7.755923435696946
Bosch Thermotechnik,Bosch CS7001iAW 17 ORMS-T,2017-07-18,Outdoor Air/Water,Inverter,1.0,R410a,4.0,26.0,53.0,24,average,4227,9510,-0.0380648096272165,-0.004488902835067534,0.9661606287236967,-0.038797367672021035,0.00510464734353439,0.385413164251551,0.1356393702102465,-0.089225003089058,7.29237168604024
Bosch Thermotechnik,Bosch CS7001iAW 17 ORM-T,2017-07-18,Outdoor Air/Water,Inverter,1.0,R410a,4.0,26.0,53.0,24,average,4227,9510,-0.0380648096272165,-0.004488902835067534,0.9661606287236967,-0.038797367672021035,0.00510464734353439,0.385413164251551,0.1356393702102465,-0.089225003089058,7.29237168604024
