Manufacturer,Model,Date,Type,Subtype,Group,Refrigerant,Mass of Refrigerant [kg],SPL indoor [dBA],SPL outdoor [dBA],PSB [W],Climate,P_el_ref [W],P_th_ref [W],p1_P_th [1/°C],p2_P_th [1/°C],p3_P_th [-],p1_P_el [1/°C],p2_P_el [1/°C],p3_P_el [-],p1_COP [-],p2_COP [-],p3_COP [-]
Mitsubishi,PUZ-HWM140VHA(-BS) + EHPX-M*D,2020-07-27,Outdoor Air/Water,Inverter,1.0,R32,3.3,40.0,67.0,15,average,6263,12400,-0.032260032863242145,-0.0005740321104067427,0.7445376300435171,-0.03391063358913851,0.00914243146941483,0.1759234008388775,0.17454116897977912,-0.08021351279775452,6.743945410993589
Mitsubishi,PUZ-HWM140VHA(-BS) + EHPX-VM*D,2020-07-27,Outdoor Air/Water,Inverter,1.0,R32,3.3,40.0,67.0,15,average,6263,12400,-0.032260032863242145,-0.0005740321104067427,0.7445376300435171,-0.03391063358913851,0.00914243146941483,0.1759234008388775,0.17454116897977912,-0.08021351279775452,6.743945410993589
Mitsubishi,PUZ-HWM140VHA(-BS) + EHPX-YM*D,2020-07-27,Outdoor Air/Water,Inverter,1.0,R32,3.3,40.0,67.0,15,average,6263,12400,-0.032260032863242145,-0.0005740321104067427,0.7445376300435171,-0.03391063358913851,0.00914243146941483,0.1759234008388775,0.17454116897977912,-0.08021351279775452,6.743945410993589
Mitsubishi,PUZ-HWM140VHA(-BS) + ERPT20X-M*D,2020-07-27,Outdoor Air/Water,Inverter,1.0,R32,3.3,40.0,67.0,15,average,6263,12400,-0.032260032863242145,-0.0005740321104067427,0.7445376300435171,-0.03391063358913851,0.00914243146941483,0.1759234008388775,0.17454116897977912,-0.08021351279775452,6.743945410993589
Mitsubishi,PUZ-HWM140VHA(-BS) + ERPT20X-VM*D,2020-07-27,Outdoor Air/Water,Inverter,1.0,R32,3.3,40.0,67.0,15,average,6263,12400,-0.032260032863242145,-0.0005740321104067427,0.7445376300435171,-0.03391063358913851,0.00914243146941483,0.1759234008388775,0.17454116897977912,-0.08021351279775452,6.743945410993589
Mitsubishi,PUZ-HWM140YHA(-BS),2020-07-27,Outdoor Air/Water,Inverter,1.0,R32,3.3,40.0,67.0,22,average,6263,12400,-0.032260032863242145,-0.0005740321104067427,0.7445376300435171,-0.03391063358913851,0.00914243146941483,0.1759234008388775,0.17454116897977912,-0.08021351279775452,6.743945410993589
Mitsubishi,PUZ-HWM140YHA(-BS) + EHPT20X-VM*D,2020-07-27,Outdoor Air/Water,Inverter,1.0,R32,3.3,40.0,67.0,22,average,6263,12400,-0.032260032863242145,-0.0005740321104067427,0.7445376300435171,-0.03391063358913851,0.00914243146941483,0.1759234008388775,0.17454116897977912,-0.08021351279775452,6.743945410993589
Mitsubishi,PUZ-HWM140YHA(-BS) + EHPT20X-YM*D,2020-07-27,Outdoor Air/Water,Inverter,1.0,R32,3.3,40.0,67.0,22,average,6263,12400,-0.032260032863242145,-0.0005740321104067427,0.7445376300435171,-0.03391063358913851,0.00914243146941483,0.1759234008388775,0.17454116897977912,-0.08021351279775452,6.743945410993589
Mitsubishi,PUZ-HWM140YHA(-BS) + EHPT20X-M*D,2020-07-27,Outdoor Air/Water,Inverter,1.0,R32,3.3,40.0,67.0,22,average,6263,12400,-0.032260032863242145,-0.0005740321104067427,0.7445376300435171,-0.03391063358913851,0.00914243146941483,0.1759234008388775,0.17454116897977912,-0.08021351279775452,6.743945410993589
Mitsubishi,PUZ-HWM140YHA(-BS) + EHPX-M*D,2020-07-27,Outdoor Air/Water,Inverter,1.0,R32,3.3,40.0,67.0,22,average,6263,12400,-0.032260032863242145,-0.0005740321104067427,0.7445376300435171,-0.03391063358913851,0.00914243146941483,0.1759234008388775,0.17454116897977912,-0.08021351279775452,6.743945410993589
Mitsubishi,PUZ-HWM140YHA(-BS) + EHPX-VM*D,2020-07-27,Outdoor Air/Water,Inverter,1.0,R32,3.3,40.0,67.0,22,average,6263,12400,-0.032260032863242145,-0.0005740321104067427,0.7445376300435171,-0.03391063358913851,0.00914243146941483,0.1759234008388775,0.17454116897977912,-0.08021351279775452,6.743945410993589
Mitsubishi,PUZ-HWM140YHA(-BS) + EHPX-YM*D,2020-07-27,Outdoor Air/Water,Inverter,1.0,R32,3.3,40.0,67.0,22,average,6263,12400,-0.032260032863242145,-0.0005740321104067427,0.7445376300435171,-0.03391063358913851,0.00914243146941483,0.1759234008388775,0.17454116897977912,-0.08021351279775452,6.743945410993589
Mitsubishi,PUZ-HWM140YHA(-BS) + ERPT20X-M*D,2020-07-27,Outdoor Air/Water,Inverter,1.0,R32,3.3,40.0,67.0,22,average,6263,12400,-0.032260032863242145,-0.0005740321104067427,0.7445376300435171,-0.03391063358913851,0.00914243146941483,0.1759234008388775,0.17454116897977912,-0.08021351279775452,6.743945410993589
Mitsubishi,PUZ-HWM140YHA(-BS) + ERPT20X-VM*D,2020-07-27,Outdoor Air/Water,Inverter,1.0,R32,3.3,40.0,67.0,22,average,6263,12400,-0.032260032863242145,-0.0005740321104067427,0.7445376300435171,-0.03391063358913851,0.00914243146941483,0.1759234008388775,0.17454116897977912,-0.08021351279775452,6.743945410993589
DAIKIN Europe ,ERGA04DV7 / EHSX04P30D2,2020-04-09,Outdoor Air/Water,Inverter,1.0,R32,1.5,,,10,average,2690,5300,-0.03207294535561055,-0.0077234551731541964,1.1147773822086127,-0.026484736434941362,0.011802146603709651,0.08351265790825066,0.12279837159741439,-0.12008277959787787,8.428051248086108
DAIKIN Europe ,ERGA04DV7 / EHSXB04P30D2,2020-04-09,Outdoor Air/Water,Inverter,1.0,R32,1.5,,,10,average,2690,5300,-0.03207294535561055,-0.0077234551731541964,1.1147773822086127,-0.026484736434941362,0.011802146603709651,0.08351265790825066,0.12279837159741439,-0.12008277959787787,8.428051248086108
DAIKIN Europe ,ERGA04DV7 / EHSH04P30D2,2020-04-09,Outdoor Air/Water,Inverter,1.0,R32,1.5,,,10,average,2690,5300,-0.03207294535561055,-0.0077234551731541964,1.1147773822086127,-0.026484736434941362,0.011802146603709651,0.08351265790825066,0.12279837159741439,-0.12008277959787787,8.428051248086108
DAIKIN Europe ,ERGA04DV7 / EHSHB04P30D2,2020-04-09,Outdoor Air/Water,Inverter,1.0,R32,1.5,,,10,average,2690,5300,-0.03207294535561055,-0.0077234551731541964,1.1147773822086127,-0.026484736434941362,0.011802146603709651,0.08351265790825066,0.12279837159741439,-0.12008277959787787,8.428051248086108
DAIKIN Europe ,ERGA04EV7 / EHSX04P30D3,2020-04-09,Outdoor Air/Water,Inverter,1.0,R32,1.5,,,10,average,2690,5300,-0.03226606133253466,-0.007927368007350269,1.1236420370863471,-0.026648947972973038,0.011683231126279895,0.08873273857764027,0.12279837159741439,-0.12008277959787787,8.428051248086108
DAIKIN Europe ,ERGA04EV7 / EHSXB04P30D3,2020-04-09,Outdoor Air/Water,Inverter,1.0,R32,1.5,,,10,average,2690,5300,-0.03226606133253466,-0.007927368007350269,1.1236420370863471,-0.026648947972973038,0.011683231126279895,0.08873273857764027,0.12279837159741439,-0.12008277959787787,8.428051248086108
DAIKIN Europe ,ERGA04EV7 / EHSH04P30D3,2020-04-09,Outdoor Air/Water,Inverter,1.0,R32,1.5,,,10,average,2690,5300,-0.03226606133253466,-0.007927368007350269,1.1236420370863471,-0.026648947972973038,0.011683231126279895,0.08873273857764027,0.12279837159741439,-0.12008277959787787,8.428051248086108
DAIKIN Europe ,ERGA04EV7 / EHSHB04P30D3,2020-04-09,Outdoor Air/Water,Inverter,1.0,R32,1.5,,,10,average,2690,5300,-0.03226606133253466,-0.007927368007350269,1.1236420370863471,-0.026648947972973038,0.011683231126279895,0.08873273857764027,0.12279837159741439,-0.12008277959787787,8.428051248086108
DAIKIN Europe ,EBLA11D(3)V3,2020-10-27,Outdoor Air/Water,Inverter,1.0,R32,3.8,,62.0,23,average,4895,9300,-0.02485361878580322,-0.0009467004729433177,0.7794767311982647,-0.024406786480410073,0.013923980693176631,-0.03805475882526565,0.17063498296598187,-0.11183956821679138,8.128512717071231
DAIKIN Europe ,EBLA11D(3)W1,2020-10-27,Outdoor Air/Water,Inverter,1.0,R32,3.8,,62.0,23,average,4895,9300,-0.02485361878580322,-0.0009467004729433177,0.7794767311982647,-0.024406786480410073,0.013923980693176631,-0.03805475882526565,0.17063498296598187,-0.11183956821679138,8.128512717071231
DAIKIN Europe ,EDLA11D(3)V3,2020-10-27,Outdoor Air/Water,Inverter,1.0,R32,3.8,,62.0,23,average,4895,9300,-0.02485361878580322,-0.0009467004729433177,0.7794767311982647,-0.024406786480410073,0.013923980693176631,-0.03805475882526565,0.17063498296598187,-0.11183956821679138,8.128512717071231
DAIKIN Europe ,EDLA11D(3)W1,2020-10-27,Outdoor Air/Water,Inverter,1.0,R32,3.8,,62.0,23,average,4895,9300,-0.02485361878580322,-0.0009467004729433177,0.7794767311982647,-0.024406786480410073,0.013923980693176631,-0.03805475882526565,0.17063498296598187,-0.11183956821679138,8.128512717071231
Bosch Thermotechnik,Bosch CS7000iAW 17 IRMS,2017-07-18,Outdoor Air/Water,Inverter,1.0,R410a,4.0,49.0,36.0,35,average,4072,9000,-0.03352252196467472,-0.0028224778653194965,0.9074070592622339,-0.03548662361342873,0.007745495635862547,0.26512269423630563,0.20013203076027802,-0.09578576126031388,7.755923435696946
Bosch Thermotechnik,Bosch CS7000iAW 17 IRM,2017-07-18,Outdoor Air/Water,Inverter,1.0,R410a,4.0,49.0,36.0,35,average,4072,9000,-0.03352252196467472,-0.0028224778653194965,0.9074070592622339,-0.03548662361342873,0.007745495635862547,0.26512269423630563,0.20013203076027802,-0.09578576126031388,7.755923435696946
Bosch Thermotechnik,Bosch CS7000iAW 17 IRB,2017-07-18,Outdoor Air/Water,Inverter,1.0,R410a,4.0,49.0,36.0,35,average,4072,9000,-0.03352252196467472,-0.0028224778653194965,0.9074070592622339,-0.03548662361342873,0.007745495635862547,0.26512269423630563,0.20013203076027802,-0.09578576126031388,7.755923435696946
