Model,k1,k2,k3,k4,k5,k6,k7,k8,k9,Group
NOVELAN L12 Split-CS 12,-0.03278419651643885,-0.006924929754159064,0.9401677888834518,-0.043103913723777386,0.009220956980957765,0.3340698549903548,0.15318082082236487,-0.07409277965853263,6.484556427883788,1.0
alpha innotec L6 Split-HT 6,-0.023322148667943268,0.0034638994677722197,0.6398815576112764,-0.03964483843775399,0.02035635590682735,-0.036204407987547656,0.17328186089255526,-0.10213256987019459,7.704320576163991,1.0
NOVELAN L6 Split-CS 6,-0.023322148667943268,0.0034638994677722197,0.6398815576112764,-0.03964483843775399,0.02035635590682735,-0.036204407987547656,0.17328186089255526,-0.10213256987019459,7.704320576163991,1.0
alpha innotec L8 Split-HT 12,-0.03200237618441036,-0.007054799270613433,0.9423548794106138,-0.041814431443391385,0.010230266732749297,0.3061294483199054,0.13313339071766567,-0.07706016310057932,6.500476239343663,1.0
NOVELAN L8 Split-CS 12,-0.03200237618441036,-0.007054799270613433,0.9423548794106138,-0.041814431443391385,0.010230266732749297,0.3061294483199054,0.13313339071766567,-0.07706016310057932,6.500476239343663,1.0
LW 101,0.03111538849963969,-0.0027526868212092563,1.2913306395045598,0.0010885633482352942,0.017388233834666467,0.4394951311416121,0.09151349529066784,-0.054626494076030395,5.406238500346207,4.0
LW 101A,0.03111538849963969,-0.0027526868212092563,1.2913306395045598,0.0010885633482352942,0.017388233834666467,0.4394951311416121,0.09151349529066784,-0.054626494076030395,5.406238500346207,4.0
LW 121,0.030738805358980655,-0.003432356269804312,1.3256129247642923,0.0013204226343671904,0.018534826553282747,0.4074912945008255,0.09236536946719508,-0.060084598880613904,5.7021292933859415,4.0
LW 121A,0.030738805358980655,-0.003432356269804312,1.3256129247642923,0.0013204226343671904,0.018534826553282747,0.4074912945008255,0.09236536946719508,-0.060084598880613904,5.7021292933859415,4.0
LW 140 (L),0.023906323110282825,-0.0026655685332471813,1.2622749692625594,-0.0027531411261101702,0.01841179390038188,0.39476558146159413,0.09464847696426862,-0.05979939657479574,5.755584587883683,4.0
