T_in,Star-24,Star-30,Star-40,Star-60,F1345-24,F1345-30,F1345-40,F1345-60
11,0.510756881490926,0.5156088517154793,0.5142462562011996,0.5046023188467543,0.510756881490926,0.5156088517154793,0.5142462562011996,0.5046023188467543
12,0.4801951851468967,0.48528907173261504,0.48387447401906436,0.47378091009955203,0.4801951851468967,0.48528907173261504,0.48387447401906436,0.47378091009955203
13,0.44963348880286735,0.45496929174975076,0.45350269183692915,0.44295950135234974,0.44963348880286735,0.45496929174975076,0.45350269183692915,0.44295950135234974
14,0.4190717924588381,0.4246495117668865,0.4231309096547939,0.41213809260514744,0.4190717924588381,0.4246495117668865,0.4231309096547939,0.41213809260514744
15,0.3885100961148087,0.3943297317840222,0.3927591274726586,0.38131668385794504,0.3885100961148087,0.3943297317840222,0.3927591274726586,0.38131668385794504
16,0.3579483997707794,0.3640099518011579,0.3623873452905234,0.35049527511074274,0.3579483997707794,0.3640099518011579,0.3623873452905234,0.35049527511074274
17,0.32738670342675014,0.33369017181829363,0.3320155631083882,0.31967386636354045,0.32738670342675014,0.33369017181829363,0.3320155631083882,0.31967386636354045
18,0.29682500708272086,0.30337039183542935,0.301643780926253,0.28885245761633815,0.29682500708272086,0.30337039183542935,0.301643780926253,0.28885245761633815
19,0.2662633107386916,0.2730506118525651,0.2712719987441178,0.25803104886913586,0.2662633107386916,0.2730506118525651,0.2712719987441178,0.25803104886913586
20,0.2357016143946623,0.2427308318697008,0.24090021656198257,0.22720964012193356,0.2357016143946623,0.2427308318697008,0.24090021656198257,0.22720964012193356
21,0.20513991805063292,0.2124110518868365,0.21052843437984736,0.19638823137473116,0.20513991805063292,0.2124110518868365,0.21052843437984736,0.19638823137473116
22,0.17457822170660364,0.18209127190397223,0.18015665219771215,0.16556682262752886,0.17457822170660364,0.18209127190397223,0.18015665219771215,0.16556682262752886
23,0.14401652536257437,0.15177149192110795,0.14978487001557694,0.13474541388032657,0.14401652536257437,0.15177149192110795,0.14978487001557694,0.13474541388032657
24,0.11345482901854509,0.12145171193824367,0.11941308783344173,0.10392400513312428,0.11345482901854509,0.12145171193824367,0.11941308783344173,0.10392400513312428
25,0.08289313267451581,0.09113193195537939,0.08904130565130652,0.07310259638592198,0.08289313267451581,0.09113193195537939,0.08904130565130652,0.07310259638592198
26,0.052331436330486425,0.060812151972515105,0.058669523469171314,0.042281187638719575,0.052331436330486425,0.060812151972515105,0.058669523469171314,0.042281187638719575
27,0.02176973998645715,0.030492371989650824,0.028297741287035993,0.01145977889151728,0.02176973998645715,0.030492371989650824,0.028297741287035993,0.01145977889151728
28,-0.008791956357572128,0.00017259200678654274,-0.002074040895099216,-0.019361629855685014,-0.008791956357572128,0.00017259200678654274,-0.002074040895099216,-0.019361629855685014
29,-0.039353652701601405,-0.03014718797607774,-0.032445823077234426,-0.05018303860288742,-0.039353652701601405,-0.03014718797607774,-0.032445823077234426,-0.05018303860288742
30,-0.0699153490456309,-0.06046696795894202,-0.06281760525936964,-0.08100444735008971,-0.0699153490456309,-0.06046696795894202,-0.06281760525936964,-0.08100444735008971
